outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id
chicken_fish,Level Change,0.9229827504885184,0.6575166776531308,1.2456911295141084,1.0693021858397043,28.98142772898423,Pooled,POOLED
chicken_fish,Slope Change,1.8805502795243332,1.0868523539710362,3.229649928204354,1.100975675114538,26.88706357054788,Pooled,POOLED
meat,Level Change,1.0134841784748738,0.8800710597975754,1.2276336750478676,1.1491799258578228,21.605649076782488,Pooled,POOLED
meat,Slope Change,1.352123610298831,0.9195059514257816,1.9015367023728902,1.0398872957395224,22.796411831969568,Pooled,POOLED
nonvegan,Level Change,1.0403610680511015,0.8646797256304085,1.2049929604797067,1.0290045338891753,43.14041748381084,Pooled,POOLED
nonvegan,Slope Change,1.559914109823094,1.010586348780398,2.0560834288416108,1.11442101421542,18.926090427635216,Pooled,POOLED
total,Level Change,1.0314486333929038,0.8650283915394047,1.1723660831290739,1.0003907348501606,65.3860928058187,Pooled,POOLED
total,Slope Change,1.6020775746812435,1.113657451439977,2.3735378362431514,1.0301943593994762,13.075657458749095,Pooled,POOLED
vegan,Level Change,1.1222641720036195,0.9883704916277073,1.3010774774678777,1.1823489288723126,3.9827018518874904,Pooled,POOLED
vegan,Slope Change,1.239968152145314,1.1009304104769837,1.4322527079482534,1.0544080530172601,15.801708225139512,Pooled,POOLED
vegetarian,Level Change,1.0646822141287657,0.9020152745247295,1.180003494601638,1.0403107892578523,12.103646166515782,Pooled,POOLED
vegetarian,Slope Change,1.6680345858883896,1.465402758260939,1.819511484592739,1.503202210877356,1.878502915962851,Pooled,POOLED
chicken_fish,Level Change,0.97,0.88,1.05,1.0031921797608032,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Slope Change,1.54,0.74,2.74,1.0127886632189629,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Level Change,0.91,0.71,1.13,1.0172411145260998,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Slope Change,1.65,1.01,2.64,1.063785114217455,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Level Change,1.16,1.08,1.24,1.0095421987939455,NA,Restaurant,JHDN7CF1C03X5
chicken_fish,Slope Change,1.74,1.49,2.01,1.005741129612303,NA,Restaurant,JHDN7CF1C03X5
chicken_fish,Level Change,0.89,0.51,1.42,1.0864636056500694,NA,Restaurant,L69HYJ4Y3TR91
chicken_fish,Slope Change,2.04,0.81,5.53,1.0284093024719319,NA,Restaurant,L69HYJ4Y3TR91
chicken_fish,Level Change,0.76,0.48,1.09,1.0483854722743287,NA,Restaurant,ED5J990H5VAZT
chicken_fish,Slope Change,2.68,1.53,5.76,1.0345197483731483,NA,Restaurant,ED5J990H5VAZT
meat,Level Change,1.03,0.95,1.11,1.0399787348598872,NA,Restaurant,VLZX7K2M9QD4T
meat,Slope Change,1.19,0.7,2.12,1.0494571498479361,NA,Restaurant,VLZX7K2M9QD4T
meat,Level Change,0.97,0.87,1.08,1.0039566372622293,NA,Restaurant,SRQS8F7JWA9MZ
meat,Level Change,1,0.9,1.12,1.034536053236146,NA,Restaurant,SRQS8F7JWA9MZ
meat,Slope Change,0.41,0.17,0.9,1.04740493924437,NA,Restaurant,SRQS8F7JWA9MZ
meat,Slope Change,1.4,0.62,3.29,1.0397019700759884,NA,Restaurant,SRQS8F7JWA9MZ
meat,Level Change,0.9,0.75,1.07,1.1575153065478159,NA,Restaurant,2HRX9P6HKXA8V
meat,Slope Change,1.12,0.83,1.6,1.0283679904643852,NA,Restaurant,2HRX9P6HKXA8V
meat,Level Change,1.12,0.95,1.25,1.35552981111205,NA,Restaurant,JHDN7CF1C03X5
meat,Slope Change,1.88,1.55,2.22,1.1681328631317207,NA,Restaurant,JHDN7CF1C03X5
meat,Level Change,0.97,0.78,1.16,1.030272921181297,NA,Restaurant,L69HYJ4Y3TR91
meat,Slope Change,1.76,0.97,4.41,1.1130683794226064,NA,Restaurant,L69HYJ4Y3TR91
meat,Level Change,1.04,0.88,1.23,1.0172722478044784,NA,Restaurant,ED5J990H5VAZT
meat,Slope Change,1.34,0.97,1.75,1.0615326430897463,NA,Restaurant,ED5J990H5VAZT
nonvegan,Level Change,1.02,0.94,1.1,1.0412857214805953,NA,Restaurant,VLZX7K2M9QD4T
nonvegan,Slope Change,1.37,0.75,2.5,1.1040371659295305,NA,Restaurant,VLZX7K2M9QD4T
nonvegan,Level Change,1.08,0.93,1.26,1.1197812661623805,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Level Change,1.06,0.96,1.16,1.056436185015094,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,0.34,0.15,0.73,1.0753247900137273,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,1.6,0.75,3.63,1.083426550195771,NA,Restaurant,SRQS8F7JWA9MZ
