outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,q1_lo,q1_hi
vegetarian,mpba-modifiable,count,0.0239863713614475,-0.2797333,0.27437985,1.0242763583032315,1.0024015161676574,1.06608340023127,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.11736902404671577,0.16534176676961077
vegetarian,mpba-modifiable,proportion,-0.30221026850175,-2.102511425,1.532996275,0.7391826217253141,0.9702310627317392,1.00511630939998,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-1.2296357021752193,0.6252151651717193
vegetarian,vegan,count,-0.018403190594225,-0.4153486075,0.3966959325,0.9817651140886642,0.9981613732893846,1.02376963831623,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.2255574099819801,0.18875102879353012
vegetarian,vegan,proportion,0.10231308820375,-1.349636325,1.641050525,1.1077302347108262,1.0102838276196655,1.04992891750951,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.6606172306738012,0.8652434070813011
vegetarian,vegetarian,count,0.018762333488675,-0.11037911,0.116024125,1.018939452052721,1.001877994575976,1.01351505101277,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.038993593807243376,0.07651826078459337
vegetarian,vegetarian,proportion,0.950270069751,-0.641832675,2.2888711225,2.586408075586005,1.0996885539864583,1.03788168003397,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,0.20264154998059192,1.697898589521408
vegan,mpba-modifiable,count,0.00872529863905,-0.170586042,0.20123935475,1.0087634750098522,1.0008729106288217,1.00976359991991,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.0861281188992153,0.1035787161773153
vegan,mpba-modifiable,proportion,-0.2144653621155,-1.6813636325,1.27993975,0.8069727630771723,0.9787818054536944,1.01584512445743,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.9698998984675409,0.5409691742365408
vegan,vegan,count,-0.0730102258595,-0.45693201,0.3314630475,0.9295913241069169,0.9927255651342527,1.01367583470913,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.2741314139972551,0.12811096227825514
vegan,vegan,proportion,0.64933501957625,-1.02611255,2.33103405,1.91426745529293,1.067088062757599,1.00076641190236,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,-0.20707992940334197,1.505749968555842
