outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,step_size
Chicken,presence,1.26,NA,1.0233042261744978,1.06,1.52,1.19599406244112,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,0.5
Dairy,count,1.03,NA,1.0031772493200928,1,1.06,1.00435876447176,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/ED5J990H5VAZT.png,Animal,0.5
Dairy,count,1.04,NA,1.003649263542811,1.01,1.07,1.00217427761834,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/JHDN7CF1C03X5.png,Animal,0.5
Dairy,count,1.04,NA,1.0036719096160904,1.02,1.06,1.00078091652972,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,0.5
Dairy,presence,1,NA,0.9997194206136204,0.87,1.14,1.0015769211772,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/ED5J990H5VAZT.png,Animal,0.5
Dairy,presence,1.91,NA,1.0668842689937343,0.31,262.84,1.02563823479992,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/JHDN7CF1C03X5.png,Animal,0.5
Dairy,presence,1.2,NA,1.0183579435461096,0.17,10.92,1.04281900025207,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,0.5
Egg,count,1.03,NA,1.0028093263224127,0.98,1.07,1.00016169848942,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count/plots/ED5J990H5VAZT.png,Animal,0.5
Egg,count,1.06,NA,1.0055024246504205,1.02,1.09,1.00169102375439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,0.5
Egg,presence,1.1,NA,1.0097989647742103,0.87,1.4,1.00071507392661,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_presence/plots/ED5J990H5VAZT.png,Animal,0.5
Egg,presence,1.07,NA,1.0064688667914525,0.12,6.76,1.00288863213436,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,0.5
Untextured,count,1.1,NA,1.0092712742452086,1.01,1.21,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,0.5
Untextured,presence,1.1,NA,1.0092712742452086,1.01,1.21,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_presence/plots/SRQS8F7JWA9MZ.png,Animal,0.5
