"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"chicken_fish","SRQS8F7JWA9MZ","slope change","Base",-0.00202043802,-0.004896665,-0.000486751
"chicken_fish","SRQS8F7JWA9MZ","slope change","Base",0.000163611890730243,-3.08274225e-05,0.000748107775000001
"chicken_fish","pooled","slope change","Base",-0.152209353366667,-0.198799025,-0.0757572
"chicken_fish","2HRX9P6HKXA8V","gender x level","Female",-0.0680175908533333,-0.10979005,0.00812580125
"chicken_fish","ED5J990H5VAZT","gender x level","Female",-0.00253477967266667,-0.03396402,0.026935655
"chicken_fish","L69HYJ4Y3TR91","gender x level","Female",-0.1542754206,-0.248465025,-0.0495541
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Female",-5.01527038263333e-06,-5.5459285e-05,4.05342725e-05
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Female",6.70052220643333e-06,-3.93286175e-05,6.179045e-05
"chicken_fish","pooled","gender x level","Female",-0.0435943326666667,-0.17847205,0.160333025
"chicken_fish","2HRX9P6HKXA8V","gender x level","Male",-0.141061916066667,-0.193057,-0.0519503
"chicken_fish","ED5J990H5VAZT","gender x level","Male",-0.00163292754666667,-0.0169945025,0.009257512
"chicken_fish","L69HYJ4Y3TR91","gender x level","Male",-0.2741749431,-0.66401605,-0.0156594825
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",-4.35747086393333e-06,-5.0608595e-05,4.05478125e-05
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",6.70456707465667e-06,-4.0037035e-05,5.928606e-05
"chicken_fish","pooled","gender x level","Male",-0.0534191083,-0.0740311025,-0.0199122
"meat","2HRX9P6HKXA8V","level change","Base",0.022542119498,-0.103031875,0.17603015
"meat","ED5J990H5VAZT","level change","Base",0.0160424542168667,-0.0460102775,0.081815815
"meat","L69HYJ4Y3TR91","level change","Base",0.01768699251819,-0.095013465,0.136118725
"meat","SRQS8F7JWA9MZ","level change","Base",0.03259771085608,-0.112260525,0.21724585
"meat","SRQS8F7JWA9MZ","level change","Base",-0.0366991380992867,-0.21368395,0.11158955
"meat","pooled","level change","Base",0.0158970809943967,-0.110298875,0.1444825
"meat","2HRX9P6HKXA8V","slope change","Base",0.0631176137643367,-0.096408635,0.225852975
"meat","ED5J990H5VAZT","slope change","Base",0.215475342213333,0.0931574825,0.338383375
"meat","L69HYJ4Y3TR91","slope change","Base",0.236780926553,-0.166332775,0.859303775
"meat","SRQS8F7JWA9MZ","slope change","Base",-0.248064114027,-1.244822,0.36937725
"meat","SRQS8F7JWA9MZ","slope change","Base",0.196327351451667,-0.42041995,1.200415
"meat","pooled","slope change","Base",0.1649198593303,-0.160587775,0.583639725
"meat","2HRX9P6HKXA8V","gender x level","Female",-0.127075733368233,-0.296338725,0.00529197975
"meat","ED5J990H5VAZT","gender x level","Female",-0.0629479020573333,-0.109428025,-0.01773064
"meat","L69HYJ4Y3TR91","gender x level","Female",-0.0072181737646,-0.0813306425,0.075933315
"meat","SRQS8F7JWA9MZ","gender x level","Female",0.03529670152741,-0.10860025,0.216879525
"meat","SRQS8F7JWA9MZ","gender x level","Female",-0.0410887263925667,-0.2276927,0.106897125
"meat","pooled","gender x level","Female",-0.0560982330295073,-0.243941325,0.1103163
"meat","2HRX9P6HKXA8V","gender x level","Male",0.00306951639406667,-0.14092055,0.139517175
"meat","ED5J990H5VAZT","gender x level","Male",-0.164992558933333,-0.212562175,-0.11699055
"meat","L69HYJ4Y3TR91","gender x level","Male",0.020178331166154,-0.05979129,0.104659475
"meat","SRQS8F7JWA9MZ","gender x level","Male",0.0449300888195,-0.10924745,0.235338425
"meat","SRQS8F7JWA9MZ","gender x level","Male",-0.0961532825965667,-0.29544885,0.0621290900000001
"meat","pooled","gender x level","Male",-0.0444200325917,-0.293702825,0.19849015
"nonvegan","2HRX9P6HKXA8V","level change","Base",-0.0639346288857867,-0.31496385,0.11714105
"nonvegan","ED5J990H5VAZT","level change","Base",-0.015897459318784,-0.0846191175,0.051516835
"nonvegan","L69HYJ4Y3TR91","level change","Base",0.0468218308230333,-0.144319175,0.32189125
"nonvegan","SRQS8F7JWA9MZ","level change","Base",0.0249792579102667,-0.1094436,0.19143775
"nonvegan","SRQS8F7JWA9MZ","level change","Base",-0.0362032074650533,-0.197010275,0.107696875
"nonvegan","pooled","level change","Base",-0.0187943422176667,-0.26819565,0.2218596
"nonvegan","2HRX9P6HKXA8V","slope change","Base",0.0531856978437867,-0.088663255,0.222861125
"nonvegan","ED5J990H5VAZT","slope change","Base",0.0439526632357243,-0.08597669,0.189563625
"nonvegan","L69HYJ4Y3TR91","slope change","Base",0.0305964364824,-0.382366275,0.418955225
"nonvegan","SRQS8F7JWA9MZ","slope change","Base",-0.149579013169333,-1.01619025,0.439348275
