restaurant_id,analysis,outcome,exposure,n_obs,n_exposed,exposure_values
2HRX9P6HKXA8V,proportion_targeted,breakfast_p,breakfast_dishes_presence,807,807,1
JHDN7CF1C03X5,proportion_targeted,chicken_p,chicken_dishes_presence,1527,1527,1
JHDN7CF1C03X5,proportion_targeted,dairy_p,dairy_dishes_presence,1527,1527,1
SRQS8F7JWA9MZ,proportion_targeted,untextured_p,untextured_dishes_presence,1507,1507,1
W8T41JZK0ZMEP,proportion_targeted,chicken_p,chicken_dishes_presence,1201,1201,1
W8T41JZK0ZMEP,proportion_targeted,dairy_p,dairy_dishes_presence,1201,1201,1
W8T41JZK0ZMEP,proportion_targeted,egg_p,egg_dishes_presence,1201,1201,1
W8T41JZK0ZMEP,proportion_targeted,untextured_p,untextured_dishes_presence,1201,1201,1
