restaurant_id,analysis,outcome,exposure,issue_summary,separation,quasi_separation,separation_type,n_obs,n_exposed,n_unexposed,distinct_outcome_unexposed,distinct_outcome_exposed,very_sparse_exposure,very_sparse_outcome,distinct_values_exposure,distinct_values_outcome,correlation,mean_outcome_unexposed,mean_outcome_exposed,outcome_pct_zero_when_exp0,prop_zero_exposure,prop_zero_outcome,high_zero_exposure,high_zero_outcome,imbalanced,small_sample,problematic,exposure_column
SRQS8F7JWA9MZ,proportion,nonvegan,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,1507,1051,456,182,303,FALSE,FALSE,6,329,0.295,91.65,154.32,8.6,0.303,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,nonvegan,mpbamod_dishes_prop,Imbal(59%),FALSE,FALSE,OK,1201,706,0,0,59,FALSE,FALSE,98,64,0.146,NA,23.6,NA,0,0.107,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,nonvegan,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,470,FALSE,FALSE,3,470,0.053,NA,324.05,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,nonvegan,vegan_dishes_count,Imbal(99%),FALSE,FALSE,OK,2618,2598,20,1,153,FALSE,FALSE,6,153,0.543,0,29.31,100,0.008,0.137,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,nonvegan,vegan_dishes_count,Imbal(41%),FALSE,FALSE,OK,1527,626,0,0,107,FALSE,FALSE,14,117,0.149,NA,49.39,NA,0,0.205,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,nonvegan,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,318,318,0,0,69,FALSE,FALSE,6,69,0.624,NA,46.48,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,nonvegan,vegan_dishes_count,Exp_sparse(2),FALSE,FALSE,OK,1507,1346,161,73,314,TRUE,FALSE,2,329,0.39,39.52,146.82,23,0.107,0.032,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,nonvegan,vegan_dishes_count,Imbal(62%),FALSE,FALSE,OK,1201,744,0,0,63,FALSE,FALSE,20,64,0.19,NA,23.64,NA,0,0.107,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,nonvegan,vegan_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,470,FALSE,FALSE,9,470,0.028,NA,324.05,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,nonvegan,vegan_dishes_prop,Imbal(56%),FALSE,FALSE,OK,2618,1465,0,0,153,FALSE,FALSE,45,153,0.181,NA,39.13,NA,0,0.137,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,nonvegan,vegan_dishes_prop,Imbal(36%),FALSE,FALSE,OK,1527,549,0,0,100,FALSE,FALSE,50,117,0.181,NA,49.78,NA,0,0.205,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,nonvegan,vegan_dishes_prop,Imbal(27%),FALSE,FALSE,OK,318,85,0,0,43,FALSE,FALSE,19,69,0.629,NA,63.04,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,nonvegan,vegan_dishes_prop,OK,FALSE,FALSE,OK,1507,1346,161,73,314,FALSE,FALSE,7,329,0.152,39.52,146.82,23,0.107,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,nonvegan,vegan_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1201,454,0,0,49,FALSE,FALSE,88,64,-0.076,NA,20.17,NA,0,0.107,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,nonvegan,vegetarian_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,470,FALSE,FALSE,4,470,0.186,NA,324.05,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,nonvegan,vegetarian_dishes_count,Imbal(69%),FALSE,FALSE,OK,2618,1804,0,0,153,FALSE,FALSE,18,153,0.361,NA,35.58,NA,0,0.137,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,nonvegan,vegetarian_dishes_count,Imbal(40%),FALSE,FALSE,OK,1527,608,0,0,107,FALSE,FALSE,20,117,0.165,NA,50.31,NA,0,0.205,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,nonvegan,vegetarian_dishes_count,Imbal(60%),FALSE,FALSE,OK,318,191,0,0,62,FALSE,FALSE,12,69,0.279,NA,48.82,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,nonvegan,vegetarian_dishes_count,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,2,329,FALSE,FALSE,8,329,0.352,0.03,138.48,97.1,0.023,0.032,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,nonvegan,vegetarian_dishes_count,Imbal(61%),FALSE,FALSE,OK,1201,738,0,0,63,FALSE,FALSE,30,64,0.239,NA,23.71,NA,0,0.107,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,nonvegan,vegetarian_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,470,FALSE,FALSE,10,470,0.145,NA,324.05,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,nonvegan,vegetarian_dishes_prop,Imbal(52%),FALSE,FALSE,OK,2618,1372,0,0,75,FALSE,FALSE,46,153,-0.46,NA,17.66,NA,0,0.137,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,nonvegan,vegetarian_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1527,577,0,0,108,FALSE,FALSE,45,117,0.221,NA,52.11,NA,0,0.205,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,nonvegan,vegetarian_dishes_prop,Imbal(48%),FALSE,FALSE,OK,318,154,0,0,63,FALSE,FALSE,22,69,-0.071,NA,50.57,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,nonvegan,vegetarian_dishes_prop,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,2,329,FALSE,FALSE,8,329,0.336,0.03,138.48,97.1,0.023,0.032,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,nonvegan,vegetarian_dishes_prop,Imbal(69%),FALSE,FALSE,OK,1201,831,0,0,63,FALSE,FALSE,59,64,0.19,NA,23.87,NA,0,0.107,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,total,mpbamod_dishes_count,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,807,807,0,0,485,TRUE,FALSE,1,485,NA,NA,345.85,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,total,mpbamod_dishes_count,OK,FALSE,FALSE,OK,2618,545,2073,112,159,FALSE,FALSE,6,162,0.529,21.71,65.6,13.3,0.792,0.121,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,total,mpbamod_dishes_count,Imbal(46%),FALSE,FALSE,OK,1527,703,0,0,93,FALSE,FALSE,18,139,-0.212,NA,44.63,NA,0,0.202,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,total,mpbamod_dishes_count,OK,FALSE,FALSE,OK,318,128,190,56,64,FALSE,FALSE,3,86,0.634,45.4,72.44,1.1,0.597,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,total,mpbamod_dishes_count,OK,FALSE,FALSE,OK,1507,1051,456,190,314,FALSE,FALSE,3,343,0.303,95.11,159.39,8.6,0.303,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,total,mpbamod_dishes_count,Imbal(56%),FALSE,FALSE,OK,1201,667,0,0,153,FALSE,FALSE,18,185,0.283,NA,93.58,NA,0,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,total,mpbamod_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,485,FALSE,FALSE,5,485,-0.178,NA,345.85,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,total,mpbamod_dishes_prop,Imbal(21%),FALSE,FALSE,OK,2618,545,0,0,159,FALSE,FALSE,14,162,0.521,NA,65.6,NA,0,0.121,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,total,mpbamod_dishes_prop,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,91,FALSE,FALSE,51,139,-0.346,NA,44.62,NA,0,0.202,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,total,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,318,128,190,56,64,FALSE,FALSE,8,86,0.615,45.4,72.44,1.1,0.597,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,total,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,1507,1051,456,190,314,FALSE,FALSE,6,343,0.291,95.11,159.39,8.6,0.303,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,total,mpbamod_dishes_prop,Imbal(59%),FALSE,FALSE,OK,1201,706,0,0,150,FALSE,FALSE,98,185,0.302,NA,89.06,NA,0,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,total,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,485,FALSE,FALSE,3,485,0.041,NA,345.85,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,total,vegan_dishes_count,Imbal(99%),FALSE,FALSE,OK,2618,2598,20,6,162,FALSE,FALSE,6,162,0.542,1.55,31.07,50,0.008,0.121,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,total,vegan_dishes_count,Imbal(41%),FALSE,FALSE,OK,1527,626,0,0,126,FALSE,FALSE,14,139,0.171,NA,61.4,NA,0,0.202,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,total,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,318,318,0,0,86,FALSE,FALSE,6,86,0.689,NA,56.28,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,total,vegan_dishes_count,Exp_sparse(2),FALSE,FALSE,OK,1507,1346,161,72,327,TRUE,FALSE,2,343,0.395,39.54,151.95,23,0.107,0.032,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,total,vegan_dishes_count,Imbal(62%),FALSE,FALSE,OK,1201,744,0,0,161,FALSE,FALSE,20,185,0.159,NA,81.66,NA,0,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,total,vegan_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,485,FALSE,FALSE,9,485,0.015,NA,345.85,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,total,vegan_dishes_prop,Imbal(56%),FALSE,FALSE,OK,2618,1465,0,0,162,FALSE,FALSE,45,162,0.183,NA,41.5,NA,0,0.121,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,total,vegan_dishes_prop,Imbal(36%),FALSE,FALSE,OK,1527,549,0,0,120,FALSE,FALSE,50,139,0.204,NA,62.09,NA,0,0.202,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,total,vegan_dishes_prop,Imbal(27%),FALSE,FALSE,OK,318,85,0,0,47,FALSE,FALSE,19,86,0.694,NA,79.69,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,total,vegan_dishes_prop,OK,FALSE,FALSE,OK,1507,1346,161,72,327,FALSE,FALSE,7,343,0.16,39.54,151.95,23,0.107,0.032,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,total,vegan_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1201,454,0,0,129,FALSE,FALSE,88,185,-0.189,NA,70.3,NA,0,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,total,vegetarian_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,485,FALSE,FALSE,4,485,0.185,NA,345.85,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,total,vegetarian_dishes_count,Imbal(69%),FALSE,FALSE,OK,2618,1804,0,0,162,FALSE,FALSE,18,162,0.359,NA,37.73,NA,0,0.121,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,total,vegetarian_dishes_count,Imbal(40%),FALSE,FALSE,OK,1527,608,0,0,128,FALSE,FALSE,20,139,0.184,NA,62.75,NA,0,0.202,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,total,vegetarian_dishes_count,Imbal(60%),FALSE,FALSE,OK,318,191,0,0,79,FALSE,FALSE,12,86,0.32,NA,59.87,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,total,vegetarian_dishes_count,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,2,343,FALSE,FALSE,8,343,0.349,0.03,143.17,97.1,0.023,0.032,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,total,vegetarian_dishes_count,Imbal(61%),FALSE,FALSE,OK,1201,738,0,0,162,FALSE,FALSE,30,185,0.263,NA,85.25,NA,0,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,total,vegetarian_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,485,FALSE,FALSE,10,485,0.142,NA,345.85,NA,0,0.059,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,total,vegetarian_dishes_prop,Imbal(52%),FALSE,FALSE,OK,2618,1372,0,0,78,FALSE,FALSE,46,162,-0.453,NA,18.86,NA,0,0.121,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,total,vegetarian_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1527,577,0,0,128,FALSE,FALSE,45,139,0.243,NA,65.17,NA,0,0.202,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,total,vegetarian_dishes_prop,Imbal(48%),FALSE,FALSE,OK,318,154,0,0,75,FALSE,FALSE,22,86,-0.041,NA,62.45,NA,0,0.006,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,total,vegetarian_dishes_prop,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,2,343,FALSE,FALSE,8,343,0.333,0.03,143.17,97.1,0.023,0.032,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,total,vegetarian_dishes_prop,Imbal(69%),FALSE,FALSE,OK,1201,831,0,0,167,FALSE,FALSE,59,185,0.284,NA,86,NA,0,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegan,mpbamod_dishes_count,Exp_sparse(1) | Imbal(100%),FALSE,FALSE,OK,807,807,0,0,73,TRUE,FALSE,1,73,NA,NA,21.81,NA,0,0.079,FALSE,FALSE,TRUE,FALSE,TRUE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegan,mpbamod_dishes_count,OK,FALSE,FALSE,OK,2618,545,2073,11,20,FALSE,FALSE,6,20,0.455,1.17,4.01,47.1,0.792,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegan,mpbamod_dishes_count,Imbal(46%),FALSE,FALSE,OK,1527,703,0,0,26,FALSE,FALSE,18,36,-0.288,NA,7.33,NA,0,0.229,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegan,mpbamod_dishes_count,OK,FALSE,FALSE,OK,318,128,190,18,26,FALSE,FALSE,3,29,0.629,7.01,13.95,2.1,0.597,0.013,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegan,mpbamod_dishes_count,OK,FALSE,FALSE,OK,1507,1051,456,20,24,FALSE,FALSE,3,25,0.139,3.46,5.07,38.6,0.303,0.178,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegan,mpbamod_dishes_count,Imbal(56%),FALSE,FALSE,OK,1201,667,0,0,124,FALSE,FALSE,18,143,0.298,NA,68.15,NA,0,0.092,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegan,mpbamod_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,73,FALSE,FALSE,5,73,-0.191,NA,21.81,NA,0,0.079,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegan,mpbamod_dishes_prop,Imbal(21%),FALSE,FALSE,OK,2618,545,0,0,20,FALSE,FALSE,14,20,0.456,NA,4.01,NA,0,0.43,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegan,mpbamod_dishes_prop,Imbal(62%),FALSE,FALSE,OK,1527,952,0,0,25,FALSE,FALSE,51,36,-0.427,NA,7.47,NA,0,0.229,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegan,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,318,128,190,18,26,FALSE,FALSE,8,29,0.605,7.01,13.95,2.1,0.597,0.013,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegan,mpbamod_dishes_prop,OK,FALSE,FALSE,OK,1507,1051,456,20,24,FALSE,FALSE,6,25,0.127,3.46,5.07,38.6,0.303,0.178,FALSE,FALSE,FALSE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegan,mpbamod_dishes_prop,Imbal(59%),FALSE,FALSE,OK,1201,706,0,0,125,FALSE,FALSE,98,143,0.343,NA,65.45,NA,0,0.092,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegan,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,73,FALSE,FALSE,3,73,-0.136,NA,21.81,NA,0,0.079,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegan,vegan_dishes_count,Imbal(99%),FALSE,FALSE,OK,2618,2598,20,6,20,FALSE,FALSE,6,20,0.392,1.55,1.76,50,0.008,0.43,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegan,vegan_dishes_count,Imbal(41%),FALSE,FALSE,OK,1527,626,0,0,36,FALSE,FALSE,14,36,0.233,NA,12.01,NA,0,0.229,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegan,vegan_dishes_count,Imbal(100%),FALSE,FALSE,OK,318,318,0,0,29,FALSE,FALSE,6,29,0.714,NA,9.8,NA,0,0.013,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegan,vegan_dishes_count,QUASI_SEP | Exp_sparse(2),FALSE,TRUE,"Quasi-separation when unexposed (98% zeros, n=3)",1507,1346,161,3,25,TRUE,FALSE,2,25,0.378,0.02,5.13,98.1,0.107,0.178,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegan,vegan_dishes_count,Imbal(62%),FALSE,FALSE,OK,1201,744,0,0,120,FALSE,FALSE,20,143,0.135,NA,58.02,NA,0,0.092,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegan,vegan_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,73,FALSE,FALSE,9,73,-0.166,NA,21.81,NA,0,0.079,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegan,vegan_dishes_prop,Imbal(56%),FALSE,FALSE,OK,2618,1465,0,0,20,FALSE,FALSE,45,20,0.164,NA,2.37,NA,0,0.43,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegan,vegan_dishes_prop,Imbal(36%),FALSE,FALSE,OK,1527,549,0,0,35,FALSE,FALSE,50,36,0.264,NA,12.31,NA,0,0.229,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegan,vegan_dishes_prop,Imbal(27%),FALSE,FALSE,OK,318,85,0,0,23,FALSE,FALSE,19,29,0.717,NA,16.66,NA,0,0.013,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegan,vegan_dishes_prop,QUASI_SEP,FALSE,TRUE,"Quasi-separation when unexposed (98% zeros, n=3)",1507,1346,161,3,25,FALSE,FALSE,7,25,0.274,0.02,5.13,98.1,0.107,0.178,FALSE,FALSE,FALSE,FALSE,TRUE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegan,vegan_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1201,454,0,0,105,FALSE,FALSE,88,143,-0.221,NA,50.13,NA,0,0.092,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegan,vegetarian_dishes_count,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,73,FALSE,FALSE,4,73,0.137,NA,21.81,NA,0,0.079,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegan,vegetarian_dishes_count,Imbal(69%),FALSE,FALSE,OK,2618,1804,0,0,20,FALSE,FALSE,18,20,0.251,NA,2.15,NA,0,0.43,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegan,vegetarian_dishes_count,Imbal(40%),FALSE,FALSE,OK,1527,608,0,0,36,FALSE,FALSE,20,36,0.236,NA,12.44,NA,0,0.229,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
L69HYJ4Y3TR91,proportion,vegan,vegetarian_dishes_count,Imbal(60%),FALSE,FALSE,OK,318,191,0,0,29,FALSE,FALSE,12,29,0.363,NA,11.05,NA,0,0.013,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_L69HYJ4Y3TR91_1
SRQS8F7JWA9MZ,proportion,vegan,vegetarian_dishes_count,Imbal(98%),FALSE,FALSE,OK,1507,1473,34,1,25,FALSE,FALSE,8,25,0.174,0,4.69,100,0.023,0.178,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_SRQS8F7JWA9MZ_1
W8T41JZK0ZMEP,proportion,vegan,vegetarian_dishes_count,Imbal(61%),FALSE,FALSE,OK,1201,738,0,0,125,FALSE,FALSE,30,143,0.254,NA,61.54,NA,0,0.092,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_W8T41JZK0ZMEP_1
2HRX9P6HKXA8V,proportion,vegan,vegetarian_dishes_prop,Imbal(100%),FALSE,FALSE,OK,807,807,0,0,73,FALSE,FALSE,10,73,0.077,NA,21.81,NA,0,0.079,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_2HRX9P6HKXA8V_1
ED5J990H5VAZT,proportion,vegan,vegetarian_dishes_prop,Imbal(52%),FALSE,FALSE,OK,2618,1372,0,0,11,FALSE,FALSE,46,20,-0.254,NA,1.2,NA,0,0.43,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_ED5J990H5VAZT_1
JHDN7CF1C03X5,proportion,vegan,vegetarian_dishes_prop,Imbal(38%),FALSE,FALSE,OK,1527,577,0,0,36,FALSE,FALSE,45,36,0.296,NA,13.06,NA,0,0.229,FALSE,FALSE,TRUE,FALSE,FALSE,exposure_JHDN7CF1C03X5_1
