outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source
Breakfast,Count,0.8825622840790511,0.5540729623022875,1.4157037396921324,1.0029025549490644,Pooled,POOLED,finalized_redone4
Breakfast,Presence,0.8644664617781175,0.4312587051436289,2.166413098666322,1.0035939295970357,Pooled,POOLED,finalized_redone4
Chicken,Count,1.046551360173085,0.5281099649551061,1.9011158913319577,1.017681510520612,Pooled,POOLED,finalized_redone4
Chicken,Presence,1.2376104644715056,0.4089222965393307,3.91631828713335,1.0302370618511996,Pooled,POOLED,finalized_redone4
Dairy,Count,1.0644515152029579,0.9448732641431933,1.252220781271574,1.0007992585586274,Pooled,POOLED,finalized_redone4
Dairy,Presence,1.2696232381662738,0.40941910131166526,5.220226282014876,1.0178806612625655,Pooled,POOLED,finalized_redone4
Egg,Count,1.079133869035814,0.6481080517517769,1.934264788466599,1.0069589178454,Pooled,POOLED,finalized_redone4
Egg,Presence,1.000676320378828,0.31017573655893144,2.8128100459086096,1.0130612690890044,Pooled,POOLED,finalized_redone4
Untextured,Count,1.2477405246783166,0.5208504226968637,4.641721219821431,1.0257863616061413,Pooled,POOLED,finalized_redone4
Untextured,Presence,1.2477405246783166,0.5208504226968637,4.641721219821431,1.0257863616061413,Pooled,POOLED,finalized_redone4
Breakfast,Count,0.75,0.57,0.98,1.00032896958547,Restaurant,2HRX9P6HKXA8V,finalized_redone4
Breakfast,Count,0.96,0.81,1.12,1.000191665757469,Restaurant,ED5J990H5VAZT,finalized_redone4
Breakfast,Count,0.94,0.69,1.35,0.9999125134298327,Restaurant,L69HYJ4Y3TR91,finalized_redone4
Breakfast,Presence,1.1,0.3,10.77,1.0031936969517479,Restaurant,2HRX9P6HKXA8V,finalized_redone4
Breakfast,Presence,0.61,0.42,0.86,1.0014852897386195,Restaurant,ED5J990H5VAZT,finalized_redone4
Breakfast,Presence,0.91,0.61,1.37,1.0021626031318798,Restaurant,L69HYJ4Y3TR91,finalized_redone4
Chicken,Count,0.94,0.88,1.01,1.0116163010200347,Restaurant,JHDN7CF1C03X5,finalized_redone4
Chicken,Count,1.17,1.02,1.33,1.0037137035907762,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Chicken,Presence,1.43,0.25,10.46,1.0105803057161706,Restaurant,JHDN7CF1C03X5,finalized_redone4
Chicken,Presence,1.39,1.02,1.9,1.0360903974776374,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Dairy,Count,1.06,1,1.14,1.0005730057931925,Restaurant,ED5J990H5VAZT,finalized_redone4
Dairy,Count,1.07,1.02,1.13,1.0002227161889745,Restaurant,JHDN7CF1C03X5,finalized_redone4
Dairy,Count,1.05,1,1.1,0.9998244888781034,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Dairy,Presence,1.2,0.92,1.56,1.0076068383802153,Restaurant,ED5J990H5VAZT,finalized_redone4
Dairy,Presence,1.3,0.14,38.18,1.0149933082557239,Restaurant,JHDN7CF1C03X5,finalized_redone4
Dairy,Presence,1.55,0.26,15.46,1.0137182299465926,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Egg,Count,1.03,0.96,1.1,1.0011551343619483,Restaurant,ED5J990H5VAZT,finalized_redone4
Egg,Count,1.08,1.03,1.15,1.0001761588501479,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Egg,Presence,1.05,0.72,1.51,1.0005234583893103,Restaurant,ED5J990H5VAZT,finalized_redone4
Egg,Presence,1,0.13,7,1.006544492450647,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Untextured,Count,1.13,1,1.3,1.0091708152404983,Restaurant,SRQS8F7JWA9MZ,finalized_redone4
Untextured,Presence,1.13,1,1.3,1.0091708152404983,Restaurant,SRQS8F7JWA9MZ,finalized_redone4
