outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,-0.340991870708455,-0.7847998832499999,0.08937693502500005,0.7110646886350755,1.0014864120805962,2781.87391545128,Pooled,POOLED,5,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5639961610847305,-0.11798758033217946
Breakfast-style meat,Slope change,-0.27173199804447334,-0.910283537275,0.37075530525,0.7620584668841898,1.0022938082525246,2606.6516054793547,Pooled,POOLED,5,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5985276211375856,0.05506362504863893
Chicken,Level change,0.7498354993576783,-0.8705564942499999,2.20559133675,2.116651797392075,1.0135956779381698,193.7701829414579,Pooled,POOLED,1,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.034896090183137995,1.5345670888984948
Chicken,Slope change,-0.414846663868236,-1.6031853962499998,0.7797558217500002,0.6604415424926211,1.0048972278797617,273.75382208771816,Pooled,POOLED,1,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.0227398317253789,0.19304650398890688
Dairy,Level change,0.354448747312345,-0.84436836975,1.5406004337500003,1.425394685016464,1.0347883752225198,101.90962099167936,Pooled,POOLED,3,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.25396166174377754,0.9628591563684675
Dairy,Slope change,-0.375971443625036,-1.3237075124250002,0.5265743237750002,0.6866219401959278,1.074308661837575,36.18516026205641,Pooled,POOLED,3,finalized_redone_trunc,NA,"Exposure: Dairy Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.847982116125036,0.09603922887496413
Ground meat,Level change,0.3060703892183003,-1.0135970859999999,1.5522889140975005,1.358077897225153,1.0126238731635482,246.01267466433606,Pooled,POOLED,7,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3484923659086131,0.9606331443452137
Ground meat,Slope change,-0.32988236770370366,-0.9641204219999999,0.258153142225,0.7190083070557489,1.0148236640090122,373.064785122919,Pooled,POOLED,7,finalized_redone_trunc_cp,NA,"Exposure: Ground Meat Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.6416868483733464,-0.018077887034060824
Breakfast-style meat,Level change,-0.217688681336,-0.38091305175,-0.06398784337499995,NA,1.0005830287616972,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.29853694877860204,-0.13684041389339796
Breakfast-style meat,Level change,-0.12969836316816633,-0.321752853,0.13789905525000004,NA,1.0002793025052399,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2469565030278602,-0.012440223308472442
Breakfast-style meat,Level change,-0.31844423583817116,-0.6146694722499999,0.007610844000000011,NA,1.0006966759623537,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.47718921447337526,-0.1596992572029671
Breakfast-style meat,Level change,2.9528878695666667,1.8015656050000002,4.2409043925,NA,0.9999715534349078,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,2.3306075666329935,3.57516817250034
Breakfast-style meat,Level change,2.739505050675833,0.99772588875,4.608719280000001,NA,1.0016631364019524,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.81833326719369,3.660676834157976
Breakfast-style meat,Level change,-0.09954472174577333,-0.68690408375,0.5650622245,NA,1.0004418657156042,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4189238820136305,0.21983443852208384
Breakfast-style meat,Level change,-0.361923510552168,-1.0386655375000002,0.39903595700000016,NA,1.0003667773219032,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7286840958838008,0.004837074779464767
Breakfast-style meat,Level change,-0.22618840842666665,-0.33912824775,-0.11598003024999998,NA,1.000987354913167,NA,Restaurant,78AY09MVJVTYE,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.28311397411544215,-0.16926284273789113
Breakfast-style meat,Slope change,-0.25809020927812,-0.571467259,0.07805368985000001,NA,1.0078852583074882,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.42378432888271184,-0.09239608967352814
Breakfast-style meat,Slope change,-0.014885067597173333,-0.8397457345,0.8671961305,NA,1.0019872120405677,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4503294209134999,0.42055928571915324
Breakfast-style meat,Slope change,0.28050225795221334,-0.13166348975,0.6637915955,NA,1.0003224775674335,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.07758004232721336,0.4834244735772133
Breakfast-style meat,Slope change,-0.6256736258006373,-4.8850170575,2.5386888,NA,1.0004743441135011,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.519476140469005,1.26812888886773
Breakfast-style meat,Slope change,0.00669773437239,-3.4562183449999995,3.7619080650000014,NA,1.0003948646730265,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.8346610436888349,1.8480565124336148
Breakfast-style meat,Slope change,2.818928823093833,0.287236622,6.637168780000002,NA,1.0003754129320488,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.1990481705428122,4.438809475644854
Breakfast-style meat,Slope change,-0.43605266054131997,-4.6129646175,2.1335925149999997,NA,1.0001165625238186,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.157113153526014,1.2850078324433738
Breakfast-style meat,Slope change,-0.13017286881159335,-0.34011949874999997,0.09535481592500013,NA,1.002213619437259,NA,Restaurant,78AY09MVJVTYE,NA,finalized_redone_trunc_cp,NA,"Exposure: Breakfast-Style Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.24126325520827704,-0.019082482414909646
Chicken,Level change,1.562053654356,0.321543175,2.8233690000000005,NA,1.0021749915189277,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.92383278063151,2.20027452808049
Chicken,Level change,4.63380784,2.24778675,7.80304175,NA,1.0039893197783667,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,3.216650952244898,6.050964727755103
Chicken,Level change,0.9847415585333333,0.18016510000000002,1.7859272500000003,NA,1.0018126023564837,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.575108357002721,1.3943747600639456
Chicken,Level change,0.011121846379,-0.826061925,0.826041675,NA,1.0006345457479586,NA,Restaurant,V3Q26BHF3SE2H,NA,finalized_redone_trunc,NA,"Exposure: Chicken Analog
Introductions",Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.41033315362100004,0.432576846379
