outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,color_group
total,Level Change,1,1,1,1,NA,NA,Pooled,POOLED,Total
total,Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,Total
nonvegan,Level Change,1.04968115918956,0.7448221168063319,1.4574498380966319,1.04968115918956,1.00106356145795,1279.60284792116,Pooled,POOLED,Animal
nonvegan,Slope Change,0.742754627328319,0.4291375465665146,1.2782205127385884,0.742754627328319,1.00038859036906,1582.7839629192,Pooled,POOLED,Animal
meat,Level Change,0.898422301519873,0.7208317109874455,1.0941039628367124,0.898422301519873,1.69921625850374,696.747937932313,Pooled,POOLED,Animal
meat,Slope Change,0.638796691228968,0.3731544612419197,1.1722821992043668,0.638796691228968,1.25259089992189,20.111373835968,Pooled,POOLED,Animal
chicken_fish,Level Change,0.953914670432803,0.7243216806376538,1.223131474423589,0.953914670432803,1.13349842644907,18.8462203546077,Pooled,POOLED,Animal
chicken_fish,Slope Change,0.91523107562978,0.5134579073643483,1.518605690513143,0.91523107562978,1.03796914604619,50.9690407151888,Pooled,POOLED,Animal
vegetarian,Level Change,1.05755175618114,0.8192681825569775,1.4847712834293563,1.05755175618114,1.22097268383495,11.7787782839776,Pooled,POOLED,Plant-based
vegetarian,Slope Change,0.655826562236651,0.4718339941827571,0.9816027416964922,0.655826562236651,1.01304501188119,33.1571399804258,Pooled,POOLED,Plant-based
vegan,Level Change,1.14194261584307,0.7438683007046527,1.533782202120246,1.14194261584307,1.04002359987779,15.3156264336368,Pooled,POOLED,Plant-based
vegan,Slope Change,0.652766019138968,0.4638230730751348,1.0214339363424016,0.652766019138968,1.09873305935545,43.1107127184188,Pooled,POOLED,Plant-based
