outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
nonvegan,slope change,0.9895411936137477,NA,0.3148107398400336,1.749199854809259,1.00087237465095,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,22,9,0.5
nonvegan,slope change,0.5822156198526637,NA,0.3364722366212129,0.8197798314933114,1.00016790920275,NA,Restaurant,ED5J990H5VAZT,NA,Animal,22,7,0.5
nonvegan,slope change,-0.2484613592984996,NA,-2.5257286443082556,1.8687205103641833,1.00160591653037,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,18,0.5
nonvegan,slope change,2.334083760053417,NA,0.3293037471426003,4.711240449715158,1.00175591609499,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,19,0.5
nonvegan,slope change,-1.3862943611198906,NA,-3.506557897319982,0.28517894223366247,1.00098057097108,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,20,0.5
nonvegan,slope change,-0.9942522733438669,NA,-3.506557897319982,0.9439058989071284,1.00264949423803,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,21,0.5
nonvegan,slope change,0.2468600779315258,NA,-1.8325814637483102,2.5603232890727545,1.00057214793968,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,22,0.5
nonvegan,slope change,0.6729444732424258,NA,0.3148107398400336,1.0784095813505903,1.00277278883214,NA,Restaurant,EMBVNVD207CC6,NA,Animal,22,8,0.5
nonvegan,slope change,-0.2231435513142097,NA,-1.3470736479666092,0.8586616190375187,1.0001315938362,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,5,0.5
nonvegan,slope change,0.4824261492442928,NA,-0.616186139423817,1.6544112780768316,1.00019276359852,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,6,0.5
nonvegan,slope change,-0.3285040669720361,NA,-2.659260036932778,1.7867469274045107,1.00090767711965,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,14,0.5
nonvegan,slope change,-0.11653381625595151,NA,-2.3025850929940455,2.075684492802124,1.00087914740179,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,15,0.5
nonvegan,slope change,-0.4307829160924542,NA,-1.3093333199837622,0.37843643572024505,1.00045802983302,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,16,0.5
nonvegan,slope change,1.1568811967920856,NA,-0.13926206733350766,2.614471854142644,1.00147180706663,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,17,0.5
nonvegan,slope change,-0.7133498878774648,NA,-1.0216512475319814,-0.3856624808119846,1.00160600270705,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,22,10,0.5
nonvegan,slope change,0.3148107398400336,NA,-0.527632742082372,1.1631508098056809,0.999992445731388,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,22,13,0.5
nonvegan,slope change,0.16551443847757333,NA,0.06765864847381486,0.2700271372130602,1.00189012731266,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,22,12,0.5
nonvegan,slope change,0.5766133643039938,NA,0.412109650826833,0.7514160886839212,1.00176302478855,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,22,1,0.5
nonvegan,slope change,-1.6094379124341003,NA,-2.995732273553991,-0.2876820724517809,1.00006344711307,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,3,0.5
nonvegan,slope change,1.3737155789130306,NA,0.10436001532424286,2.8094026953624978,1.00007471310556,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,4,0.5
nonvegan,slope change,0.058268908123975824,NA,-0.5978370007556204,0.7747271675523681,0.999458761831494,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,22,11,0.5
nonvegan,slope change,0.0769610411361284,NA,0,0.1570037488096647,1.0058668816406,NA,Restaurant,78AY09MVJVTYE,NA,Animal,22,2,0.5
meat,level change,-0.030459207484708574,NA,-0.23572233352106983,0.08617769624105241,1.6711183005503,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,22,9,0.5
meat,level change,0.058268908123975824,NA,-0.12783337150988489,0.28517894223366247,1.65822117395425,NA,Restaurant,ED5J990H5VAZT,NA,Animal,22,7,0.5
meat,level change,0.371563556432483,NA,0.08617769624105241,0.598836501088704,1.50607520352474,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,18,0.5
meat,level change,-2.2072749131897207,NA,-2.8134107167600364,-1.3470736479666092,1.17478212162674,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,19,0.5
meat,level change,-0.3285040669720361,NA,-0.6348782724359695,0.009950330853168092,1.64011783040348,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,20,0.5
meat,level change,-0.040821994520255166,NA,-0.342490308946776,0.5007752879124892,1.20956510624706,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,21,0.5
meat,level change,-0.05129329438755058,NA,-0.4307829160924542,0.1906203596086497,1.27271132111657,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,22,0.5
meat,level change,0.16551443847757333,NA,-0.2231435513142097,0.5306282510621704,1.76021558809057,NA,Restaurant,EMBVNVD207CC6,NA,Animal,22,8,0.5
meat,level change,0.27763173659827955,NA,-1.3862943611198906,1.33500106673234,1.22568342229582,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,5,0.5
meat,level change,0.23901690047049992,NA,-0.4462871026284195,1.1786549963416462,1.69222821594721,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,22,6,0.5
meat,level change,0.01980262729617973,NA,-0.13926206733350766,0.30010459245033816,1.32744628654884,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,14,0.5
meat,level change,0.1570037488096647,NA,-0.05129329438755058,0.3364722366212129,1.60684765631543,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,15,0.5
meat,level change,0.058268908123975824,NA,-0.06187540371808753,0.26236426446749106,1.60567581100936,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,16,0.5
meat,level change,-0.18632957819149348,NA,-0.342490308946776,0.03922071315328133,1.20616726046487,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,22,17,0.5
meat,level change,0.2468600779315258,NA,0.10436001532424286,0.4637340162321402,1.17666189614764,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,22,10,0.5
meat,level change,-0.19845093872383832,NA,-0.35667494393873245,0.02955880224154443,1.26632201913872,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,22,13,0.5
meat,level change,0.03922071315328133,NA,-0.030459207484708574,0.131028262406404,1.15375646464875,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,22,12,0.5
meat,level change,-0.616186139423817,NA,-0.7985076962177716,-0.4780358009429998,1.18767752430329,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,22,1,0.5
meat,level change,0.1906203596086497,NA,-0.06187540371808753,0.4054651081081644,1.67696659844896,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,3,0.5
meat,level change,0.09531017980432493,NA,-0.09431067947124129,0.4574248470388755,1.40133316788734,NA,Restaurant,9XKJD8DQTH559,NA,Animal,22,4,0.5
meat,level change,0.08617769624105241,NA,-0.2876820724517809,0.3293037471426003,1.24204264647038,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,22,11,0.5
meat,level change,-0.11653381625595151,NA,-0.18632957819149348,-0.05129329438755058,1.69184153624688,NA,Restaurant,78AY09MVJVTYE,NA,Animal,22,2,0.5
meat,slope change,0.23901690047049992,NA,-0.13926206733350766,0.9707789171582248,1.33462388637372,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,22,9,0.5
meat,slope change,0.5653138090500605,NA,0.3364722366212129,0.8064758658669485,1.67581496176827,NA,Restaurant,ED5J990H5VAZT,NA,Animal,22,7,0.5
meat,slope change,0.45107561936021673,NA,-4.605170185988091,3.2577118486533987,1.5624700270309,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,18,0.5
meat,slope change,9.039124913522333,NA,3.5397992310997837,12.469405517668836,1.29814596057707,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,19,0.5
meat,slope change,-2.2072749131897207,NA,-4.605170185988091,-0.31471074483970024,1.74070219136784,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,20,0.5
meat,slope change,-Inf,NA,-Inf,-1.1394342831883648,1.34267497687446,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,21,0.5
meat,slope change,-0.7133498878774648,NA,-3.506557897319982,4.531523645819793,1.58697639648048,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,22,22,0.5
meat,slope change,0.6312717768418578,NA,0.30010459245033816,0.9202827531436925,1.74410115703581,NA,Restaurant,EMBVNVD207CC6,NA,Animal,22,8,0.5
