outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,source,color_group
breakfast,Level Change,0.7262023037509198,0.38593233415528866,1.4554627626680916,1.001734788852577,1303.414010260814,finalized_redone,Animal
breakfast,Slope Change,0.7713479240340418,0.2657840877487718,2.409078417520027,1.002087086165992,1477.994996540621,finalized_redone,Animal
textured,Level Change,1.2720375162257411,0.4028544191916245,4.142265042743766,1.060159567748309,105.6523460629367,finalized_redone,Animal
textured,Slope Change,0.7054271262454167,0.1184624495569989,3.872707984746362,1.0072316372172752,206.85946852799918,finalized_redone,Animal
untextured,Level Change,0.7231946541879174,0.27081360477697497,2.4008694678072517,1.426028129134894,4.317635980228718,finalized_redone2,Animal
untextured,Slope Change,0.796039774763187,0.13179458404250963,2.24168294835476,1.2645074237959004,6.3377096080884865,finalized_redone2,Animal
Total (A3),Level Change,0.9187272021535335,0.6677201869582541,1.30536112287027,1.0105556326874618,280.75874242511793,finalized_redone,Total
Total (A3),Slope Change,1.1562429355724637,0.6253069217396854,2.252104190565351,1.0105996776668091,361.6422560549174,finalized_redone,Total
