outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,n_rest_in_group,rest_rank,step_size
Breakfast,Presence,0.9883381303939521,NA,0.9883381303939521,0.956352499790037,1.020917177548195,1.00523794085061,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal,11,7,0.15
Breakfast,Presence,1.4087672830663416,NA,1.4087672830663416,1.2919940099556333,1.5654362982611614,1.0076917029868,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,11,8,0.15
Breakfast,Presence,1.4328114282049547,NA,1.4328114282049547,1.2250067046769177,1.6862278447335943,1.00183426585239,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,Animal,11,9,0.15
Breakfast,Presence,1.2355803404624175,NA,1.2355803404624175,0.7411344491069477,2.0895341923733515,1.00556530503484,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,11,10,0.15
Breakfast,Presence,1.3247796519142616,NA,1.3247796519142616,1.233130542368271,1.4322754231168144,1.01107155322485,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,11,11,0.15
Chicken,Count,1.1,NA,1.009704864075483,1.03,1.19,1.00100780003826,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,6,1,0.15
Chicken,Count,1.07,NA,1.0070030404432897,1.03,1.12,1.00956633619886,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal,6,2,0.15
Chicken,Count,1.09,NA,1.008966647789088,0.81,1.58,1.00653392794671,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,6,3,0.15
Chicken,Count,1.09,NA,1.0085957762184063,0.82,1.49,1.00668170885033,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,6,4,0.15
Chicken,Count,1,NA,0.9996182912266415,0.89,1.1,1.01488973839625,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,Animal,6,5,0.15
Chicken,Count,1.13,NA,1.0121738228426382,1.05,1.23,1.00062586347506,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal,6,6,0.15
Chicken,Presence,1.4661586667321507,NA,1.4661586667321507,1.2326747552928772,1.7602621105065641,1.00269507172095,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal,6,1,0.15
Chicken,Presence,1.3508459614782269,NA,1.3508459614782269,0.9815395625560397,1.9892823135366982,1.00091031322187,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal,6,2,0.15
Chicken,Presence,1.2293994987804728,NA,1.2293994987804728,0.9028804514474342,1.765383911437468,1.00103355268897,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,Animal,6,3,0.15
Chicken,Presence,1.253605544879529,NA,1.253605544879529,0.8977344508701224,1.789139758846181,1.00079612300322,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,Animal,6,4,0.15
