outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
vegetarian,mpbamod,Count,1.033979887476997,1.033979887476997,1.0033471216147567,0.9729406067754313,1.0979317635205073,1.00986550584983,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,mpbamod,Proportion,0.9832685146039457,0.844736631918684,0.9832685146039457,0.8861940803958529,1.1016682562234936,1.02611729398468,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegan,Count,1.098750783552142,1.098750783552142,1.0094618714447339,1.0434192674915328,1.1630999658480625,1.00211710872981,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegan,Proportion,1.0896747825217317,2.360309774075181,1.0896747825217317,1.0294867118292232,1.1553880366285831,1.00214940861979,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegetarian,Count,1.0535716203392038,1.0535716203392038,1.0052322340957858,1.0120188073191012,1.0922295545280922,1.04278265808056,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegetarian,Proportion,1.0843157595263342,2.246765253704077,1.0843157595263342,1.013427347920931,1.156344313557347,1.01601935396981,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,mpbamod,Count,1.0517906154744763,1.0517906154744763,1.0050621757130522,0.97750859678141,1.1394208989933616,1.0216551946903,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,mpbamod,Proportion,1.0018681494943624,1.0188393290982527,1.0018681494943624,0.876871122577293,1.157124444111222,1.010702546537,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,vegan,Count,1.1398723195170524,1.1398723195170524,1.0131776960919556,1.0542664399503077,1.2448952004148168,1.0050888444834,Pooled,POOLED,Plant-based,17,NA,0.12
vegan,vegan,Proportion,1.1383633662464858,3.654341352295015,1.1383633662464858,1.0275130134847288,1.250995863594386,1.00467684333929,Pooled,POOLED,Plant-based,17,NA,0.12
vegan,vegetarian,Count,1.0549328819259574,1.0549328819259574,1.0053620391364777,1.0067733415182225,1.1064149903075384,1.01591069401392,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,vegetarian,Proportion,1.0313289894254458,1.3613577065436948,1.0313289894254458,0.9566219377067455,1.11454851095684,1.00386486160666,Pooled,POOLED,Plant-based,18,NA,0.12
