outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,ess_bulk
breakfast,Level Change,0.7262023037509198,0.38593233415528866,1.4554627626680916,1.001734788852577,Pooled,POOLED,finalized_redone,Animal,NA
breakfast,Slope Change,0.7713479240340418,0.2657840877487718,2.409078417520027,1.002087086165992,Pooled,POOLED,finalized_redone,Animal,NA
textured,Level Change,1.2720375162257411,0.4028544191916245,4.142265042743766,1.060159567748309,Pooled,POOLED,finalized_redone,Animal,NA
textured,Slope Change,0.7054271262454167,0.1184624495569989,3.872707984746362,1.0072316372172752,Pooled,POOLED,finalized_redone,Animal,NA
untextured,Level Change,0.7231946541879174,0.27081360477697497,2.4008694678072517,1.426028129134894,Pooled,POOLED,finalized_redone2,Animal,NA
untextured,Slope Change,0.796039774763187,0.13179458404250963,2.24168294835476,1.2645074237959004,Pooled,POOLED,finalized_redone2,Animal,NA
Total (A3),Level Change,0.9187272021535335,0.6677201869582541,1.30536112287027,1.0105556326874618,Pooled,POOLED,finalized_redone,Total,NA
Total (A3),Slope Change,1.1562429355724637,0.6253069217396854,2.252104190565351,1.0105996776668091,Pooled,POOLED,finalized_redone,Total,NA
breakfast,Level Change,0.54,0.38,0.75,1.0003927092150653,Restaurant,2HRX9P6HKXA8V,finalized_redone,Animal,NA
breakfast,Slope Change,0.34,0.16,0.76,1.0003388554823,Restaurant,2HRX9P6HKXA8V,finalized_redone,Animal,NA
breakfast,Level Change,0.94,0.63,1.4,1.000631548318321,Restaurant,L69HYJ4Y3TR91,finalized_redone,Animal,NA
breakfast,Slope Change,1.09,0.24,6.23,0.9999612967694126,Restaurant,L69HYJ4Y3TR91,finalized_redone,Animal,NA
breakfast,Level Change,0.68,0.45,1.03,1.0001874586856807,Restaurant,ED5J990H5VAZT,finalized_redone,Animal,NA
breakfast,Slope Change,1.14,0.57,2.19,0.9995483064168178,Restaurant,ED5J990H5VAZT,finalized_redone,Animal,NA
textured,Level Change,1.33,0.97,1.85,1.0023384998534837,Restaurant,VLZX7K2M9QD4T,finalized_redone,Animal,NA
textured,Slope Change,0.51,0.05,3.47,1.015947001453199,Restaurant,VLZX7K2M9QD4T,finalized_redone,Animal,NA
untextured,Level Change,0.91,0.79,1.1,1.0709827468803141,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,Animal,NA
untextured,Level Change,1.03,0.88,1.19,1.0564629600699371,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,Animal,NA
untextured,Slope Change,0.55,0.19,1.19,1.0828856518470253,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,Animal,NA
untextured,Slope Change,0.89,0.45,2.65,1.1101693504502819,Restaurant,SRQS8F7JWA9MZ,finalized_redone2,Animal,NA
