outcome,effect_type,mean,q5,q95,rhat,ess_bulk,estimate_type,restaurant_id
chicken_fish,Level Change,-0.1328128088325778,-0.56605705,0.32780755,1.1572540293510722,16.19438607999873,Pooled,POOLED
chicken_fish,Slope Change,-0.0022305906570666656,-0.89348565,0.8633500000000001,1.0673767608878129,55.48514431889329,Pooled,POOLED
meat,Level Change,-0.17513308850044446,-0.3561669,-0.025560584999999983,1.019469189376848,275.9769322317382,Pooled,POOLED
meat,Slope Change,0.025863098253777778,-0.50128945,0.6141537500000002,1.008427118860087,224.95320484657108,Pooled,POOLED
nonvegan,Level Change,-0.12667721722333333,-0.40394435,0.1523744500000002,1.089032671656248,25.12113787243797,Pooled,POOLED
nonvegan,Slope Change,0.10608837604361555,-0.34086645000000004,0.47921165000000043,1.1252363746560994,183.2719622749613,Pooled,POOLED
total,Level Change,-0.099492812036,-0.35441875000000006,0.16320480000000007,1.007209330741514,290.6936669541282,Pooled,POOLED
total,Slope Change,0.18710625556488888,-0.38248814999999997,0.8195465000000001,1.022480077441171,233.2957255469327,Pooled,POOLED
vegan,Level Change,0.11318571567377778,-0.07779006,0.3397073000000001,1.358705569745215,7.04108526823299,Pooled,POOLED
vegan,Slope Change,0.24987812606466667,-0.47581524999999997,1.4668275000000004,1.3262509149513573,7.406867925020606,Pooled,POOLED
vegetarian,Level Change,0.003330800570022222,-0.32120015,0.35424500000000014,1.006359110122586,358.475334938582,Pooled,POOLED
vegetarian,Slope Change,0.20987585956533333,-0.15178179999999997,0.6216232,1.0021551005179403,499.3594211814922,Pooled,POOLED
chicken_fish,Level Change,-0.15082288973458366,-0.4462871026284195,0.14842000511827322,1.0259848216149976,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Slope Change,-0.31471074483970024,-1.8325814637483102,1.252762968495368,1.0095174488798695,NA,Restaurant,VLZX7K2M9QD4T
chicken_fish,Level Change,-0.2484613592984996,-1.7719568419318752,1.1019400787607843,1.0244321551216433,NA,Restaurant,SRQS8F7JWA9MZ
chicken_fish,Level Change,-0.23572233352106983,-1.7147984280919266,1.1249295969854831,1.0755595152507036,NA,Restaurant,SRQS8F7JWA9MZ
chicken_fish,Slope Change,-0.4620354595965587,-3.2188758248682006,1.7439688053917064,1.0650634089649116,NA,Restaurant,SRQS8F7JWA9MZ
chicken_fish,Slope Change,-0.4155154439616658,-2.995732273553991,1.7191887763932197,1.1107167756407308,NA,Restaurant,SRQS8F7JWA9MZ
chicken_fish,Level Change,0.04879016416943205,-0.2613647641344075,0.3576744442718159,1.019854829632518,NA,Restaurant,2HRX9P6HKXA8V
chicken_fish,Slope Change,-1.4271163556401458,-2.4079456086518722,-0.6539264674066639,1.0888795241994715,NA,Restaurant,2HRX9P6HKXA8V
