outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,color_group
breakfast,Level Change,-0.242840656202057,-0.4594353555,0.0452578990175,0.791015615117281,1.0014864120806,2781.87391545128,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,-0.605865972561137,-1.2201706049,0.11712159125,0.578662823218862,1.00229380825252,2606.65160547935,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
chicken,Level Change,0.844028548388167,-0.7483231675,2.2472766225,3.07329200820184,1.01359567793817,193.770182941458,Pooled,POOLED,0,finalized_redone_trunc,Animal
chicken,Slope Change,-0.739484194348867,-1.965045225,0.543572275000001,0.575914621950477,1.00489722787976,273.753822087718,Pooled,POOLED,0,finalized_redone_trunc,Animal
dairy,Level Change,0.448641796342833,-0.755479375,1.5522739,1.8267756913002,1.03478837522252,101.909620991679,Pooled,POOLED,0,finalized_redone_trunc,Animal
dairy,Slope Change,-0.700608974105667,-1.65584395,0.209004475,0.549718731665847,1.07430866183758,36.1851602620564,Pooled,POOLED,0,finalized_redone_trunc,Animal
untextured,Level Change,0.399510752024057,-0.8197817195,1.587895865,1.80315481830063,1.01262387316355,246.012674664336,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
untextured,Slope Change,-0.631780816293273,-1.30019506575,0.0500577047499999,0.560890569794186,1.01482366400901,373.064785122919,Pooled,POOLED,0,finalized_redone_trunc_cp,Animal
Total (A3),Level Change,0,0,0,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,Total
Total (A3),Slope Change,0,0,0,1,NA,NA,Pooled,POOLED,NA,finalized_redone_trunc,Total
