outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
vegetarian,mpbamod,Proportion,1.08283831194576,0.605250497614947,1.763707469119207,NA,1.08283831194576,1.00534292984367,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,mpbamod,Proportion,0.908498262106802,0.6233944023599959,1.2848125298028263,NA,0.908498262106802,1.00331317953106,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,mpbamod,Proportion,1.28475964919569,0.45964022147423383,2.838415416107191,NA,1.28475964919569,1.01290466923501,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,mpbamod,Proportion,0.998308551013073,0.6453918577587143,1.4823863717457124,NA,0.998308551013073,1.0041183282739,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,mpbamod,Proportion,1.4438281800744,0.9982606324561116,2.048243493662715,NA,1.4438281800744,1.00122623937372,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,mpbamod,Proportion,0.951507317372951,0.5884472098170767,1.452002676905886,NA,0.951507317372951,1.00596363803791,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,mpbamod,Proportion,1.17173947590772,1.06969503330891,1.2863063129796888,NA,1.17173947590772,1.00415512600867,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,mpbamod,Proportion,0.982140969558794,0.904383050032702,1.0578224643142844,NA,0.982140969558794,1.00099416752669,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,mpbamod,Proportion,0.990741725146486,0.8537437438258533,1.1398728940125613,NA,0.990741725146486,1.00658968644613,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegan,Count,NA,0.959414798536939,1.0521812969802362,NA,1.00033669714402,1.0044797949829,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,vegan,Count,NA,0.9112286467323542,1.1712023851220539,NA,1.00336688376453,1.00514165605771,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegan,Count,NA,0.9603513871845866,1.0280648872947282,NA,0.999392385738536,1.00021681506207,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,vegan,Count,NA,0.971629600176014,1.0138396915983625,NA,0.999278187598361,1.00323827022646,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,vegan,Count,NA,0.9556126404072903,1.0429249844079373,NA,0.999992625067494,1.00092937411632,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,vegan,Count,NA,0.993591093909219,1.0494184406170965,NA,1.00211265497588,1.00653559109703,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,vegan,Count,NA,0.9590622407348297,1.1172132653329518,NA,1.00326114908635,1.00089029208315,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegan,Count,NA,0.7935092986966701,1.095749378362813,NA,0.992760975896894,1.00013060251271,Restaurant,EMBVNVD207CC6,Plant-based
vegetarian,vegan,Count,NA,1.0106648600717842,1.065735101264781,NA,1.00372061425435,1.000646092723,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegan,Count,NA,0.9479265423044613,1.0824865703777506,NA,1.00140448914327,1.00146728854129,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegan,Count,NA,0.8806139190149247,1.031232044813253,NA,0.995308832467497,1.0084060735781,Restaurant,LBZEEFSBJNB3Z,Plant-based
vegetarian,vegan,Count,NA,0.8058511218756648,1.2598831558676469,NA,1.00164507304088,1.00311625352584,Restaurant,LFZFT3VASXPED,Plant-based
vegetarian,vegan,Count,NA,0.7786631922264761,1.1939070001884777,NA,0.996740649719223,1.0076939459287,Restaurant,LQ5EH4BKGV61T,Plant-based
vegetarian,vegan,Count,NA,0.8562103931078182,1.1187079683094954,NA,0.998186627338991,1.00473205410534,Restaurant,S8MT0YGD2KTN9,Plant-based
vegetarian,vegan,Count,NA,0.7393865117882985,1.3041209612211169,NA,0.999288160104334,1.00183193395681,Restaurant,SAFK7ND1HR6XS,Plant-based
vegetarian,vegan,Count,NA,0.5921997188914002,0.8696478107701738,NA,0.966492562286992,1.00614165967215,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegan,Count,NA,0.9199137445576587,1.0925050580271218,NA,0.999932558841116,1.00355720821628,Restaurant,V3Q26BHF3SE2H,Plant-based
vegetarian,vegan,Count,NA,0.9776721667149073,1.0155991338729382,NA,0.999706385994902,1.0001531270945,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Proportion,1.02525844632704,0.9035023994505916,1.1600063674102787,NA,1.02525844632704,1.00434051309498,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,vegetarian,Proportion,0.983188692258135,0.7696102724050967,1.232166985154797,NA,0.983188692258135,1.00168070508029,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegetarian,Proportion,1.00425726000542,0.9292105817999652,1.085613402315709,NA,1.00425726000542,1.00068144622179,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,vegetarian,Proportion,0.999031087128995,0.8805191326327602,1.125940714713473,NA,0.999031087128995,1.00264706926557,Restaurant,9XKJD8DQTH559,Plant-based
