fit_dir,total_dir,analysis,outcome,gamma_index,level,restaurant,type_fine,model_col,total_source,mean,median,q2.5,q16,q84,q97.5
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,L69HYJ4Y3TR91,gender_female,exposure_L69HYJ4Y3TR91_1_genderfemale,matched_restaurant,-0.168134272108867,-0.16935239,-0.399072525,-0.28659324,-0.0500912229,0.0658838450000001
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,ED5J990H5VAZT,gender_male,exposure_ED5J990H5VAZT_1_gendermale,matched_restaurant,0.0239497861973667,0.024107565,-0.0248195395,-0.00103656,0.0492819176,0.07117676875
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,NA,restaurant,ED5J990H5VAZT,gender_female,exposure_ED5J990H5VAZT_1_genderfemale,matched_restaurant,-0.0291276957975,-0.02923461,-0.093876085,-0.06386252,0.007229436,0.031310782
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,1,pooled,NA,level,NA,mu_gamma_total,0.0594097367424,0.1040186,-0.262377225,-0.1218289128,0.21272118,0.303703725
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,2,pooled,NA,slope,NA,mu_gamma_total,-0.187749527326333,-0.193170685,-0.4188112425,-0.31071544,-0.0676742912,0.0805696850000001
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,3,pooled,NA,gender_male,NA,mu_gamma_total,-0.0950679795884,-0.1045059,-0.3827714775,-0.220578944,0.024528248,0.30547369
model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,chicken_fish,4,pooled,NA,gender_female,NA,mu_gamma_total,-0.0002143290657,-0.03113195,-0.306993075,-0.166989584,0.19852794,0.355147875
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_1,matched_restaurant,0.0379013341143133,0.035098165,-0.1720127325,-0.06930387576,0.145406244,0.26969571
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,level,exposure_SRQS8F7JWA9MZ_2,matched_restaurant,-0.0200392612682,-0.01544685,-0.2343280025,-0.1280858752,0.081572152,0.1922594925
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,2HRX9P6HKXA8V,level,exposure_2HRX9P6HKXA8V_1,matched_restaurant,0.0466744253942667,0.03900274,-0.1722840825,-0.056099088,0.151188808,0.2888229625
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,L69HYJ4Y3TR91,level,exposure_L69HYJ4Y3TR91_1,matched_restaurant,-0.02097643372326,-0.00681314,-0.29676615,-0.124299044,0.07982184,0.18657416
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,ED5J990H5VAZT,level,exposure_ED5J990H5VAZT_1,matched_restaurant,0.0243634932567967,0.023265045,-0.064598835,-0.021334532,0.0709727572,0.1130206625
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,slope,exposure_SRQS8F7JWA9MZ_1_slope,matched_restaurant,-0.0906564358023333,-0.069209405,-1.232861475,-0.522901328,0.325167136,0.9865005625
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,slope,exposure_SRQS8F7JWA9MZ_2_slope,matched_restaurant,0.145966129950767,0.1214107,-0.9097963175,-0.28763128,0.579408564,1.334350525
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,2HRX9P6HKXA8V,slope,exposure_2HRX9P6HKXA8V_1_slope,matched_restaurant,0.0343876994993367,0.034841995,-0.206082945,-0.076746996,0.146486744,0.2751558975
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,L69HYJ4Y3TR91,slope,exposure_L69HYJ4Y3TR91_1_slope,matched_restaurant,0.192625192751067,0.16731,-0.403839155,-0.07201448,0.475203068,0.915607527500001
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,ED5J990H5VAZT,slope,exposure_ED5J990H5VAZT_1_slope,matched_restaurant,0.155630916002207,0.1559711,-0.0313396,0.06441448,0.247609764,0.3398462355
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,gender_male,exposure_SRQS8F7JWA9MZ_1_gendermale,matched_restaurant,-0.076484293944,-0.07635097055,-0.3302775775,-0.203453192,0.050691772,0.1793288125
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,gender_female,exposure_SRQS8F7JWA9MZ_1_genderfemale,matched_restaurant,0.09887598630291,0.090153265,-0.1052578775,-0.008762968,0.2082102788,0.3486771525
model_fits/finalized_redone_trunc_cp/a5_customer_day/meat,model_fits/finalized_redone_trunc_cp/a5_customer_day/total,a5_customer_day,meat,NA,restaurant,SRQS8F7JWA9MZ,gender_male,exposure_SRQS8F7JWA9MZ_2_gendermale,matched_restaurant,0.0566575402002667,0.0537515,-0.209548215,-0.070900484,0.18969046,0.3164595905
