outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id
nonvegan,Level Change,0.9249171261812504,0.6943503630317908,1.2446787941958803,1.040320286616502,81.75767946519044,Pooled,POOLED
nonvegan,Slope Change,1.093803231071886,0.7493242526947623,1.7601767849499694,1.0086615397470102,156.8189172610703,Pooled,POOLED
nonvegan,Level Change,0.89,0.66,1.24,1.0100749256677237,NA,Restaurant,VLZX7K2M9QD4T
nonvegan,Slope Change,1.07,0.58,2.11,1.0090162673355862,NA,Restaurant,VLZX7K2M9QD4T
nonvegan,Level Change,0.99,0.85,1.17,1.0041610515616086,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Level Change,0.98,0.84,1.15,1.0063943620058367,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,0.61,0.19,1.31,1.0077361038056785,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Slope Change,0.99,0.45,3.01,1.0079448418204444,NA,Restaurant,SRQS8F7JWA9MZ
nonvegan,Level Change,0.67,0.53,0.85,1.0051742472757377,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Slope Change,1.05,0.77,1.47,1.0061719449017168,NA,Restaurant,2HRX9P6HKXA8V
nonvegan,Level Change,0.9,0.76,1.08,1.0027719697064204,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Slope Change,1,0.72,1.43,1.0092294326997238,NA,Restaurant,JHDN7CF1C03X5
nonvegan,Level Change,1.22,0.92,1.66,1.0074632450609264,NA,Restaurant,L69HYJ4Y3TR91
nonvegan,Slope Change,1.3,0.78,3.51,1.0151137422857397,NA,Restaurant,L69HYJ4Y3TR91
nonvegan,Level Change,0.98,0.74,1.29,1.0009416177717303,NA,Restaurant,ED5J990H5VAZT
nonvegan,Slope Change,1.16,0.83,1.74,1.003203578556906,NA,Restaurant,ED5J990H5VAZT
