outcome,exposure_type,mean,q5,q95,rhat,color_group
Breakfast,Count,1.6939305689753341,0.6426299023519307,3.96857068140505,1.0224508242698191,Animal
Breakfast,Presence,1.1964419160375799,1.0578420487562232,1.345242776851003,1.0035084086881496,Animal
Chicken,Count,1.0787238396685999,0.7310906636807579,1.5239277530415003,1.0052690833191684,Animal
Chicken,Presence,1.0089175879460142,0.851217203261859,1.191999083777708,1.0011500629672099,Animal
Dairy,Count,1.459080749496712,0.8315488772968204,2.4674733700805307,1.002615583246039,Animal
Dairy,Presence,1.17785680870639,0.9976286745449271,1.3921794933896974,1.0018599412627727,Animal
Egg,Count,1.418478743496415,0.6061352700002616,2.903822579840726,1.0041831729686743,Animal
Egg,Presence,1.1413292242087452,0.9668922566052355,1.347663564354341,1.010853915109285,Animal
Untextured,Count,1.1379279538436111,0.7186115007839644,1.7351651566132669,1.084837786173446,Animal
Untextured,Presence,1.0619029020103288,0.9575684665006726,1.16662877415024,1.002192713043419,Animal
Total (A1),Count,1.024170721441251,0.9750114689771372,1.0889058339390676,1.001890790557717,Total
Total (A1),Presence,0.9967760716565188,0.9761729064614828,1.0231746082948154,1.0021735419765714,Total
