outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
breakfast,level change,-0.17833379310918,0.8366631044949983,-0.362590882,0.0929259262749997,1.0014864120806,2781.87391545128,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,8,NA,0.5
breakfast,slope change,-0.006084510866137,0.9939339622844184,-0.52339497325,0.538840107,1.00229380825252,2606.65160547935,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,8,NA,0.5
chicken,level change,0.913786887634333,2.4937482194090124,-0.67067545,2.2911155,1.01359567793817,193.770182941458,Pooled,POOLED,finalized_redone_trunc,NA,Animal,4,NA,0.5
chicken,slope change,-0.143936779595533,0.8659424915632954,-1.28616225,0.983150225,1.00489722787976,273.753822087718,Pooled,POOLED,finalized_redone_trunc,NA,Animal,4,NA,0.5
dairy,level change,0.518400135589,1.6793387850068058,-0.685825325,1.635193,1.03478837522252,101.909620991679,Pooled,POOLED,finalized_redone_trunc,NA,Animal,8,NA,0.5
dairy,slope change,-0.105061559352333,0.9002691008976448,-1.01451025,0.721926425,1.07430866183758,36.1851602620564,Pooled,POOLED,finalized_redone_trunc,NA,Animal,8,NA,0.5
textured,level change,0.11927864606335,1.1266838205637455,-0.68823645,0.778843899999999,1.0006655871138,1440.40696800181,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,2,NA,0.5
textured,slope change,-0.33610766545665,0.7145461697347905,-1.440775,0.853895674999999,1.00206168702962,2019.60094423267,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,2,NA,0.5
untextured,level change,0.464017615116934,1.5904509861733875,-0.75602691025,1.6308032075,1.01262387316355,246.012674664336,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,10,NA,0.5
untextured,slope change,-0.0319993545982733,0.9685072071552197,-0.586150863,0.4437206505,1.01482366400901,373.064785122919,Pooled,POOLED,finalized_redone_trunc_cp,NA,Animal,10,NA,0.5
breakfast,level change,-0.2231435513142097,NA,-0.3856624808119846,-0.06187540371808753,1.0005830287617,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc_cp,NA,Animal,8,1,0.5
breakfast,level change,-0.12783337150988489,NA,-0.3285040669720361,0.131028262406404,1.00027930250524,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc_cp,NA,Animal,8,4,0.5
breakfast,level change,-0.19845093872383832,NA,-0.4155154439616658,0.04879016416943205,1.00069667596235,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc_cp,NA,Animal,8,3,0.5
breakfast,level change,2.963209081848431,NA,1.8050046959780757,4.281377226523952,0.999971553434908,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,5,0.5
breakfast,level change,2.7536607123542622,NA,0.9783261227936078,4.549657476057832,1.00166313640195,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,6,0.5
breakfast,level change,-0.09431067947124129,NA,-0.6931471805599453,0.5538851132264376,1.0004418657156,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,7,0.5
breakfast,level change,-0.35667494393873245,NA,-1.0498221244986778,0.3852624007906449,1.0003667773219,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,8,0.5
breakfast,level change,-0.2231435513142097,NA,-0.342490308946776,-0.11653381625595151,1.00098735491317,NA,Restaurant,78AY09MVJVTYE,finalized_redone_trunc_cp,NA,Animal,8,2,0.5
breakfast,slope change,-0.2613647641344075,NA,-0.5621189181535413,0.06765864847381486,1.00788525830749,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc_cp,NA,Animal,8,1,0.5
breakfast,slope change,-0.01005033585350145,NA,-0.8209805520698302,0.8372475245337022,1.00198721204057,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc_cp,NA,Animal,8,4,0.5
breakfast,slope change,0.28517894223366247,NA,-0.11653381625595151,0.6729444732424258,1.00032247756743,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc_cp,NA,Animal,8,3,0.5
breakfast,slope change,-0.579818495252942,NA,-4.605170185988091,2.559550192783766,1.0004743441135,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,5,0.5
breakfast,slope change,-0.030459207484708574,NA,-3.506557897319982,3.8130862575681226,1.00039486467303,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,6,0.5
breakfast,slope change,2.826129489167811,NA,0.29266961396282004,6.630393106048308,1.00037541293205,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,7,0.5
breakfast,slope change,-0.4462871026284195,NA,-4.605170185988091,2.131796772013764,1.00011656252382,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc_cp,NA,Animal,8,8,0.5
breakfast,slope change,-0.12783337150988489,NA,-0.342490308946776,0.08617769624105241,1.00221361943726,NA,Restaurant,78AY09MVJVTYE,finalized_redone_trunc_cp,NA,Animal,8,2,0.5
chicken,level change,1.5623463049002497,NA,0.3220834991691132,2.8231630082027146,1.00217499151893,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,1,0.5
chicken,level change,4.6338548198480005,NA,2.248128907197987,7.8030429833680035,1.00398931977837,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,2,0.5
chicken,level change,0.9858167945227654,NA,0.1823215567939546,1.7867469274045107,1.00181260235648,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,3,0.5
chicken,level change,0.009950330853168092,NA,-0.8209805520698302,0.8241754429663494,1.00063454574796,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,4,0.5
chicken,slope change,-0.2484613592984996,NA,-2.659260036932778,1.7544036826842861,1.00230669152137,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,1,0.5
chicken,slope change,-0.18632957819149348,NA,-2.5257286443082556,2.0082140323914683,1.00921701178031,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,2,0.5
chicken,slope change,-0.3285040669720361,NA,-2.8134107167600364,1.706564623164823,1.00410405434449,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,3,0.5
chicken,slope change,0.09531017980432493,NA,-1.6607312068216509,2.987700101856727,1.00418489726078,NA,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal,4,4,0.5
dairy,level change,0.16551443847757333,NA,0,0.3220834991691132,1.0051447541946,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,4,0.5
dairy,level change,0.1906203596086497,NA,0.01980262729617973,0.3987761199573678,1.004491955383,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,5,0.5
dairy,level change,0.14842000511827322,NA,-0.05129329438755058,0.3364722366212129,1.01053118886525,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,6,0.5
dairy,level change,0.14842000511827322,NA,-0.05129329438755058,0.3148107398400336,1.00444895309443,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,7,0.5
dairy,level change,0.1570037488096647,NA,-0.030459207484708574,0.3293037471426003,1.01294357934229,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,8,0.5
dairy,level change,1.9344157696295783,NA,0.4252677354043441,3.4679210137050633,1.01395816394371,NA,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Animal,8,3,0.5
dairy,level change,0.35065687161316933,NA,0.06765864847381486,0.6575200029167941,1.00357055529602,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal,8,1,0.5
dairy,level change,0.30010459245033816,NA,-0.05129329438755058,0.6151856390902335,1.00821616650824,NA,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal,8,2,0.5
dairy,slope change,-0.18632957819149348,NA,-1.6094379124341003,1.075002423028976,1.02940430841146,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,4,0.5
dairy,slope change,0.5877866649021191,NA,-0.3285040669720361,2.4782176616372036,1.03076394650902,NA,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,8,5,0.5
