outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
nonvegan,mpbamod,Count,0.0013719747891333333,-0.1835907,0.18226434999999985,1.0019799406729248,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,-0.3463977166494387,-1.48874775,0.6865966749999999,1.001471884565284,Pooled,POOLED,Animal
nonvegan,vegan,Count,0.19778921606533334,-0.07887504000000001,0.47962837499999983,1.0152926721128979,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,0.74517399956,-0.110276,1.5189784999999991,0.9998133868633099,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,0.042437052052,-0.0402247625,0.11857247499999982,1.0035074085991917,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,0.594608766892,-0.2012081,1.2477147499999994,1.0043142744199527,Pooled,POOLED,Animal
meat,mpbamod,Count,-0.0080653248414,-0.14564125,0.10794567499999999,1.004725297966006,Pooled,POOLED,Animal
meat,mpbamod,Proportion,-0.14995866201266667,-1.1005932500000002,0.6961098499999999,0.9993810744766637,Pooled,POOLED,Animal
meat,vegan,Count,0.17817881093466667,-0.18344975,0.5539120749999991,1.000399723712938,Pooled,POOLED,Animal
meat,vegan,Proportion,0.001624065548,-0.96887235,0.9211405249999978,0.9996885184317958,Pooled,POOLED,Animal
meat,vegetarian,Count,0.017881767727326667,-0.072000325,0.08940187499999983,1.002691330927441,Pooled,POOLED,Animal
meat,vegetarian,Proportion,-0.544668888804,-1.41500975,0.39007829999999977,0.9994672169111614,Pooled,POOLED,Animal
chicken_fish,mpbamod,Count,-0.020018876691413334,-0.1168343,0.04008741499999999,0.9996990591199355,Pooled,POOLED,Animal
chicken_fish,mpbamod,Proportion,-1.3705366948,-2.28439825,-0.3392591500000006,1.0011637204117236,Pooled,POOLED,Animal
chicken_fish,vegan,Count,0.14794124538533332,-0.107713625,0.4095899499999994,0.9994939487385757,Pooled,POOLED,Animal
chicken_fish,vegan,Proportion,0.1023735935926,-0.838187375,1.0285232499999983,1.0058639581872029,Pooled,POOLED,Animal
chicken_fish,vegetarian,Count,0.09212452546166666,-0.0389987,0.2682756749999994,1.0018962793855615,Pooled,POOLED,Animal
chicken_fish,vegetarian,Proportion,-0.2768201616186667,-1.4463080000000001,0.8609256499999998,1.0010387590239889,Pooled,POOLED,Animal
vegetarian,mpbamod,Count,0.039752704586533336,-0.21213845,0.2981295749999997,1.0102845335581176,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Proportion,-0.22822749947666668,-1.3469557500000002,0.8638712749999999,1.0003711593717308,Pooled,POOLED,Plant-based
vegetarian,vegan,Count,0.162733808896,-0.0342573,0.3835247749999997,1.00397919601507,Pooled,POOLED,Plant-based
vegetarian,vegan,Proportion,0.7052756881993333,-0.04955249499999999,1.5554674999999998,1.002771863561424,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Count,0.06785677126466666,-0.0228655475,0.16461904999999993,1.021528149440807,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Proportion,1.7318137719673334,0.9106395,2.441526749999999,0.9995915411671499,Pooled,POOLED,Plant-based
vegan,mpbamod,Count,0.031093168581466667,-0.122226675,0.20210677499999993,1.000553675829751,Pooled,POOLED,Plant-based
vegan,mpbamod,Proportion,-0.43069400715333334,-1.457677,0.624730099999999,1.0275110358638397,Pooled,POOLED,Plant-based
vegan,vegan,Count,0.12470015722666666,-0.119388525,0.29700445,1.0332243019680074,Pooled,POOLED,Plant-based
vegan,vegan,Proportion,1.5556046406666666,0.786372,2.3546634999999987,0.999640459984728,Pooled,POOLED,Plant-based
vegan,vegetarian,Count,0.059953457816933335,-0.0549520925,0.16180699999999965,1.0158172162309898,Pooled,POOLED,Plant-based
vegan,vegetarian,Proportion,1.1169232192733334,0.41695562500000005,1.8577854999999994,1.0050457064157596,Pooled,POOLED,Plant-based
nonvegan,mpbamod,Count,0.20701416938432612,0.13976194237515863,0.28517894223366247,0.9993832714093734,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,mpbamod,Count,-0.2484613592984996,-0.4620354595965587,-0.040821994520255166,1.0002560255776962,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,mpbamod,Count,-0.05129329438755058,-0.08338160893905101,-0.01005033585350145,1.0001866064989924,Restaurant,JHDN7CF1C03X5,Animal
