outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
total,mpbamod,Count,0.0307850621972,1.0312638224834076,1.0030832496863407,-0.108261675,0.1464438,1.02461036892935,Pooled,POOLED,NA,Total,0.05714285714285715
total,mpbamod,Proportion,0.221759154955,1.2482707018442143,1.0224236288105444,-0.8852469,1.26796575,1.0119905071951,Pooled,POOLED,NA,Total,0.05714285714285715
total,vegan,Count,0.1876410516495,1.2064004021872203,1.018941257285173,-0.152954375,0.486431475,1.03217282885731,Pooled,POOLED,NA,Total,0.05714285714285715
total,vegan,Proportion,0.87409443489875,2.396703939518421,1.0913434317155217,-0.30140645,1.997581,1.0128693353444,Pooled,POOLED,NA,Total,0.05714285714285715
total,vegetarian,Count,0.044727462589425,1.0457428170285767,1.0044827639184053,0.00330644475,0.10023435,1.02545796645636,Pooled,POOLED,NA,Total,0.05714285714285715
total,vegetarian,Proportion,0.9358230513175,2.5493108081264553,1.0981009789678084,-0.12788695,1.794771,1.00789984355775,Pooled,POOLED,NA,Total,0.05714285714285715
nonvegan,mpbamod,Count,0.021734075584225,1.0219719810304606,1.0021757711206478,-0.232290425,0.14399885,1.02172248153063,Pooled,POOLED,NA,Animal,0.05714285714285715
nonvegan,mpbamod,Proportion,0.1658963072635,1.18045069121437,1.0167280027715393,-0.897550575,1.0367735,1.01120456600385,Pooled,POOLED,NA,Animal,0.05714285714285715
nonvegan,vegan,Count,0.158486085551775,1.1717356200571498,1.0159748638602124,-0.21899525,0.4783585,1.0608545877844,Pooled,POOLED,NA,Animal,0.05714285714285715
nonvegan,vegan,Proportion,0.68973722198825,1.9931916974685377,1.0714080545305928,-0.44256995,1.7806285,1.01629986066628,Pooled,POOLED,NA,Animal,0.05714285714285715
nonvegan,vegetarian,Count,0.04279268093005,1.0437214890504662,1.004288437235118,-0.0124678925,0.095619685,1.018935244326,Pooled,POOLED,NA,Animal,0.05714285714285715
nonvegan,vegetarian,Proportion,0.72477785501675,2.064272481252678,1.0751689214866582,-0.0436157125,1.5159475,1.03647430644444,Pooled,POOLED,NA,Animal,0.05714285714285715
meat,mpbamod,Count,0.019912121231925,1.0201116899290337,1.0019931959025423,-0.0826231375,0.131613425,1.02193288153117,Pooled,POOLED,NA,Animal,0.05714285714285715
meat,mpbamod,Proportion,0.5215024297555,1.6845566774569156,1.0535340167087874,-0.316406725,1.1966625,1.00550860518848,Pooled,POOLED,NA,Animal,0.05714285714285715
meat,vegan,Count,0.20236463549275,1.2242943479035666,1.020442608981126,-0.184250625,0.61504065,1.02580915992028,Pooled,POOLED,NA,Animal,0.05714285714285715
meat,vegan,Proportion,0.12744595409674,1.135923474571921,1.012826153874008,-1.11961475,1.39765675,1.03274237024917,Pooled,POOLED,NA,Animal,0.05714285714285715
meat,vegetarian,Count,0.0222066233362025,1.0224550257145315,1.0022231298303745,-0.023736375,0.0689370675,1.00522769877255,Pooled,POOLED,NA,Animal,0.05714285714285715
meat,vegetarian,Proportion,-0.5718000548385,0.5645083775548516,0.9444240525564633,-1.513593,0.518990175,1.0492220139393,Pooled,POOLED,NA,Animal,0.05714285714285715
chicken_fish,mpbamod,Count,0.00577864642968167,1.005795375014297,1.0005780316389064,-0.0991209725,0.0956085474999997,1.00768572338554,Pooled,POOLED,NA,Animal,0.06666666666666667
