outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,0.216743839656,-0.1169238,0.5202781749999996,1.0054094600407932,Pooled,POOLED,finalized_simple,Animal
Breakfast,Presence,0.6029526059466667,0.007305269750000001,1.2606184999999999,1.0014683145715035,Pooled,POOLED,finalized_simple,Animal
Chicken,Count,0.030390643644666666,-0.463014825,0.4242233249999997,1.005101266671715,Pooled,POOLED,finalized_simple,Animal
Chicken,Presence,0.6181177682,-0.123919225,1.4400182499999992,1.00388447449393,Pooled,POOLED,finalized_simple,Animal
Dairy,Count,0.0638106042112,-0.14944227499999999,0.27658607499999993,1.0011732962583555,Pooled,POOLED,finalized_simple,Animal
Dairy,Presence,0.5883446070466667,0.024714257500000003,1.2887662499999974,1.0018776540038432,Pooled,POOLED,finalized_simple,Animal
Egg,Count,0.11203986654,-0.187562175,0.413439175,1.0041090722508204,Pooled,POOLED,finalized_simple,Animal
Egg,Presence,0.763496560308,-0.035188452499999995,1.3258264999999996,1.0062959819072765,Pooled,POOLED,finalized_simple,Animal
Untextured,Count,0.36096228933333335,0.2945258,0.4261833749999999,0.9994483260858164,Pooled,POOLED,finalized_simple,Animal
Untextured,Presence,0.36096228933333335,0.2945258,0.4261833749999999,0.9994483260858164,Pooled,POOLED,finalized_simple,Animal
Total (A1),Count,0.07877472408506667,-0.08638765,0.2006849999999999,1.0071029968570855,Pooled,POOLED,finalized_simple,Total
Total (A1),Presence,1.3376129077266667,0.259232275,2.3880182499999982,1.0000764315985065,Pooled,POOLED,finalized_simple,Total
Breakfast,Count,0.06765864847381486,-0.05129329438755058,0.19885085874516517,1.0041820318855448,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal
Breakfast,Count,0.28517894223366247,0.25464221837358075,0.3148107398400336,1.0051671300612504,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Breakfast,Count,0.30010459245033816,0.1906203596086497,0.412109650826833,0.9996840603490448,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal
Breakfast,Presence,0.8586616190375187,-0.16251892949777494,2.4740142086215764,0.9996308036042169,Restaurant,2HRX9P6HKXA8V,finalized_simple,Animal
Breakfast,Presence,0.7884573603642703,0.6780335427498971,0.8960880245566357,0.9994614868085173,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Breakfast,Presence,0.3220834991691132,0.2151113796169455,0.4252677354043441,0.9997736009219987,Restaurant,L69HYJ4Y3TR91,finalized_simple,Animal
Chicken,Count,-0.01005033585350145,-0.020202707317519466,0,1.0015511906140773,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Chicken,Count,0.09531017980432493,0.06765864847381486,0.131028262406404,1.000013512565471,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Chicken,Presence,0.8586616190375187,0.009950330853168092,2.1210632163706555,1.0041582135258436,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Chicken,Presence,0.5187937934151675,0.412109650826833,0.6312717768418578,0.999415762560831,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Dairy,Count,0.12221763272424911,0.11332868530700327,0.13976194237515863,1.000742312309121,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Dairy,Count,0.009950330853168092,-0.020202707317519466,0.03922071315328133,0.9998638962344139,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Dairy,Count,0.04879016416943205,0.04879016416943205,0.058268908123975824,0.9994137177377787,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Dairy,Presence,0.37843643572024505,0.3148107398400336,0.44468582126144574,1.003481436313786,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Dairy,Presence,0.688134638736401,-0.06187540371808753,1.5706970841176697,1.0002039667444365,Restaurant,JHDN7CF1C03X5,finalized_simple,Animal
Dairy,Presence,0.7747271675523681,0.03922071315328133,1.7732559976634952,1.002974735571716,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Egg,Count,0.13976194237515863,0.12221763272424911,0.1570037488096647,0.9993589833822558,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Egg,Count,0.09531017980432493,0.08617769624105241,0.11332868530700327,0.9994562737129358,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Egg,Presence,0.8020015854720274,0.7227059828014898,0.8878912573524571,1.0003867679702356,Restaurant,ED5J990H5VAZT,finalized_simple,Animal
Egg,Presence,0.8285518175661483,0.25464221837358075,1.6695918352538475,0.9999090330366951,Restaurant,W8T41JZK0ZMEP,finalized_simple,Animal
Untextured,Count,0.3576744442718159,0.29266961396282004,0.4252677354043441,0.9994483260858164,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
Untextured,Presence,0.3576744442718159,0.29266961396282004,0.4252677354043441,0.9994483260858164,Restaurant,SRQS8F7JWA9MZ,finalized_simple,Animal
