outcome,exposure_type,mean,q2.5,q97.5,rhat,source,color_group
Breakfast,Count,0.8326090369547797,0.42892480720368065,1.3656965957207916,1.0056323713940438,finalized_redone3,Animal
Breakfast,Presence,0.9832017005470864,0.9107199804383759,1.0820600765536905,1.0005398361496856,finalized_redone3,Animal
Untextured,Count,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,finalized_redone3,Animal
Untextured,Presence,0.9965234179127904,0.9243055802113462,1.1212484757840244,1.4548227944647536,finalized_redone3,Animal
