"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"chicken_fish","L69HYJ4Y3TR91","gender x level","Male",-0.14352,-0.66401605,-0.0156594825
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",-6.93687e-06,-5.0608595e-05,4.05478125e-05
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",8.05006e-06,-4.0037035e-05,5.928606e-05
"chicken_fish","pooled","gender x level","Male",-0.06616425,-0.0740311025,-0.0199122
"meat","2HRX9P6HKXA8V","level change","Base",0.01774755,-0.103031875,0.17603015
"meat","ED5J990H5VAZT","level change","Base",0.01646885,-0.0460102775,0.081815815
"meat","L69HYJ4Y3TR91","level change","Base",0.016347,-0.095013465,0.136118725
"meat","SRQS8F7JWA9MZ","level change","Base",0.02271495,-0.112260525,0.21724585
"meat","SRQS8F7JWA9MZ","level change","Base",-0.02858685,-0.21368395,0.11158955
"meat","pooled","level change","Base",0.0155621,-0.110298875,0.1444825
"meat","2HRX9P6HKXA8V","slope change","Base",0.0627629,-0.096408635,0.225852975
"meat","ED5J990H5VAZT","slope change","Base",0.216798,0.0931574825,0.338383375
"meat","L69HYJ4Y3TR91","slope change","Base",0.1985855,-0.166332775,0.859303775
"meat","SRQS8F7JWA9MZ","slope change","Base",-0.1450475,-1.244822,0.36937725
"meat","SRQS8F7JWA9MZ","slope change","Base",0.09478165,-0.42041995,1.200415
"meat","pooled","slope change","Base",0.1525175,-0.160587775,0.583639725
"meat","2HRX9P6HKXA8V","gender x level","Female",-0.118518,-0.296338725,0.00529197975
"meat","ED5J990H5VAZT","gender x level","Female",-0.0631541,-0.109428025,-0.01773064
"meat","L69HYJ4Y3TR91","gender x level","Female",-0.009819525,-0.0813306425,0.075933315
"meat","SRQS8F7JWA9MZ","gender x level","Female",0.0245268,-0.10860025,0.216879525
"meat","SRQS8F7JWA9MZ","gender x level","Female",-0.02926245,-0.2276927,0.106897125
"meat","pooled","gender x level","Female",-0.0528091,-0.243941325,0.1103163
"meat","2HRX9P6HKXA8V","gender x level","Male",0.00318495,-0.14092055,0.139517175
"meat","ED5J990H5VAZT","gender x level","Male",-0.1647995,-0.212562175,-0.11699055
"meat","L69HYJ4Y3TR91","gender x level","Male",0.01938815,-0.05979129,0.104659475
"meat","SRQS8F7JWA9MZ","gender x level","Male",0.03338105,-0.10924745,0.235338425
"meat","SRQS8F7JWA9MZ","gender x level","Male",-0.08567605,-0.29544885,0.0621290900000001
"meat","pooled","gender x level","Male",-0.0443311,-0.293702825,0.19849015
"nonvegan","2HRX9P6HKXA8V","level change","Base",-0.04868175,-0.31496385,0.11714105
"nonvegan","ED5J990H5VAZT","level change","Base",-0.01606815,-0.0846191175,0.051516835
"nonvegan","L69HYJ4Y3TR91","level change","Base",0.023781,-0.144319175,0.32189125
"nonvegan","SRQS8F7JWA9MZ","level change","Base",0.01935265,-0.1094436,0.19143775
"nonvegan","SRQS8F7JWA9MZ","level change","Base",-0.03327755,-0.197010275,0.107696875
"nonvegan","pooled","level change","Base",-0.0167514,-0.26819565,0.2218596
"nonvegan","2HRX9P6HKXA8V","slope change","Base",0.0498553,-0.088663255,0.222861125
"nonvegan","ED5J990H5VAZT","slope change","Base",0.04223215,-0.08597669,0.189563625
"nonvegan","L69HYJ4Y3TR91","slope change","Base",0.0328904,-0.382366275,0.418955225
"nonvegan","SRQS8F7JWA9MZ","slope change","Base",-0.09645255,-1.01619025,0.439348275
"nonvegan","SRQS8F7JWA9MZ","slope change","Base",-0.012689,-0.5449623,0.909649275
"nonvegan","pooled","slope change","Base",0.03747705,-0.25930055,0.33202135
"nonvegan","2HRX9P6HKXA8V","gender x level","Female",-0.09941735,-0.34373165,0.0523163975
"nonvegan","ED5J990H5VAZT","gender x level","Female",0.0283908,-0.0154372675,0.0766802275
"nonvegan","L69HYJ4Y3TR91","gender x level","Female",-0.001848675,-0.1615906,0.142024875
"nonvegan","SRQS8F7JWA9MZ","gender x level","Female",-0.01530905,-0.157479025,0.140832825
"nonvegan","SRQS8F7JWA9MZ","gender x level","Female",-0.02288665,-0.186323825,0.122690075
"nonvegan","pooled","gender x level","Female",-0.0161975,-0.2893288,0.15071045
"nonvegan","2HRX9P6HKXA8V","gender x level","Male",0.03478895,-0.157107275,0.204986275
"nonvegan","ED5J990H5VAZT","gender x level","Male",-0.01100695,-0.058264495,0.039144645
"nonvegan","L69HYJ4Y3TR91","gender x level","Male",0.298097,0.106342,0.47793665
"nonvegan","SRQS8F7JWA9MZ","gender x level","Male",0.1055665,-0.0422028475,0.308550275
"nonvegan","SRQS8F7JWA9MZ","gender x level","Male",-0.0713629,-0.289593925,0.08159901
"nonvegan","pooled","gender x level","Male",0.09050565,-0.1942047,0.43017835
"total","2HRX9P6HKXA8V","level change","Base",-0.01805955,-0.238963925,0.1617112
"total","ED5J990H5VAZT","level change","Base",-0.007795945,-0.07333676,0.0574399975
"total","L69HYJ4Y3TR91","level change","Base",0.01859795,-0.127131025,0.311724925
"total","SRQS8F7JWA9MZ","level change","Base",-0.009196925,-0.159171925,0.153443525
"total","SRQS8F7JWA9MZ","level change","Base",-0.01741605,-0.169694025,0.14757285
"total","pooled","level change","Base",-0.00353544,-0.157369325,0.25666365
"total","2HRX9P6HKXA8V","slope change","Base",0.02750255,-0.133283675,0.192981075
"total","ED5J990H5VAZT","slope change","Base",0.0581824,-0.074944695,0.20051915
"total","L69HYJ4Y3TR91","slope change","Base",0.0422646,-0.4064222,0.516239175
"total","SRQS8F7JWA9MZ","slope change","Base",-0.08108035,-1.07022075,0.3655665
"total","SRQS8F7JWA9MZ","slope change","Base",-0.02137635,-0.494156375,0.977161225
"total","pooled","slope change","Base",0.03912925,-0.2362435,0.2644802
"total","2HRX9P6HKXA8V","gender x level","Female",-0.188296,-0.42242745,0.03051059
"total","ED5J990H5VAZT","gender x level","Female",0.02657145,-0.01569697,0.0702087075
"total","L69HYJ4Y3TR91","gender x level","Female",0.01339115,-0.1666309,0.195318425
"total","SRQS8F7JWA9MZ","gender x level","Female",-0.05336905,-0.242084,0.078425005
"total","SRQS8F7JWA9MZ","gender x level","Female",0.005140825,-0.132918825,0.20926805
"total","pooled","gender x level","Female",-0.0365576,-0.29075685,0.194288025
"total","2HRX9P6HKXA8V","gender x level","Male",0.0346183,-0.161105475,0.226381075
"total","ED5J990H5VAZT","gender x level","Male",-0.0253615,-0.0689603725,0.0182904725
"total","L69HYJ4Y3TR91","gender x level","Male",0.2680355,0.068882525,0.474232
"total","SRQS8F7JWA9MZ","gender x level","Male",0.117037,-0.0418497925,0.318484875
"total","SRQS8F7JWA9MZ","gender x level","Male",-0.1521345,-0.354663,0.0177220075
"total","pooled","gender x level","Male",0.04784955,-0.34975705,0.330633075
