outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,step_size
nonvegan,Level Change,0.98,NA,0.82,1.1,1.00697521343268,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,0.05
nonvegan,Level Change,1.09,NA,1.01,1.18,1.0075502508655,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/JHDN7CF1C03X5.png,Animal,0.05
nonvegan,Level Change,1.11,NA,0.98,1.33,1.00167034575112,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,0.05
nonvegan,Level Change,1.06,NA,0.93,1.19,1.00328462096792,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/ED5J990H5VAZT.png,Animal,0.05
nonvegan,Slope Change,1.76,NA,0.97,2.96,1.00273597393716,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/VLZX7K2M9QD4T.png,Animal,0.05
nonvegan,Slope Change,0.35,NA,0.17,0.71,1.00379043120527,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,0.05
nonvegan,Slope Change,1.38,NA,0.68,2.8,1.0023764034557,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,0.05
nonvegan,Slope Change,1.93,NA,1.23,3.18,1.00227086052122,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,0.05
nonvegan,Slope Change,2.16,NA,1.82,2.6,1.00253002132776,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/JHDN7CF1C03X5.png,Animal,0.05
nonvegan,Slope Change,2.13,NA,1.18,4.44,1.00553222410993,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,0.05
nonvegan,Slope Change,1.58,NA,1.25,2.06,1.00786491081674,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/nonvegan/plots/ED5J990H5VAZT.png,Animal,0.05
meat,Level Change,1.04,NA,0.97,1.11,1.00849633443374,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/VLZX7K2M9QD4T.png,Animal,0.05
meat,Level Change,1.02,NA,0.93,1.12,1.00932418130737,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/SRQS8F7JWA9MZ.png,Animal,0.05
meat,Level Change,1.02,NA,0.94,1.12,1.01075257495245,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/SRQS8F7JWA9MZ.png,Animal,0.05
meat,Level Change,0.99,NA,0.84,1.09,1.01274779120605,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/2HRX9P6HKXA8V.png,Animal,0.05
meat,Level Change,1.04,NA,0.97,1.12,1.00602192905919,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/JHDN7CF1C03X5.png,Animal,0.05
meat,Level Change,0.99,NA,0.84,1.1,1.02316659598929,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/L69HYJ4Y3TR91.png,Animal,0.05
meat,Level Change,1.01,NA,0.86,1.12,1.01134523027309,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/ED5J990H5VAZT.png,Animal,0.05
meat,Slope Change,1.63,NA,0.86,2.52,1.01931082495892,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/VLZX7K2M9QD4T.png,Animal,0.05
meat,Slope Change,0.32,NA,0.15,0.65,1.0126446578946,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/SRQS8F7JWA9MZ.png,Animal,0.05
meat,Slope Change,1.41,NA,0.7,2.85,1.01511239817326,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/SRQS8F7JWA9MZ.png,Animal,0.05
meat,Slope Change,1.69,NA,0.98,2.49,1.01213557189119,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/2HRX9P6HKXA8V.png,Animal,0.05
meat,Slope Change,2.08,NA,1.76,2.49,1.00796890264033,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/JHDN7CF1C03X5.png,Animal,0.05
meat,Slope Change,1.93,NA,1.11,3.64,1.0094429261991,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/L69HYJ4Y3TR91.png,Animal,0.05
meat,Slope Change,1.68,NA,1.24,2.23,1.00588629556991,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/meat/plots/ED5J990H5VAZT.png,Animal,0.05
chicken_fish,Level Change,0.99,NA,0.93,1.06,1.00067421367054,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/VLZX7K2M9QD4T.png,Animal,0.06666666666666667
chicken_fish,Level Change,0.93,NA,0.74,1.1,1.00402756843356,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,0.06666666666666667
chicken_fish,Level Change,1,NA,0.92,1.1,1.00384556577936,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/JHDN7CF1C03X5.png,Animal,0.06666666666666667
chicken_fish,Level Change,0.95,NA,0.6,1.37,1.01116506505875,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,0.06666666666666667
chicken_fish,Level Change,0.85,NA,0.52,1.07,1.01483584978293,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/ED5J990H5VAZT.png,Animal,0.06666666666666667
chicken_fish,Slope Change,1.17,NA,0.55,2.31,1.01097950154827,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/VLZX7K2M9QD4T.png,Animal,0.06666666666666667
chicken_fish,Slope Change,1.49,NA,0.9,2.31,1.01709800122419,NA,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/2HRX9P6HKXA8V.png,Animal,0.06666666666666667
chicken_fish,Slope Change,2.02,NA,1.68,2.46,1.01275472343718,NA,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/JHDN7CF1C03X5.png,Animal,0.06666666666666667
chicken_fish,Slope Change,2.07,NA,0.48,9.9,1.00640192193733,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/L69HYJ4Y3TR91.png,Animal,0.06666666666666667
chicken_fish,Slope Change,3.33,NA,1.72,6.4,1.0338340291338,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a3_its/chicken_fish/plots/ED5J990H5VAZT.png,Animal,0.06666666666666667
vegetarian,Level Change,1.05,NA,0.98,1.13,1.00742770595527,NA,Restaurant,VLZX7K2M9QD4T,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/VLZX7K2M9QD4T.png,Plant-based,0.05
vegetarian,Level Change,1.19,NA,1.06,1.34,1.00558923134898,NA,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a3_its/vegetarian/plots/SRQS8F7JWA9MZ.png,Plant-based,0.05
