outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group
nonvegan,NA,0.043897325239672,-0.2516697572,0.355567345,1.11136341541026,488.42518679833597,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/9XKJD8DQTH559.png,Animal
nonvegan,NA,1.6823468328706e-4,-0.41939399495,0.424749996,1.20620801213116,10.5898679427116,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/9XKJD8DQTH559.png,Animal
nonvegan,NA,0.13527083141343,-0.8345838875,1.1206676318,1.10115407766876,317.398811860939,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/9XKJD8DQTH559.png,Animal
nonvegan,NA,-0.0526619927122447,-0.423820350775,0.307311250475,1.23948150707991,773.623461571732,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/9XKJD8DQTH559.png,Animal
nonvegan,NA,-0.201393216033437,-1.14134855109,0.67623624425,1.02519204211411,249.371334114364,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/9XKJD8DQTH559.png,Animal
nonvegan,NA,-0.0673627445528163,-0.354209727,0.21045995425,1.2564344999708,9.02606301168601,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,-0.00742457640369787,-0.27066505275,0.2422352095,1.17307906592058,11.8597416994606,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,0.0179733079671533,-0.19633062875,0.21462650305,1.1063024585406,152.354292615386,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,-0.004077495696646,-0.2218192755,0.22686332405,1.03670812050688,220.398151209284,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,0.0061977328962043304,-0.378028160125,0.378930340205,1.04244377981172,79.1607936720602,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,-0.01244343093805,-0.660657781625,0.601839459,1.10500828346266,21.108553988278,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,-0.006894990158211,-0.3982386249075,0.376802326275,1.03818577739236,496.1250243527,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,0.0452351090665467,-0.57529865025,0.6868932775,1.11277661937724,19.1289472425211,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/C0BE4NDSW26QN.png,Animal
nonvegan,NA,-0.0118865348897035,-0.090981496125,0.0724003870575,1.04656855840556,50.886178160784,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal
nonvegan,NA,-0.0173437205151183,-0.137716389575,0.099721970825,1.02771501512088,298.581802048113,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal
nonvegan,NA,0.0151206511007938,-0.04392942135,0.075637933805,1.17817408324024,1750.74035309155,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal
nonvegan,NA,0.00310586127314667,-0.058201277025,0.064545677575,1.04958146438065,222.645476950537,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal
nonvegan,NA,-0.00924929186032113,-0.3038678209,0.278213591,1.20031004678013,10.7270277209125,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/EMBVNVD207CC6.png,Animal
nonvegan,NA,-0.134703909486135,-0.3931471812,0.1731874635,1.20643925073248,10.5140810301492,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/EMBVNVD207CC6.png,Animal
nonvegan,NA,0.212249655949867,-0.0270672965,0.46382996725,1.11193807146022,18.4463628782089,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/EMBVNVD207CC6.png,Animal
nonvegan,NA,0.157378781596383,-0.1862594067,0.49802835025,1.23652517729504,622.060641131196,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/EMBVNVD207CC6.png,Animal
nonvegan,NA,0.0177361035382165,-0.19784434345,0.219161299075,1.18047289513664,11.7324290481768,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,NA,-0.00600072430794667,-0.330057339,0.306795840875,1.15659691456371,546.046817524747,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,NA,0.116068516549433,-0.151636859375,0.377844217,1.09985640736192,23.6659632345015,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal
