outcome,effect_type,mean,q5,q95,rhat,color_group
untextured,Level Change,0.7231946541879174,0.3451571356471004,1.9616186024122695,1.426028129134894,Animal
untextured,Slope Change,0.796039774763187,0.1752819427608131,1.8765234759256972,1.2645074237959004,Animal
