created_at,location_id,item_quantity_day,vegan_window_quantity,vegetarian_window_quantity,meat_window_quantity,vegan_window_avg,vegetarian_window_avg,meat_window_avg,vegan_outcome,vegetarian_outcome,day_of_week_cat,day_of_week,weekend,day_of_month_cat,day_of_month,month_cat,month,season,year_cat,year,date,location_id_y,cuisine,restaurant_type,pos_type,batch
2013-03-21 00:00:00+00:00,1SQPTEGYPH0GA,48.0,613.0,613.0,1258.0,922.03211767163,922.03211767163,708.4241743353838,11.0,11.0,3,3,0,21,20,3,2,spring,2013,0,21,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-22 00:00:00+00:00,1SQPTEGYPH0GA,12.0,127.0,127.0,445.0,1082.5757575757575,1082.5757575757575,638.698416504144,5.0,5.0,4,4,0,22,21,3,2,spring,2013,0,22,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-23 00:00:00+00:00,1SQPTEGYPH0GA,,,,,1082.5757575757575,1082.5757575757575,638.698416504144,0.0,0.0,5,5,1,23,22,3,2,spring,2013,0,23,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-24 00:00:00+00:00,1SQPTEGYPH0GA,,,,,1082.5757575757575,1082.5757575757575,638.698416504144,0.0,0.0,6,6,1,24,23,3,2,spring,2013,0,24,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-25 00:00:00+00:00,1SQPTEGYPH0GA,5.0,10.0,10.0,39.0,950.0,950.0,880.0,2.0,2.0,0,0,0,25,24,3,2,spring,2013,0,25,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-26 00:00:00+00:00,1SQPTEGYPH0GA,12.0,41.0,41.0,68.0,350.0,350.0,492.9199735449736,3.0,3.0,1,1,0,26,25,3,2,spring,2013,0,26,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-27 00:00:00+00:00,1SQPTEGYPH0GA,29.0,81.0,81.0,594.0,373.99425287356325,373.99425287356325,305.05679464985406,4.0,4.0,2,2,0,27,26,3,2,spring,2013,0,27,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-28 00:00:00+00:00,1SQPTEGYPH0GA,29.0,157.0,157.0,630.0,594.7988505747127,594.7988505747127,334.03133999188606,4.0,4.0,3,3,0,28,27,3,2,spring,2013,0,28,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-29 00:00:00+00:00,1SQPTEGYPH0GA,62.0,658.0,658.0,1732.0,517.8456145504296,517.8456145504296,350.8746382739806,17.0,17.0,4,4,0,29,28,3,2,spring,2013,0,29,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-30 00:00:00+00:00,1SQPTEGYPH0GA,90.0,1177.0,1177.0,6045.0,551.0406845929937,551.0406845929937,298.62015047961154,9.0,9.0,5,5,1,30,29,3,2,spring,2013,0,30,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-03-31 00:00:00+00:00,1SQPTEGYPH0GA,,,,,551.0406845929937,551.0406845929937,298.62015047961154,0.0,0.0,6,6,1,31,30,3,2,spring,2013,0,31,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-01 00:00:00+00:00,1SQPTEGYPH0GA,,,,,551.0406845929937,551.0406845929937,298.62015047961154,0.0,0.0,0,0,0,1,0,4,3,spring,2013,0,32,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-02 00:00:00+00:00,1SQPTEGYPH0GA,29.0,105.0,105.0,361.0,687.9392446633826,687.9392446633826,454.5310114366376,7.0,7.0,1,1,0,2,1,4,3,spring,2013,0,33,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
2013-04-03 00:00:00+00:00,1SQPTEGYPH0GA,52.0,550.0,550.0,1842.0,597.2708808285731,597.2708808285731,368.9826856952084,13.0,13.0,2,2,0,3,2,4,3,spring,2013,0,34,1SQPTEGYPH0GA,Italian,Mid-scale,Square,1
