outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,0,0,0,1,1,NA,Pooled,POOLED,Total
total,mpbamod,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegan,Count,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegan,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Count,0,0,0,1,1,NA,Pooled,POOLED,Total
total,vegetarian,Proportion,0,0,0,1,1,NA,Pooled,POOLED,Total
vegetarian,mpbamod,Count,0.00640255339796,-0.070653356325,0.08401082445,1.00720761140073,1.00064825793739,1.00986550584983,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Proportion,0.100308776323081,-1.399584982,1.727611643,1.52131897417438,1.01328551491492,1.02611729398468,Pooled,POOLED,Plant-based
vegetarian,vegan,Count,-0.0148090182816,-0.122041994,0.08138211125,0.986664014102702,0.998534032897097,1.00211710872981,Pooled,POOLED,Plant-based
vegetarian,vegetarian,Proportion,0.3559456921301,-0.4890819085,1.2248163055,1.57213393843071,1.03723568395833,1.01601935396981,Pooled,POOLED,Plant-based
vegan,mpbamod,Count,0.02295664119546,-0.061005792175,0.1147979505665,1.02425956324775,1.00230843922715,1.0216551946903,Pooled,POOLED,Plant-based
vegan,mpbamod,Proportion,0.294568694002414,-1.502531608,2.07409214225,2.03996900251632,1.03423281544657,1.010702546537,Pooled,POOLED,Plant-based
vegan,vegan,Count,0.0241727119784,-0.08819497575,0.14353530715,1.02643049448861,1.0024393218941,1.0050888444834,Pooled,POOLED,Plant-based
vegan,vegetarian,Proportion,-0.138145936907567,-1.0341780625,0.82350301475,0.978124381207143,0.987405960288995,1.00386486160666,Pooled,POOLED,Plant-based
vegetarian,mpbamod,Count,-5.338761167950659,NA,-2.503204216447167,NA,1.00048809728026,1.008786766822,Restaurant,1SQPTEGYPH0GA,Plant-based
vegetarian,mpbamod,Count,NA,NA,-1.939068493893718,NA,0.99380039086166,1.00225912838172,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,mpbamod,Count,-3.5105381325618357,NA,-2.019845199891557,NA,1.0030056970323,1.00204164032356,Restaurant,78AY09MVJVTYE,Plant-based
vegetarian,mpbamod,Count,NA,NA,-4.031846431578679,NA,0.998826301229592,1.00394807978971,Restaurant,9XKJD8DQTH559,Plant-based
vegetarian,mpbamod,Count,-3.1473727109149303,NA,-1.6541497268268421,NA,1.00433748501962,1.00339202127266,Restaurant,C0BE4NDSW26QN,Plant-based
vegetarian,mpbamod,Count,NA,NA,-2.6962993640395463,NA,0.997889655482409,1.00092231566852,Restaurant,CB2KHY1C2G9PT,Plant-based
vegetarian,mpbamod,Count,-5.6535541268754095,NA,-3.876500514343191,NA,1.00035101855385,1.00924146294868,Restaurant,ED5J990H5VAZT,Plant-based
