outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,color_group
total,Level Change,1,1,1,1,NA,NA,Pooled,POOLED,Total
total,Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,Total
nonvegan,Level Change,0.990831811062958,0.8559159796691386,1.135251920281627,0.990831811062958,1.0054869099888,298.361503510312,Pooled,POOLED,Animal
nonvegan,Slope Change,1.0228188514142,0.5570225514675656,1.8353189984223148,1.0228188514142,1.0125179070703,191.283274414355,Pooled,POOLED,Animal
meat,Level Change,0.95178707481138,0.8216081136422376,1.0705888674214858,0.95178707481138,1.00843448540077,270.746286548926,Pooled,POOLED,Animal
meat,Slope Change,0.972299062887131,0.5309731627382589,1.7771886755761843,0.972299062887131,1.01267495310015,156.898175744979,Pooled,POOLED,Animal
chicken_fish,Level Change,0.88934592536005,0.6327134926797146,1.074135210518318,0.88934592536005,1.00715027696486,257.958189996171,Pooled,POOLED,Animal
chicken_fish,Slope Change,1.02712075078059,0.3778888119171477,2.0657945554045347,1.02712075078059,1.01029087752891,172.95457642446,Pooled,POOLED,Animal
vegetarian,Level Change,1.02958875812325,0.8129708885638226,1.2740493115702396,1.02958875812325,1.00810402521669,195.985750316224,Pooled,POOLED,Plant-based
vegetarian,Slope Change,0.844221420814406,0.48619596071585447,1.5577109049500169,0.844221420814406,1.00827763504912,269.348375615244,Pooled,POOLED,Plant-based
vegan,Level Change,1.05530828661965,0.899586795225634,1.2874578723299512,1.05530828661965,1.11280527792349,44.9607545391671,Pooled,POOLED,Plant-based
vegan,Slope Change,0.641343921128883,0.3153903274463589,1.3070002749378227,0.641343921128883,1.19193774149202,12.1453669129391,Pooled,POOLED,Plant-based
nonvegan,NA,-0.004326495893465,-0.098383618,0.088801346,NA,1.00213702795001,NA,Restaurant,VLZX7K2M9QD4T,Animal
nonvegan,NA,0.00205953196846667,-0.12915534875,0.13415597575,NA,1.0012141763866,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,NA,-2.05851669988333e-4,-0.12772823,0.1255956175,NA,1.00365733255183,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,NA,-0.010992989161675,-0.231024055,0.2091912775,NA,1.00697521343268,NA,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,NA,-0.00656651544097,-0.1202865875,0.10236923225,NA,1.0075502508655,NA,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,NA,-0.00462039271508333,-0.2207202175,0.22172885,NA,1.00167034575112,NA,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,NA,-0.00869960807488167,-0.17356367065,0.1606306125,NA,1.00328462096792,NA,Restaurant,ED5J990H5VAZT,Animal
nonvegan,NA,0.0033385714675,-0.7948563775,0.7811867575,NA,1.00273597393716,NA,Restaurant,VLZX7K2M9QD4T,Animal
nonvegan,NA,0.0714288369,-0.9706004,1.111971125,NA,1.00379043120527,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,NA,-0.01884657363356,-1.06452695,0.998950565,NA,1.0023764034557,NA,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,NA,-0.00549120832833333,-0.632733275,0.650631975,NA,1.00227086052122,NA,Restaurant,2HRX9P6HKXA8V,Animal
