"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_redone/proportion_targeted/breakfast_p/breakfast_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.395668604473178,-0.645457,1.4842255,1.0019869516534,1233.79596527859
"model_fits/finalized_redone/proportion_targeted/breakfast_p/breakfast_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0175456414957778,-1.6052215,1.6654895,1.00056851527186,3839.03731337772
