outcome_type,outcome,n_restaurants_active,mean_structural_rate,median_structural_rate,total_structural_obs,total_obs,overall_structural_pct
Main Category,chicken_fish,19,0.39980300915654854,0.2983167082294264,14286,33041,0.4323719015768288
Targeted (ITS),breakfast,4,0.37229547950564795,0.2503420120147031,2918,6493,0.4494070537501925
Main Category,vegan,20,0.33975550238966695,0.29558758882695985,13239,34628,0.38232066535751413
Main Category,meat,20,0.2728122392912453,0.22923142816876346,10461,34628,0.30209656925031764
Main Category,vegetarian,20,0.2715957571401955,0.21603153745072273,10197,34628,0.29447268106734437
Main Category,nonvegan,20,0.25491531013818,0.20000684980580408,9565,34628,0.2762215548111355
Total,total,20,0.250378130622698,0.19815149723370198,9349,34628,0.2699838281159755
Targeted (ITS),untextured,2,0.21593474240033705,0.21593474240033705,718,3256,0.22051597051597052
Targeted (ITS),textured,1,0.019178082191780823,0.019178082191780823,7,365,0.019178082191780823
