location_id,outcome,dataset,n_obs,rest_mean,rest_sd,threshold_3sd,n_zeros,zero_rate,n_structural,structural_rate,structural_among_zeros,max_value,outcome_type
1SQPTEGYPH0GA,vegetarian,proportion,3805,31.094875164257555,31.705917135532992,-64.02287624234143,854,0.22444152431011827,854,0.22444152431011827,1,258,Main Category
2HRX9P6HKXA8V,breakfast,customer,1671,4.856373429084381,8.729999541226135,-21.333625194594024,605,0.3620586475164572,605,0.3620586475164572,1,93,Targeted (ITS)
2HRX9P6HKXA8V,breakfast,its,1733,202.23139065204847,151.12021317249568,-251.12924886543854,115,0.06635891517599539,115,0.06635891517599539,1,957,Targeted (ITS)
2HRX9P6HKXA8V,breakfast_p,proportion_targeted,1733,218.91575302942874,158.3187464006093,-256.0404861723992,112,0.06462781304096941,112,0.06462781304096941,1,994,Targeted (Proportion)
2HRX9P6HKXA8V,breakfast_t2,customer,1671,4.856373429084381,8.729999541226135,-21.333625194594024,605,0.3620586475164572,605,0.3620586475164572,1,93,Other
2HRX9P6HKXA8V,chicken,customer,1671,0,0,0,1671,1,0,0,0,0,Other
2HRX9P6HKXA8V,chicken_fish,customer,1671,0.3213644524236984,0.9150855753472825,-2.423892273618149,1381,0.8264512268102933,1381,0.8264512268102933,1,9,Main Category
2HRX9P6HKXA8V,chicken_fish,its,1733,14.733410271206001,13.511367969328514,-25.80069363677954,242,0.13964223889209462,242,0.13964223889209462,1,83,Main Category
2HRX9P6HKXA8V,chicken_fish,proportion,1733,14.733410271206001,13.511367969328514,-25.80069363677954,242,0.13964223889209462,242,0.13964223889209462,1,83,Main Category
2HRX9P6HKXA8V,chicken_p,proportion_targeted,1733,30.418926716676285,23.70502742405801,-40.69615555549774,143,0.08251586843623773,143,0.08251586843623773,1,120,Targeted (Proportion)
2HRX9P6HKXA8V,chicken_t2,customer,1671,0,0,0,1671,1,0,0,0,0,Other
2HRX9P6HKXA8V,dairy,customer,1671,0,0,0,1671,1,0,0,0,0,Other
2HRX9P6HKXA8V,dairy_p,proportion_targeted,1733,140.96941719561454,96.5433986196824,-148.66077866343267,115,0.06635891517599539,115,0.06635891517599539,1,690,Targeted (Proportion)
2HRX9P6HKXA8V,dairy_t2,customer,1671,0,0,0,1671,1,0,0,0,0,Other
2HRX9P6HKXA8V,egg_p,proportion_targeted,1733,12.20600115406809,28.210110073973123,-72.424329067851275,998,0.5758799769186382,998,0.5758799769186382,1,247,Targeted (Proportion)
2HRX9P6HKXA8V,meat,customer,1671,5.448833034111311,9.858987061705891,-24.128128151006365,575,0.3441053261520048,575,0.3441053261520048,1,114,Main Category
2HRX9P6HKXA8V,meat,its,1733,228.56837853433353,164.17903247337517,-263.968718885792,112,0.06462781304096941,112,0.06462781304096941,1,1037,Main Category
2HRX9P6HKXA8V,meat,proportion,1733,228.56837853433353,164.17903247337517,-263.968718885792,112,0.06462781304096941,112,0.06462781304096941,1,1037,Main Category
2HRX9P6HKXA8V,nonvegan,customer,1671,7.309994015559545,13.027364637606555,-31.77209989726012,507,0.30341113105924594,507,0.30341113105924594,1,158,Main Category
2HRX9P6HKXA8V,nonvegan,its,1733,307.6324293133295,210.79608928346195,-324.7558385370564,112,0.06462781304096941,112,0.06462781304096941,1,1295,Main Category
2HRX9P6HKXA8V,nonvegan,proportion,1733,307.6324293133295,210.79608928346195,-324.7558385370564,112,0.06462781304096941,112,0.06462781304096941,1,1295,Main Category
2HRX9P6HKXA8V,textured,customer,1671,0,0,0,1671,1,0,0,0,0,Targeted (ITS)
2HRX9P6HKXA8V,textured,its,1733,0,0,0,1733,1,0,0,0,0,Targeted (ITS)
2HRX9P6HKXA8V,textured_p,proportion_targeted,1733,17.17137911136757,21.5243309934033,-47.40161386884233,669,0.38603577611079054,669,0.38603577611079054,1,162,Targeted (Proportion)
2HRX9P6HKXA8V,textured_t2,customer,1671,0,0,0,1671,1,0,0,0,0,Other
2HRX9P6HKXA8V,total,customer,1671,7.9419509275882705,13.992585060332646,-34.035804253409665,485,0.29024536205864754,485,0.29024536205864754,1,165,Total
2HRX9P6HKXA8V,total,its,1733,330.2590882862089,224.3792111795585,-342.87854525246655,112,0.06462781304096941,112,0.06462781304096941,1,1411,Total
2HRX9P6HKXA8V,total,proportion,1733,330.2590882862089,224.3792111795585,-342.87854525246655,112,0.06462781304096941,112,0.06462781304096941,1,1411,Total
2HRX9P6HKXA8V,untextured,customer,1671,0,0,0,1671,1,0,0,0,0,Targeted (ITS)
2HRX9P6HKXA8V,untextured,its,1733,0,0,0,1733,1,0,0,0,0,Targeted (ITS)
2HRX9P6HKXA8V,untextured_p,proportion_targeted,1733,22.23600692440854,25.609616693480966,-54.59284315603435,211,0.12175418349682632,211,0.12175418349682632,1,198,Targeted (Proportion)
2HRX9P6HKXA8V,untextured_t2,customer,1671,0,0,0,1671,1,0,0,0,0,Other
2HRX9P6HKXA8V,vegan,customer,1671,0.6319569120287253,1.467543774841639,-3.7706744124961915,1213,0.7259126271693597,1213,0.7259126271693597,1,15,Main Category
2HRX9P6HKXA8V,vegan,its,1733,22.6266589728794,17.233879711341725,-29.07498016114577,143,0.08251586843623773,143,0.08251586843623773,1,138,Main Category
2HRX9P6HKXA8V,vegan,proportion,1733,22.6266589728794,17.233879711341725,-29.07498016114577,143,0.08251586843623773,143,0.08251586843623773,1,138,Main Category
2HRX9P6HKXA8V,vegetarian,customer,1671,2.49311789347696,4.750270767938132,-11.757694410337436,792,0.473967684021544,792,0.473967684021544,1,51,Main Category
2HRX9P6HKXA8V,vegetarian,its,1733,101.69070975187536,71.9567254335515,-114.17946654877913,122,0.07039815349105598,122,0.07039815349105598,1,384,Main Category
2HRX9P6HKXA8V,vegetarian,proportion,1733,101.69070975187536,71.9567254335515,-114.17946654877913,122,0.07039815349105598,122,0.07039815349105598,1,384,Main Category
75WYSXR9QBK5M,breakfast,customer,1260,0,0,0,1260,1,0,0,0,0,Targeted (ITS)
75WYSXR9QBK5M,breakfast,its,1324,0,0,0,1324,1,0,0,0,0,Targeted (ITS)
75WYSXR9QBK5M,breakfast_p,proportion_targeted,1324,8.061933534743202,15.544900500073375,-38.57276796547692,801,0.6049848942598187,801,0.6049848942598187,1,164,Targeted (Proportion)
75WYSXR9QBK5M,breakfast_t2,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,chicken,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,chicken_fish,customer,1260,3.6674603174603173,7.50798705626389,-18.856500851331354,862,0.6841269841269841,862,0.6841269841269841,1,50,Main Category
75WYSXR9QBK5M,chicken_fish,its,1324,7.549848942598187,12.732485338486587,-30.647607072861575,822,0.620845921450151,822,0.620845921450151,1,130,Main Category
75WYSXR9QBK5M,chicken_fish,proportion,1324,7.549848942598187,12.732485338486587,-30.647607072861575,822,0.620845921450151,822,0.620845921450151,1,130,Main Category
75WYSXR9QBK5M,chicken_p,proportion_targeted,1324,4.320996978851964,7.810422726235777,-19.11027119985537,916,0.6918429003021148,916,0.6918429003021148,1,55,Targeted (Proportion)
75WYSXR9QBK5M,chicken_t2,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,dairy,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,dairy_p,proportion_targeted,1324,3.219033232628399,6.806275191488064,-17.199792341835796,920,0.6948640483383686,920,0.6948640483383686,1,131,Targeted (Proportion)
75WYSXR9QBK5M,dairy_t2,customer,1260,0,0,0,1260,1,0,0,0,0,Other
75WYSXR9QBK5M,egg_p,proportion_targeted,1324,0.42371601208459214,1.7356027610698295,-4.783092271124897,1116,0.8429003021148036,1116,0.8429003021148036,1,27,Targeted (Proportion)
