outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,0.413625834559927,-0.7044265571725,1.3219492973075,1.69601116020002,1.04349188663438,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,Animal
Breakfast,Presence,1.61637907328041,-0.115575295,3.28513291075,7.25862956734374,1.17988344942203,1.03929795693809,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Count,0.0528778604401933,-0.095095341325,0.20274414305,1.05684962756076,1.00532584483694,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Presence,1.70871373967508,-0.12193927125,3.380524756,8.10366369652186,1.19102823632251,1.0023350263566,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Count,0.0637193541205933,-0.037784495425,0.1897774495,1.06762482917317,1.00640943377256,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Presence,1.17650915544575,-0.2057644955,2.555701013,4.15896898693473,1.12763485431348,1.0107209270943,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Count,0.0282665302720267,-0.046728961975,0.10115792055,1.0293373762718,1.00283714615291,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Presence,0.415589850282614,-0.76818951925,1.560595995,1.80631966557907,1.04428503347517,1.02033701124177,Pooled,POOLED,finalized_redone_trunc,Animal
Untextured,Count,0.18430967329126,0.004671351625,0.59704421695,1.21557749252497,1.01870358030721,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,Animal
Untextured,Presence,1.91155010251508,0.37110095375,3.363054436,8.98261329517012,1.2140878497044,1.01196527918298,Pooled,POOLED,finalized_redone_trunc,Animal
Total (A1),Count,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,Total
Total (A1),Presence,0,0,0,1,1,NA,Pooled,POOLED,finalized_redone_trunc,Total
Breakfast,Count,NA,NA,NA,0.796594168779244,0.977120617748086,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Count,NA,NA,NA,0.80797474114603,0.978840755963303,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,Animal
Breakfast,Count,-1.3330863163737665,NA,-0.4789615922587887,1.32310571030052,1.02688353504152,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,Animal
Breakfast,Count,-3.1567097423279282,NA,-1.0908430971471008,1.05416546318895,1.00436717766898,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,Animal
Breakfast,Count,NA,NA,-2.6888132116901566,0.979313733453979,0.997807328119295,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
