outcome,effect_type,mean,q5,q95,rhat,estimate_type,restaurant_id,ess_bulk
breakfast,Level Change,0.9169727526539015,0.48528460292294623,2.29141447143421,1.0081010985905288,Pooled,NA,NA
breakfast,Slope Change,0.6010552101875801,0.2672964331290991,1.43227616127837,1.010455602380297,Pooled,NA,NA
textured,Level Change,1.2720375162257411,0.5486217252527411,3.2107787212150267,1.060159567748309,Pooled,NA,NA
textured,Slope Change,0.7054271262454167,0.15762223917455148,3.008374801837048,1.0072316372172752,Pooled,NA,NA
untextured,Level Change,1.4409417448887878,0.4215521855794666,4.724116219694502,1.0226195275631462,Pooled,NA,NA
untextured,Slope Change,0.7366299752022296,0.18487312499823136,2.7120448295185726,1.007529773309377,Pooled,NA,NA
breakfast,Level Change,0.57,0.43,0.75,1.00054939462175,Restaurant,2HRX9P6HKXA8V,NA
breakfast,Slope Change,0.28,0.14,0.58,1.0056916411769534,Restaurant,2HRX9P6HKXA8V,NA
breakfast,Level Change,5.04,0.3,159.9,1.0033908017971696,Restaurant,JHDN7CF1C03X5,NA
breakfast,Level Change,31.66,0.9,1950.94,1.0121597755339466,Restaurant,JHDN7CF1C03X5,NA
breakfast,Slope Change,0.38,0.12,1.57,1.0007812317926381,Restaurant,JHDN7CF1C03X5,NA
breakfast,Slope Change,0.29,0.07,0.9,1.0040097035357238,Restaurant,JHDN7CF1C03X5,NA
breakfast,Level Change,0.96,0.7,1.31,1.001866219494702,Restaurant,L69HYJ4Y3TR91,NA
breakfast,Slope Change,0.82,0.23,3.4,1.0025741453402157,Restaurant,L69HYJ4Y3TR91,NA
breakfast,Level Change,0.69,0.49,0.97,1.0014442024449213,Restaurant,ED5J990H5VAZT,NA
breakfast,Slope Change,0.97,0.52,1.75,1.001107635350366,Restaurant,ED5J990H5VAZT,NA
textured,Level Change,1.33,1.02,1.75,1.0023384998534837,Restaurant,VLZX7K2M9QD4T,NA
textured,Slope Change,0.51,0.08,2.55,1.015947001453199,Restaurant,VLZX7K2M9QD4T,NA
untextured,Level Change,0.99,0.81,1.24,1.0220404425025853,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Level Change,1.12,0.91,1.4,1.0438990715013885,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Slope Change,0.17,0.03,0.69,1.0581440947751855,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Slope Change,1.43,0.36,7.58,1.0384734495185926,Restaurant,SRQS8F7JWA9MZ,NA
untextured,Level Change,51.48,23.59,110.52,1.0304426542431175,Restaurant,JHDN7CF1C03X5,NA
untextured,Level Change,0.87,0.56,1.26,1.159935580153267,Restaurant,JHDN7CF1C03X5,NA
untextured,Slope Change,0.01,0,0.17,1.307461535783047,Restaurant,JHDN7CF1C03X5,NA
untextured,Slope Change,45.11,2.55,411.04,1.2536191996139199,Restaurant,JHDN7CF1C03X5,NA
