outcome,exposure_group,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
chicken_fish,vegan,Count,1.04,0.95,1.14,1.00180426802995,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegan,Proportion,1.0058439001618265,0.9402414133840812,1.074946183300194,1.0272198701114228,Restaurant,SRQS8F7JWA9MZ
chicken_fish,vegan,Proportion,1.0009955282949736,0.9252855568989151,1.0599498142810273,1.0320999719090478,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegan,Proportion,1.0058439001618265,1.0009955282949736,1.0113973287615656,1.0019564470089195,Restaurant,JHDN7CF1C03X5
chicken_fish,vegan,Proportion,1.0327326526537461,1.0019822247447452,1.079552695180011,1.0314947875541103,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegan,Proportion,1.0048909381985118,0.9803505238485178,1.0289284225448128,1.0096016780998294,Restaurant,ED5J990H5VAZT
chicken_fish,vegan,Proportion,1.0029602531456534,0.9969587133618938,1.009576582776887,1.0015590276082693,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Count,0.79,0.15,2.02,1.0064803128091666,Restaurant,SRQS8F7JWA9MZ
chicken_fish,vegetarian,Count,1.15,0.96,1.38,1.0019720224542374,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Count,1.07,1.02,1.13,1.0028253904553748,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Count,1.89,1.37,2.71,1.0017584151226073,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Count,1.87,1.43,2.47,1.0039323810205203,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Count,1.03,0.92,1.15,1.000156492174525,Restaurant,W8T41JZK0ZMEP
chicken_fish,vegetarian,Proportion,0.9729294719520967,0.8271973337231157,1.128843996786771,1.0032340037980876,Restaurant,SRQS8F7JWA9MZ
chicken_fish,vegetarian,Proportion,0.9895192582062144,0.8705505632961241,1.140085417991247,1.002147309423496,Restaurant,2HRX9P6HKXA8V
chicken_fish,vegetarian,Proportion,1.0122967542169528,1.0067888050184637,1.0175475106035239,1.011388020582485,Restaurant,JHDN7CF1C03X5
chicken_fish,vegetarian,Proportion,1.0183993761470242,0.9803505238485178,1.058159820292016,1.0015905310953672,Restaurant,L69HYJ4Y3TR91
chicken_fish,vegetarian,Proportion,0.8894799631049141,0.8469842998552983,0.9330329915368074,1.0036912313593442,Restaurant,ED5J990H5VAZT
chicken_fish,vegetarian,Proportion,0.9979817686415696,0.9906132650954108,1.0048909381985118,1.0009517666589558,Restaurant,W8T41JZK0ZMEP
meat,mpbamod,Count,0.99,0.94,1.03,1.0031835757801038,Restaurant,SRQS8F7JWA9MZ
meat,mpbamod,Count,1.02,0.91,1.18,1.0016824349287659,Restaurant,2HRX9P6HKXA8V
meat,mpbamod,Count,0.97,0.92,1.02,1.0010987417864399,Restaurant,JHDN7CF1C03X5
meat,mpbamod,Count,1.03,0.96,1.14,1.001874135031014,Restaurant,L69HYJ4Y3TR91
meat,mpbamod,Count,1.02,0.99,1.04,1.0000459492556788,Restaurant,ED5J990H5VAZT
meat,mpbamod,Count,1,0.94,1.06,1.000205646238317,Restaurant,W8T41JZK0ZMEP
meat,mpbamod,Proportion,0.9927691996602169,0.959299887533659,1.0233803045571623,0.9998767266158981,Restaurant,SRQS8F7JWA9MZ
meat,mpbamod,Proportion,0.9969587133618938,0.956352499790037,1.0448000141602642,1.0014376508221505,Restaurant,2HRX9P6HKXA8V
meat,mpbamod,Proportion,0.9850308790880502,0.9791483623609768,0.9906132650954108,0.9998565754610492,Restaurant,JHDN7CF1C03X5
meat,mpbamod,Proportion,0.99899547129175,0.9607435561536403,1.0519880555770451,1.0012250443775401,Restaurant,L69HYJ4Y3TR91
meat,mpbamod,Proportion,1.0029602531456534,0.9884142560352875,1.0192448764914566,1.0002876270527736,Restaurant,ED5J990H5VAZT
meat,mpbamod,Proportion,0.99899547129175,0.9906132650954108,1.0077257952426748,0.9996758761193939,Restaurant,W8T41JZK0ZMEP
meat,vegan,Count,2.09,1.8,2.44,1.0002389889303582,Restaurant,SRQS8F7JWA9MZ
meat,vegan,Count,1.01,0.81,1.23,1.0020212746779618,Restaurant,2HRX9P6HKXA8V
meat,vegan,Count,0.99,0.95,1.03,1.000441560214069,Restaurant,JHDN7CF1C03X5
meat,vegan,Count,1.09,1.02,1.15,1.0002342743456551,Restaurant,L69HYJ4Y3TR91
meat,vegan,Count,1.22,1.13,1.33,1.000700482770945,Restaurant,ED5J990H5VAZT
meat,vegan,Count,0.97,0.9,1.04,1.0033072110826173,Restaurant,W8T41JZK0ZMEP
meat,vegan,Proportion,1.2512928481788212,1.1830345510319877,1.3300864104319206,1.0018460626132604,Restaurant,SRQS8F7JWA9MZ
meat,vegan,Proportion,1.0039297727022005,0.8376158603010033,1.1801389075750908,1.001546973254935,Restaurant,2HRX9P6HKXA8V
meat,vegan,Proportion,1,0.9948838031081763,1.0039297727022005,0.9997934767486663,Restaurant,JHDN7CF1C03X5
meat,vegan,Proportion,1.0158242733348055,1.0039297727022005,1.0281521620726264,1.0003499207489692,Restaurant,L69HYJ4Y3TR91
meat,vegan,Proportion,0.9872980226511102,0.9754599887264648,0.99899547129175,1.0004368487285178,Restaurant,ED5J990H5VAZT
meat,vegan,Proportion,0.9948838031081763,0.9906132650954108,1,1.0005578280102356,Restaurant,W8T41JZK0ZMEP
meat,vegetarian,Count,0.99,0.97,1.01,0.9996885002003993,Restaurant,SRQS8F7JWA9MZ
meat,vegetarian,Count,0.99,0.87,1.12,1.000403373633575,Restaurant,2HRX9P6HKXA8V
meat,vegetarian,Count,1,0.96,1.04,1.0006953527165223,Restaurant,JHDN7CF1C03X5
meat,vegetarian,Count,1.21,1.1,1.32,1.0002395432091806,Restaurant,L69HYJ4Y3TR91
meat,vegetarian,Count,1.51,1.36,1.68,1.0007437019347523,Restaurant,ED5J990H5VAZT
meat,vegetarian,Count,0.95,0.87,1.04,1.0007037362900948,Restaurant,W8T41JZK0ZMEP
meat,vegetarian,Proportion,1.0599498142810273,1.0149526899409642,1.1092384385894511,1.001995377614751,Restaurant,SRQS8F7JWA9MZ
meat,vegetarian,Proportion,0.9906132650954108,0.9028804514474342,1.0780367996474503,1.0030767648097128,Restaurant,2HRX9P6HKXA8V
meat,vegetarian,Proportion,1.0039297727022005,1,1.0086550094987714,1.0011365443860885,Restaurant,JHDN7CF1C03X5
meat,vegetarian,Proportion,1.0029602531456534,0.9927691996602169,1.0131890444241456,1.000494931485938,Restaurant,L69HYJ4Y3TR91
