outcome,effect_type,mean,q5,q95,rhat,estimate_type,restaurant_id,ess_bulk
nonvegan,Slope Change,1.91,0.89,5.61,1.0422421847176713,Restaurant,L69HYJ4Y3TR91,NA
nonvegan,Level Change,1,0.78,1.3,1.1399856979790872,Restaurant,ED5J990H5VAZT,NA
nonvegan,Slope Change,1.26,0.92,1.77,1.0033433769237587,Restaurant,ED5J990H5VAZT,NA
total,Level Change,0.95,0.72,1.25,1.0008010762518762,Restaurant,VLZX7K2M9QD4T,NA
total,Slope Change,1.02,0.3,3.43,1.0071433587201088,Restaurant,VLZX7K2M9QD4T,NA
total,Level Change,0.95,0.84,1.08,1.0004103783251075,Restaurant,SRQS8F7JWA9MZ,NA
total,Level Change,0.95,0.85,1.08,1.000625333018303,Restaurant,SRQS8F7JWA9MZ,NA
total,Slope Change,0.57,0.23,0.99,1.001894525382416,Restaurant,SRQS8F7JWA9MZ,NA
total,Slope Change,0.92,0.52,2.28,1.0023105020727794,Restaurant,SRQS8F7JWA9MZ,NA
total,Level Change,0.57,0.45,0.73,1.0020477583756302,Restaurant,2HRX9P6HKXA8V,NA
total,Slope Change,0.77,0.47,1.26,1.0063118882488071,Restaurant,2HRX9P6HKXA8V,NA
total,Level Change,0.91,0.76,1.11,1.0090485941087417,Restaurant,JHDN7CF1C03X5,NA
total,Level Change,0.82,0.7,0.95,1.0008069583472816,Restaurant,JHDN7CF1C03X5,NA
total,Slope Change,0.88,0.43,1.48,1.0048040294455194,Restaurant,JHDN7CF1C03X5,NA
total,Slope Change,1.33,0.82,2.64,1.0087626452139482,Restaurant,JHDN7CF1C03X5,NA
total,Level Change,1.26,0.98,1.6,1.0010849314020902,Restaurant,L69HYJ4Y3TR91,NA
total,Slope Change,2.99,1.03,10.85,1.0026649655641573,Restaurant,L69HYJ4Y3TR91,NA
total,Level Change,0.94,0.75,1.2,1.00084611050434,Restaurant,ED5J990H5VAZT,NA
total,Slope Change,1.35,0.95,1.97,1.001588532216772,Restaurant,ED5J990H5VAZT,NA
vegan,Level Change,1.13,0.93,1.41,1.1392654274393288,Restaurant,VLZX7K2M9QD4T,NA
vegan,Slope Change,1.07,0.42,2.5,1.0790050463850418,Restaurant,VLZX7K2M9QD4T,NA
vegan,Level Change,1.03,0.87,1.21,1.0551697639811377,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Level Change,1,0.87,1.15,1.1296766214800908,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Slope Change,0.5,0.16,1.36,1.1198438774972157,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Slope Change,1.28,0.55,3.72,1.1119351742243688,Restaurant,SRQS8F7JWA9MZ,NA
vegan,Level Change,0.9,0.74,1.06,1.0554963982130048,Restaurant,2HRX9P6HKXA8V,NA
