"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"chicken_fish","ED5J990H5VAZT","gender x level","Male",0.024107565,-0.0248195395,0.07117676875
"chicken_fish","L69HYJ4Y3TR91","gender x level","Male",-0.433463,-1.0798784,-0.1292637225
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",-0.11702345818,-0.3184767188475,0.04183560780825
"chicken_fish","SRQS8F7JWA9MZ","gender x level","Male",0.152146711925,-0.01768092907,0.35465732347575
"chicken_fish","pooled","gender x level","Male",-0.1045059,-0.3827714775,0.30547369
"meat","2HRX9P6HKXA8V","level change","Base",0.03900274,-0.1722840825,0.2888229625
"meat","ED5J990H5VAZT","level change","Base",0.023265045,-0.064598835,0.1130206625
"meat","L69HYJ4Y3TR91","level change","Base",-0.00681314,-0.29676615,0.18657416
"meat","SRQS8F7JWA9MZ","level change","Base",0.035098165,-0.1720127325,0.26969571
"meat","SRQS8F7JWA9MZ","level change","Base",-0.01544685,-0.2343280025,0.1922594925
"meat","pooled","level change","Base",0.017890775,-0.2610397325,0.22186940175
"meat","2HRX9P6HKXA8V","slope change","Base",0.034841995,-0.206082945,0.2751558975
"meat","ED5J990H5VAZT","slope change","Base",0.1559711,-0.0313396,0.3398462355
"meat","L69HYJ4Y3TR91","slope change","Base",0.16731,-0.403839155,0.915607527500001
"meat","SRQS8F7JWA9MZ","slope change","Base",-0.069209405,-1.232861475,0.9865005625
"meat","SRQS8F7JWA9MZ","slope change","Base",0.1214107,-0.9097963175,1.334350525
"meat","pooled","slope change","Base",0.11765615,-0.247034669,0.6011882
"meat","2HRX9P6HKXA8V","gender x level","Female",0.05883515,-0.217912148,0.33786049575
"meat","ED5J990H5VAZT","gender x level","Female",-0.0898308,-0.1507825075,-0.0257041699
"meat","L69HYJ4Y3TR91","gender x level","Female",-0.021393105,-0.2202823875,0.1749143725
"meat","SRQS8F7JWA9MZ","gender x level","Female",0.090153265,-0.1052578775,0.3486771525
"meat","SRQS8F7JWA9MZ","gender x level","Female",-0.04863405,-0.3133548825,0.1575177125
"meat","pooled","gender x level","Female",-0.016233815,-0.294366215,0.2803115485
"meat","2HRX9P6HKXA8V","gender x level","Male",-0.03118214,-0.275646435,0.2133797725
"meat","ED5J990H5VAZT","gender x level","Male",-0.139395155,-0.20167647325,-0.074814075
"meat","L69HYJ4Y3TR91","gender x level","Male",-0.2473303,-0.4742299575,-0.0316851674999999
"meat","SRQS8F7JWA9MZ","gender x level","Male",-0.07635097055,-0.3302775775,0.1793288125
"meat","SRQS8F7JWA9MZ","gender x level","Male",0.0537515,-0.209548215,0.3164595905
"meat","pooled","gender x level","Male",-0.09674525,-0.49241265,0.4073916075
"nonvegan","2HRX9P6HKXA8V","level change","Base",-0.038335445,-0.33308077375,0.2462139425
"nonvegan","ED5J990H5VAZT","level change","Base",-0.00756925,-0.10476494,0.0859996125
"nonvegan","L69HYJ4Y3TR91","level change","Base",0.006787015,-0.33288098,0.33815584925
"nonvegan","SRQS8F7JWA9MZ","level change","Base",0.027943895,-0.1774907425,0.2437358725
"nonvegan","SRQS8F7JWA9MZ","level change","Base",-0.0171631,-0.238225605,0.1857863975
"nonvegan","pooled","level change","Base",-0.01707885,-0.35734522275,0.2999346725
"nonvegan","2HRX9P6HKXA8V","slope change","Base",0.02671295,-0.2078002325,0.24377114
