outcome,exposure_group,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
chicken_fish,Exposure: Vegan,Form: Count,0.9212070113126827,0.5936577821318823,0.759681299814267,1.1430128647515114,1.4269360525759285,0.9212070113126827,0.9918265358916827,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.759681299814267,1.1430128647515114
chicken_fish,Exposure: Vegan,Form: Proportion,0.8975156243721826,0.7456395481281985,0.8141556264243902,0.9868324869054464,1.084819626157843,0.33917214436567755,0.8975156243721826,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8141556264243902,0.9868324869054464
chicken_fish,Exposure: Vegetarian,Form: Count,1.023624336068631,0.8915086178859298,0.9607423155075814,1.1052850394957237,1.2553803005416766,1.023624336068631,1.0023376881420551,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9607423155075814,1.1052850394957237
chicken_fish,Exposure: Vegetarian,Form: Proportion,0.8442858558195092,0.7057011897938092,0.76839731989289,0.9305831819500926,1.0410174554960674,0.18403275884846096,0.8442858558195092,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.76839731989289,0.9305831819500926
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Count,1.034076750375152,0.7559853358609907,0.8949124488555327,1.172441491671692,1.3157144814769262,1.034076750375152,1.003356520541609,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.8949124488555327,1.172441491671692
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9679613695418251,0.8103806993768635,0.8883120091922949,1.0618977360022384,1.1656741946675708,0.722071582692781,0.9679613695418251,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.8883120091922949,1.0618977360022384
vegetarian,Exposure: Vegan,Form: Count,0.9727080433933841,0.6601101212505639,0.8120564535831246,1.2017883078435956,1.486903742203344,0.9727080433933841,0.9972366949753371,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.8120564535831246,1.2017883078435956
vegetarian,Exposure: Vegan,Form: Proportion,1.0076347471850262,0.8737476871292459,0.9396038318820712,1.0892294591003908,1.178338095953689,1.079024616288992,1.0076347471850262,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9396038318820712,1.0892294591003908
vegetarian,Exposure: Vegetarian,Form: Count,1.024429784511377,0.8954945799859697,0.9779248151765847,1.0647624642268465,1.1230229647354733,1.024429784511377,1.0024165301135328,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9779248151765847,1.0647624642268465
vegetarian,Exposure: Vegetarian,Form: Proportion,1.1032280243973027,0.9378331094508917,1.0319333813290383,1.1734888702162367,1.2572001085073332,2.6708706355774345,1.1032280243973027,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,1.0319333813290383,1.1734888702162367
vegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0058101136155368,0.8431705384279655,0.931329410410379,1.0957162379240333,1.2229174478952374,1.0058101136155368,1.0005794978440352,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.931329410410379,1.0957162379240333
vegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9791031298177116,0.8452385673476541,0.9051149318013494,1.0574672096136357,1.1365461549858478,0.8096258917854718,0.9791031298177116,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.9051149318013494,1.0574672096136357
vegan,Exposure: Vegan,Form: Count,0.9315252802661084,0.6332233914575962,0.7682420394128819,1.116780821329274,1.3930046703221766,0.9315252802661084,0.9929319023325036,NA,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.7682420394128819,1.116780821329274
