"outcome","restaurant","effect_type","series","estimate","ci_lower","ci_upper"
"untextured","SRQS8F7JWA9MZ","level change","Base",0.1281159,-0.1443867975,0.421573299
"untextured","SRQS8F7JWA9MZ","level change","Base",0.05787635,-0.18142568625,0.2948955675
"untextured","pooled","level change","Base",0.05623824,-0.48981749,1.5240739
"untextured","SRQS8F7JWA9MZ","slope change","Base",-0.351771,-1.8770176925,0.765873265
"untextured","SRQS8F7JWA9MZ","slope change","Base",0.0531073,-1.17265955,1.6548630675
"untextured","pooled","slope change","Base",-0.0352878,-0.788757635,0.99349981
"untextured","SRQS8F7JWA9MZ","gender x level","Female",0.07656755,-0.1236157605,0.3291762275
"untextured","SRQS8F7JWA9MZ","gender x level","Female",-0.03807755,-0.2999138325,0.172052755
"untextured","pooled","gender x level","Female",0.0546346,-0.396330165,0.355598005
"untextured","SRQS8F7JWA9MZ","gender x level","Male",-0.2239487,-0.4972172,0.00762766205000018
"untextured","SRQS8F7JWA9MZ","gender x level","Male",0.18914583,-0.0568542625,0.466626155
"untextured","pooled","gender x level","Male",-0.1632763,-0.71225375,0.762613155
"breakfast","2HRX9P6HKXA8V","level change","Base",0.092659552,-0.131511665,0.38058779
"breakfast","ED5J990H5VAZT","level change","Base",0.043197245,-0.04616991,0.1329808075
"breakfast","L69HYJ4Y3TR91","level change","Base",-0.0196054,-0.337399625,0.202030865
"breakfast","pooled","level change","Base",0.0552674,-0.2365434425,0.3097506575
"breakfast","2HRX9P6HKXA8V","slope change","Base",0.02035705,-0.253683785,0.2880771525
"breakfast","ED5J990H5VAZT","slope change","Base",0.11020205,-0.08405634,0.306441765
"breakfast","L69HYJ4Y3TR91","slope change","Base",0.1636744,-0.536306,1.071730925
"breakfast","pooled","slope change","Base",0.09968325,-0.360129265,0.736321925
"breakfast","2HRX9P6HKXA8V","gender x level","Female",0.031582,-0.2574465675,0.3140636125
"breakfast","ED5J990H5VAZT","gender x level","Female",-0.0730523,-0.13007703,-0.0176486335
"breakfast","L69HYJ4Y3TR91","gender x level","Female",0.04152275,-0.161337525,0.2464233085
"breakfast","pooled","gender x level","Female",0.0100281,-0.28001633475,0.4254190225
"breakfast","2HRX9P6HKXA8V","gender x level","Male",-0.0759861,-0.3097298275,0.1731670425
"breakfast","ED5J990H5VAZT","gender x level","Male",-0.063269995,-0.1207348175,-0.00673764999999998
"breakfast","L69HYJ4Y3TR91","gender x level","Male",-0.2719903,-0.492809625,-0.05502678375
"breakfast","pooled","gender x level","Male",-0.0637453,-0.3893219425,0.5461907075
