outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
chicken_fish,vegetarian,count,1.0717412084157751,1.0717412084157751,1.0069525196676816,0.9271595072383825,1.2829492767849142,1.03072467010167,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,0.5
chicken_fish,vegetarian,proportion,0.9295429548992612,0.4816090470358625,0.9295429548992612,0.7906291168474738,1.1106641003227071,1.00229954706793,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,0.5
vegetarian,mpbamod,count,1.0562991525431749,1.0562991525431749,1.0054921703279687,0.8175392010546322,1.314666899267664,1.06608340023127,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.5
vegetarian,mpbamod,proportion,0.9919871639428958,0.9227000100121042,0.9919871639428958,0.8586242542399413,1.1429321823211085,1.00511630939998,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.5
vegetarian,vegan,count,1.184401828489947,1.184401828489947,1.0170678046729804,0.9343884526703499,1.5315635244292187,1.02376963831623,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.5
vegetarian,vegan,proportion,1.1025666194411383,2.654901417455102,1.1025666194411383,1.0078615053767674,1.214398843091184,1.04992891750951,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.5
vegetarian,vegetarian,count,1.0655486129711669,1.0655486129711669,1.0063691771007055,0.9712327529872808,1.1657047328172954,1.01351505101277,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.5
vegetarian,vegetarian,proportion,1.2075690776922234,6.593558061316948,1.2075690776922234,1.0590474425478604,1.2996867189464114,1.03788168003397,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.5
vegan,mpbamod,count,1.0403012772203055,1.0403012772203055,1.0039588517165847,0.9092359568467966,1.1876710634695504,1.00976359991991,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.5
vegan,mpbamod,proportion,1.0007296453457026,1.0073204573355066,1.0007296453457026,0.8896256257292637,1.1260079048658438,1.01584512445743,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.5
vegan,vegan,count,1.1349358885977252,1.1349358885977252,1.012738063040742,0.91563698494742,1.441871900050115,1.01367583470913,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.5
vegan,vegan,proportion,1.1648604847857311,4.599801925880072,1.1648604847857311,1.0192054111145556,1.2913558655962871,1.00076641190236,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.5
vegan,vegetarian,count,1.0500796038234819,1.0500796038234819,1.0048985563348882,0.9892214023993878,1.1206422405254768,1.02697827685503,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.5
vegan,vegetarian,proportion,1.134492251321396,3.5319564472411122,1.134492251321396,1.0227190031392825,1.242516706781426,1.01170145582976,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.5
total,mpbamod,count,0.9,NA,0.9898709119458416,0.76,1.05,1.0026710443279,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Total,0.5
total,mpbamod,count,1.02,NA,1.0021405276335686,1.01,1.04,1.0049037414506,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Total,0.5
total,mpbamod,count,1,NA,1.00014438629271,0.97,1.03,1.00150769986479,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Total,0.5
total,mpbamod,count,1.1,NA,1.0091411802514505,0.98,1.24,1.00184208186749,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Total,0.5
total,mpbamod,count,1.2,NA,1.0181075886112223,1.12,1.28,1.0008533834341,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Total,0.5
total,mpbamod,count,1.02,NA,1.0016418248875791,1,1.04,1.00196972669011,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Total,0.5
total,mpbamod,proportion,0.9131853653834298,NA,0.9131853653834298,0.6762433378062414,1.125092775800282,1.00352921596288,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Total,0.5
total,mpbamod,proportion,1.0339461697778511,NA,1.0339461697778511,0.99899547129175,1.0690633991544003,1.00188846561414,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Total,0.5
total,mpbamod,proportion,0.9505939231255488,NA,0.9505939231255488,0.8424172486141028,1.0544958918547662,1.00137827362729,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Total,0.5
total,mpbamod,proportion,1.075123951169111,NA,1.075123951169111,0.8594928497600735,1.373132366772672,1.00458559499168,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Total,0.5
total,mpbamod,proportion,1.1826734965518264,NA,1.1826734965518264,1.108449222600272,1.2624067600353122,1.0022502494334,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Total,0.5
total,mpbamod,proportion,1.054188042614749,NA,1.054188042614749,0.959299887533659,1.1620495159034718,1.00965394997035,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Total,0.5
total,vegan,count,1.01,NA,1.000679701139346,0.92,1.1,1.00281047969083,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Total,0.5
total,vegan,count,1.27,NA,1.0245870402772568,1.21,1.35,1.00026077781128,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/ED5J990H5VAZT.png,Total,0.5
total,vegan,count,0.99,NA,0.9993484108026519,0.98,1.01,0.999712589331484,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Total,0.5
total,vegan,count,1.12,NA,1.0111765292632262,1.06,1.18,1.0009647506042,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Total,0.5
total,vegan,count,2.38,NA,1.0903910573116884,2.05,2.76,1.00069196801761,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Total,0.5
total,vegan,count,1.03,NA,1.0027966834588316,1.01,1.04,1.00055489865228,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Total,0.5
total,vegan,proportion,1.0025649893879116,NA,1.0025649893879116,0.8513399225207846,1.1767163239645777,1.00175909152119,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Total,0.5
total,vegan,proportion,1.1663776715350773,NA,1.1663776715350773,1.0500712315941094,1.294170633985754,1.00146393014038,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/ED5J990H5VAZT.png,Total,0.5
total,vegan,proportion,0.9259677428863843,NA,0.9259677428863843,0.8469842998552983,1.0158242733348055,1.0003659644828,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/JHDN7CF1C03X5.png,Total,0.5
total,vegan,proportion,1.3824900998294178,NA,1.3824900998294178,1.1596989598793381,1.6497369685533512,1.00576068765653,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/L69HYJ4Y3TR91.png,Total,0.5
total,vegan,proportion,1.2038593327536449,NA,1.2038593327536449,1.1385395159938556,1.2768657796385043,1.00184978592887,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/SRQS8F7JWA9MZ.png,Total,0.5
total,vegan,proportion,1.1288000520490062,NA,1.1288000520490062,1.0304653117863476,1.2425101905916196,1.00210174166612,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop/plots/W8T41JZK0ZMEP.png,Total,0.5
total,vegetarian,count,1.01,NA,1.0007304878019532,0.94,1.08,1.00858424979854,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/2HRX9P6HKXA8V.png,Total,0.5
total,vegetarian,count,1.11,NA,1.0104397066264503,1.09,1.14,1.00044271490254,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/ED5J990H5VAZT.png,Total,0.5
total,vegetarian,count,1,NA,1.0003413305263023,0.99,1.02,1.0007436301694,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/JHDN7CF1C03X5.png,Total,0.5
total,vegetarian,count,1.07,NA,1.006617403247401,1.03,1.11,1.00794047108607,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/L69HYJ4Y3TR91.png,Total,0.5
total,vegetarian,count,1.06,NA,1.00604253831909,1.04,1.09,1.0031119224842,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count/plots/SRQS8F7JWA9MZ.png,Total,0.5
