model_id,term,effect_type,gender,estimate,std_error,p_value,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_4_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_5_gendermale,Gender x Level,male,0.07856647384634133,0.11302725410775634,NA,-0.0709509831,0.23884704999999995,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_5_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
W8T41JZK0ZMEP,exposure_W8T41JZK0ZMEP_5_genderfemale,Gender x Level,female,-0.2538549796392,0.14273496567588642,NA,-0.4684841435,-0.03329956045000001,W8T41JZK0ZMEP,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_W8T41JZK0ZMEP_5_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
EMBVNVD207CC6,exposure_EMBVNVD207CC6_1_gendermale,Gender x Level,male,0.2394008119322,0.09627177021070056,NA,0.1140788695,0.399394459,EMBVNVD207CC6,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_EMBVNVD207CC6_1_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
EMBVNVD207CC6,exposure_EMBVNVD207CC6_1_genderfemale,Gender x Level,female,0.13285828298571634,0.11980466342504052,NA,-0.06322045519999998,0.3437433014999998,EMBVNVD207CC6,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_EMBVNVD207CC6_1_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1_gendermale,Gender x Level,male,0.04400697228153767,0.09040668441540013,NA,-0.09919314865,0.18293010899999998,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_1_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_1_genderfemale,Gender x Level,female,0.07964707966978334,0.18961261945056404,NA,-0.17066122249999996,0.4095203844999999,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_1_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2_gendermale,Gender x Level,male,0.025656691915122334,0.09046492896060306,NA,-0.11792796649999998,0.1719088209999999,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_2_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
C0BE4NDSW26QN,exposure_C0BE4NDSW26QN_2_genderfemale,Gender x Level,female,0.13066456283544667,0.19208363097564382,NA,-0.18998036699999996,0.3847944064999996,C0BE4NDSW26QN,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_C0BE4NDSW26QN_2_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_1_gendermale,Gender x Level,male,-0.009168689778084167,0.08091995176258399,NA,-0.150139882,0.12319168599999994,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_V3Q26BHF3SE2H_1_gendermale,Gender x Level,male,0.034516261122894666,0.0481764913580958,NA,-0.03645191454999999,0.11785075199999988,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_1_genderfemale,Gender x Level,female,-0.16874634221740334,0.14296070425084761,NA,-0.4132857605,0.05295815839999973,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
mu_gamma (pooled),exposure_V3Q26BHF3SE2H_1_genderfemale,Gender x Level,female,0.009300115829798833,0.08532061796331701,NA,-0.12025626499999999,0.15813655049999997,mu_gamma (pooled),NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
V3Q26BHF3SE2H,exposure_V3Q26BHF3SE2H_2_gendermale,Gender x Level,male,0.019697186584936,0.07692781662514152,NA,-0.11179291899999999,0.13691898549999998,V3Q26BHF3SE2H,NA,NA,A5_t2_gaussian_iid_day_gender,nonvegan
