Outcome,Exposure_Group,Exposure_Type,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
Total,Mpbamod,count,1.0354899537794324,0.8973927404584473,1.1577098656956915,1.02461036892935,"1.035 [0.897, 1.158]"
Total,Mpbamod,prop,1.0267650175046843,0.9152805121811738,1.135186069065812,1.0119905071951,"1.027 [0.915, 1.135]"
Total,Vegan,count,1.2156075585507544,0.8581688748731239,1.6265016396246172,1.03217282885731,"1.216 [0.858, 1.627]"
Total,Vegan,prop,1.0924465802546077,0.9703090548341916,1.2211073365656533,1.0128693353444,"1.092 [0.970, 1.221]"
Total,Vegetarian,count,1.0448433814771803,1.003311917068086,1.10542994523062,1.02545796645636,"1.045 [1.003, 1.105]"
Total,Vegetarian,prop,1.1012017682133293,0.9872927328715464,1.1965915018083346,1.00789984355775,"1.101 [0.987, 1.197]"
Nonvegan,Mpbamod,count,1.036750445652937,0.7927158653667719,1.1548827804089525,1.02172248153063,"1.037 [0.793, 1.155]"
Nonvegan,Mpbamod,prop,1.0197036032304787,0.9141550732793013,1.1092425000789734,1.01120456600385,"1.020 [0.914, 1.109]"
Nonvegan,Vegan,count,1.1904715629318776,0.8033255339408503,1.6134237921450678,1.0608545877844,"1.190 [0.803, 1.613]"
Nonvegan,Vegan,prop,1.0723976113607052,0.9567080566897352,1.1949004183661431,1.01629986066628,"1.072 [0.957, 1.195]"
Nonvegan,Vegetarian,count,1.043893737211601,0.987609509657159,1.100340508407085,1.018935244326,"1.044 [0.988, 1.100]"
Nonvegan,Vegetarian,prop,1.0755925295401798,0.9956479265883674,1.1636885560769854,1.03647430644444,"1.076 [0.996, 1.164]"
Meat,Mpbamod,count,1.0206131253599209,0.920698058419149,1.1406672805714737,1.02193288153117,"1.021 [0.921, 1.141]"
Meat,Mpbamod,prop,1.0565237629870827,0.9688546556605294,1.1271206122935842,1.00550860518848,"1.057 [0.969, 1.127]"
Meat,Vegan,count,1.221157280877073,0.8317273260418013,1.8497317896273269,1.02580915992028,"1.221 [0.832, 1.850]"
Meat,Vegan,prop,1.0142380591991327,0.8940787012188454,1.1500042925265788,1.03274237024917,"1.014 [0.894, 1.150]"
Meat,Vegetarian,count,1.0222997027347993,0.9765431170061464,1.0713687831107808,1.00522769877255,"1.022 [0.977, 1.071]"
Meat,Vegetarian,prop,0.9419759363576005,0.8595388108760905,1.053269375368147,1.0492220139393,"0.942 [0.860, 1.053]"
Chicken Fish,Mpbamod,count,1.0086327339780088,0.9056331446910109,1.1003282534329173,1.00768572338554,"1.009 [0.906, 1.100]"
Chicken Fish,Mpbamod,prop,1.0345556387646828,0.8813162503316975,1.1858118256971448,1.00078508186701,"1.035 [0.881, 1.186]"
Chicken Fish,Vegan,count,1.107377381135588,0.8487547106682823,1.504028011467266,1.00287070629228,"1.107 [0.849, 1.504]"
Chicken Fish,Vegan,prop,0.9784862444865537,0.8472493166888942,1.1415236441483954,1.00320238999202,"0.978 [0.847, 1.142]"
Chicken Fish,Vegetarian,count,1.0632782241846568,0.9271595072383825,1.2829492767849142,1.03072467010167,"1.063 [0.927, 1.283]"
Chicken Fish,Vegetarian,prop,0.92670708037599,0.7906291168474738,1.1106641003227071,1.00229954706793,"0.927 [0.791, 1.111]"
Vegetarian,Mpbamod,count,1.066475567906793,0.8175392010546322,1.314666899267664,1.06608340023127,"1.066 [0.818, 1.315]"
Vegetarian,Mpbamod,prop,0.9915003976136767,0.8586242542399413,1.1429321823211085,1.00511630939998,"0.992 [0.859, 1.143]"
Vegetarian,Vegan,count,1.1788530803412476,0.9343884526703499,1.5315635244292187,1.02376963831623,"1.179 [0.934, 1.532]"
Vegetarian,Vegan,prop,1.1006537263920393,1.0078615053767674,1.214398843091184,1.04992891750951,"1.101 [1.008, 1.214]"
Vegetarian,Vegetarian,count,1.0679387620611376,0.9712327529872808,1.1657047328172954,1.01351505101277,"1.068 [0.971, 1.166]"
Vegetarian,Vegetarian,prop,1.2202594499147985,1.0590474425478604,1.2996867189464114,1.03788168003397,"1.220 [1.059, 1.300]"
Vegan,Mpbamod,count,1.03411899327321,0.9092359568467966,1.1876710634695504,1.00976359991991,"1.034 [0.909, 1.188]"
Vegan,Mpbamod,prop,1.0011871340864946,0.8896256257292637,1.1260079048658438,1.01584512445743,"1.001 [0.890, 1.126]"
Vegan,Vegan,count,1.132322122710957,0.91563698494742,1.441871900050115,1.01367583470913,"1.132 [0.916, 1.442]"
Vegan,Vegan,prop,1.1695850175043174,1.0192054111145556,1.2913558655962871,1.00076641190236,"1.170 [1.019, 1.291]"
Vegan,Vegetarian,count,1.048585538693228,0.9892214023993878,1.1206422405254768,1.02697827685503,"1.049 [0.989, 1.121]"
Vegan,Vegetarian,prop,1.1354028251574682,1.0227190031392825,1.242516706781426,1.01170145582976,"1.135 [1.023, 1.243]"
