Outcome,Exposure_Group,Exposure_Type,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
Nonvegan,Mpbamod,count,1.0038156571549046,0.9338926501112139,1.082655010949764,NA,"1.004 [0.934, 1.083]"
Nonvegan,Mpbamod,prop,0.9977864031271207,0.8501473656006149,1.158708669870916,NA,"0.998 [0.850, 1.159]"
Nonvegan,Vegan,count,1.0082187197595296,0.8852847943861101,1.136181576165437,NA,"1.008 [0.885, 1.136]"
Nonvegan,Vegan,prop,0.9898353701098683,0.8961824754554127,1.081675419183202,NA,"0.990 [0.896, 1.082]"
Nonvegan,Vegetarian,count,1.002680430447199,0.9582569831347841,1.0447733873082363,NA,"1.003 [0.958, 1.045]"
Nonvegan,Vegetarian,prop,0.9850562233951905,0.9112910599220699,1.0695167294446801,NA,"0.985 [0.911, 1.070]"
Meat,Mpbamod,count,1.006924364818519,0.9404965948657711,1.0760839159771824,NA,"1.007 [0.940, 1.076]"
Meat,Mpbamod,prop,1.0263552301584222,0.8820432970538383,1.165893612524043,NA,"1.026 [0.882, 1.166]"
Meat,Vegan,count,1.0036040535384194,0.8706041293700127,1.1568591812069164,NA,"1.004 [0.871, 1.157]"
Meat,Vegan,prop,0.9654458771449339,0.8613778871872025,1.087373282388626,NA,"0.965 [0.861, 1.087]"
Meat,Vegetarian,count,0.9863331407518053,0.948532762339916,1.0225222186911218,NA,"0.986 [0.949, 1.023]"
Meat,Vegetarian,prop,0.9003641165782293,0.8280727332627489,0.9820765599597665,NA,"0.900 [0.828, 0.982]"
Chicken Fish,Mpbamod,count,1.0168201095611424,0.9390576285367153,1.1009622968284147,NA,"1.017 [0.939, 1.101]"
Chicken Fish,Mpbamod,prop,0.9969682477707674,0.8508640295811025,1.172267653324013,NA,"0.997 [0.851, 1.172]"
Chicken Fish,Vegan,count,0.9511926464016384,0.8496182570971765,1.059560972985018,NA,"0.951 [0.850, 1.060]"
Chicken Fish,Vegan,prop,0.9116321432277057,0.7917001676858375,1.0471783648400075,NA,"0.912 [0.792, 1.047]"
Chicken Fish,Vegetarian,count,0.9785607977043281,0.9341083017066336,1.0219638798199304,NA,"0.979 [0.934, 1.022]"
Chicken Fish,Vegetarian,prop,0.8313694899786463,0.7439968533881436,0.9393842923691972,NA,"0.831 [0.744, 0.939]"
Vegetarian,Mpbamod,count,1.007334155385726,0.9317848334705549,1.087640666857124,NA,"1.007 [0.932, 1.088]"
Vegetarian,Mpbamod,prop,1.0102733865717326,0.8693943160791211,1.1885821953208613,NA,"1.010 [0.869, 1.189]"
Vegetarian,Vegan,count,0.9855734346955798,0.8851111983625071,1.0847853260595544,NA,"0.986 [0.885, 1.085]"
Vegetarian,Vegan,prop,0.9860997496724858,0.9041799628078966,1.0813155588626446,NA,"0.986 [0.904, 1.081]"
Vegetarian,Vegetarian,count,1.0052189751512206,0.9598618839558364,1.04955640890995,NA,"1.005 [0.960, 1.050]"
Vegetarian,Vegetarian,prop,1.0370807727450193,0.9522685526517206,1.1302983569241551,NA,"1.037 [0.952, 1.130]"
Vegan,Mpbamod,count,1.0203295343382384,0.9408177903789429,1.121646786577542,NA,"1.020 [0.941, 1.122]"
Vegan,Mpbamod,prop,1.03011270233669,0.8604901064844075,1.2304860011438306,NA,"1.030 [0.860, 1.230]"
Vegan,Vegan,count,1.0191259172119569,0.9155823429650082,1.1543475668103078,NA,"1.019 [0.916, 1.154]"
Vegan,Vegan,prop,1.0323716023059066,0.9128490279728416,1.1657764051703707,NA,"1.032 [0.913, 1.166]"
Vegan,Vegetarian,count,1.0157495851823108,0.9576708239985854,1.0637209454160335,NA,"1.016 [0.958, 1.064]"
Vegan,Vegetarian,prop,0.9855114943372477,0.9017501379213102,1.0858361132073078,NA,"0.986 [0.902, 1.086]"
