outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group
vegetarian,Vegetarian,Count,1.02059222964152,0.8954945799859697,1.1230229647354733,1.02059222964152,1.0018946405962,1.01351505101277,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based
vegetarian,Vegetarian,Proportion,1.10248700338019,0.9378331094508917,1.2572001085073332,3.30611935703641,1.10248700338019,1.03788168003397,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based
vegan,MPBA-Modifiable,Count,1.01291481576595,0.8431705384279655,1.2229174478952374,1.01291481576595,1.00091387314448,1.00976359991991,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based
vegan,MPBA-Modifiable,Proportion,0.981681133100202,0.8452385673476541,1.1365461549858478,1.0813342122849,0.981681133100202,1.01584512445743,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based
vegan,Vegan,Count,0.948146459480508,0.6332233914575962,1.3930046703221766,0.948146459480508,0.992920386562304,1.01367583470913,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based
vegan,Vegan,Proportion,1.07090053832342,0.9024777390065771,1.26251202263343,2.70881490548059,1.07090053832342,1.00076641190236,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based
vegan,Vegetarian,Count,1.00498138944538,0.9264273948992237,1.0929530220176231,1.00498138944538,1.00042223702219,1.02697827685503,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based
vegan,Vegetarian,Proportion,1.03547678029447,0.9104395718603676,1.1896432550423128,1.76891626587332,1.03547678029447,1.01170145582976,Pooled,POOLED,../../model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based
nonvegan,MPBA-Modifiable,Count,1.01469478350142,0.8021728224427509,1.2668505929708564,1.01469478350142,1.00084639539191,1.00145994979798,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
nonvegan,MPBA-Modifiable,Count,0.997791452454399,0.9749292909175434,1.0203666540917276,0.997791452454399,0.999772990706177,1.00051753582691,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal
nonvegan,MPBA-Modifiable,Count,1.00166283452309,0.9619000832510703,1.0414482187207994,1.00166283452309,1.00014731144029,1.00216613461077,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal
nonvegan,MPBA-Modifiable,Count,0.983523223721423,0.8191990146642879,1.170148185426054,0.983523223721423,0.997976624934632,1.00715646816109,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,MPBA-Modifiable,Count,1.00816448552861,0.9197361210746905,1.103014322248669,1.00816448552861,1.00071353664854,1.00257042287047,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,MPBA-Modifiable,Count,1.00401345972107,0.9759234953531873,1.0323639702689544,1.00401345972107,1.0003911009707,1.00047282565876,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,MPBA-Modifiable,Proportion,0.999023496483323,0.6828647345991028,1.395861740948109,4.13943413520776,0.999023496483323,1.0024786225662,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal
nonvegan,MPBA-Modifiable,Proportion,0.995453495712546,0.9478874371125366,1.0429998033750818,0.981344702237017,0.995453495712546,1.00770509194278,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/ED5J990H5VAZT.png,Animal
nonvegan,MPBA-Modifiable,Proportion,1.04139126714658,0.8918449160037887,1.2137738587684699,2.00448172752937,1.04139126714658,1.01235692069139,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/JHDN7CF1C03X5.png,Animal
nonvegan,MPBA-Modifiable,Proportion,0.989261478179064,0.7108867781270556,1.3831385417961723,4.13516719063904,0.989261478179064,1.00260355559401,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,MPBA-Modifiable,Proportion,1.00625786750356,0.9151321252050175,1.1046492071765202,1.17608276115284,1.00625786750356,1.00089020089094,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,MPBA-Modifiable,Proportion,0.936325180529012,0.8056743301615567,1.0787980457194974,0.657290942871774,0.936325180529012,1.00344933914527,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,Vegan,Count,1.0083494978654,0.8839932076746273,1.1414918531575975,1.0083494978654,1.00064131806574,1.0011037818454,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
nonvegan,Vegan,Count,0.994122067084406,0.9173042025888724,1.0748821740095664,0.994122067084406,0.999335807531063,1.00100634099216,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/ED5J990H5VAZT.png,Animal
nonvegan,Vegan,Count,0.993607511462963,0.9701724580341615,1.0165904125610952,0.993607511462963,0.999352435011366,0.999923313073786,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/JHDN7CF1C03X5.png,Animal
nonvegan,Vegan,Count,0.981026295031293,0.9126521410550837,1.0519033026944389,0.981026295031293,0.998027176981625,1.0050097936646,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,Vegan,Count,0.957022959738906,0.7674073104171294,1.1765130837112685,0.957022959738906,0.995102716161396,1.00062344886799,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,Vegan,Count,1.00733397334867,0.9863214705271252,1.028257050602399,1.00733397334867,1.00072593454788,1.00373239301576,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,Vegan,Proportion,1.00917339556428,0.7875550054745276,1.2493409971322287,1.94401451064398,1.00917339556428,1.00012645538623,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal
nonvegan,Vegan,Proportion,0.987441377405742,0.8469835529697661,1.146888617775494,1.15352101047994,0.987441377405742,1.00157654697256,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/ED5J990H5VAZT.png,Animal
nonvegan,Vegan,Proportion,0.971856601657673,0.8455629376789552,1.1071903675333608,0.928168575630631,0.971856601657673,1.00063410102128,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/JHDN7CF1C03X5.png,Animal
nonvegan,Vegan,Proportion,0.943915885843835,0.7213802054254383,1.2182136019851917,1.26517329661795,0.943915885843835,1.00433544445577,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,Vegan,Proportion,0.984690852633081,0.9070678042916543,1.065769874650277,0.92439082014352,0.984690852633081,1.00057558427499,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,Vegan,Proportion,0.974275407809943,0.8481464967579296,1.1162874807226695,0.963540110352326,0.974275407809943,1.00791667718654,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegan_dishes_prop/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,Vegetarian,Count,1.00820382069058,0.9197123921888707,1.106885466045208,1.00820382069058,1.0007163569041,1.00410253363992,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/2HRX9P6HKXA8V.png,Animal
nonvegan,Vegetarian,Count,0.998247199477726,0.96748473207863,1.0299851683729953,0.998247199477726,0.999812810218899,1.00126934636385,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/ED5J990H5VAZT.png,Animal
nonvegan,Vegetarian,Count,0.995959541072074,0.978759023311204,1.0138308827890863,0.995959541072074,0.999591566677581,1.00061011145939,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/JHDN7CF1C03X5.png,Animal
nonvegan,Vegetarian,Count,0.993095747404451,0.9440568355486693,1.0432300423077039,0.993095747404451,0.999277757173085,1.00400247476887,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/L69HYJ4Y3TR91.png,Animal
nonvegan,Vegetarian,Count,1.00384153377976,0.9680766122025524,1.0404633210949636,1.00384153377976,1.00036858945266,1.00092349310069,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
nonvegan,Vegetarian,Count,1.00636030707845,0.9911353547230815,1.0231145722165655,1.00636030707845,1.00063134453241,1.01009382351672,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
nonvegan,Vegetarian,Proportion,0.997295498645063,0.803807515136735,1.2353852101519365,1.66375221004547,0.997295498645063,1.02095316519052,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc/a1_proportion/nonvegan/vegetarian_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal
