outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Chicken,Presence,1.26803062537162,1.0522765710490014,1.5201460640331033,1.26803062537162,1.02361902244842,1.19599406244112,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Dairy,Count,1.03330274862468,0.9992705116810744,1.0634781259887571,1.03330274862468,1.00327035604128,1.00435876447176,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/ED5J990H5VAZT.png,Animal
Dairy,Count,1.03711868300992,1.009538462914141,1.064736251694779,1.03711868300992,1.00364320529448,1.00217427761834,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/JHDN7CF1C03X5.png,Animal
Dairy,Count,1.03735119400804,1.016100648262152,1.0600529582614555,1.03735119400804,1.00366875807917,1.00078091652972,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
Dairy,Presence,0.999924513012569,0.8713972248557892,1.142888180279134,0.999924513012569,0.999772894412947,1.0015769211772,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/ED5J990H5VAZT.png,Animal
Dairy,Presence,45470124.4548545,0.31127936197185546,3372.569683038712,45470124.4548545,1.13167897639543,1.02563823479992,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/JHDN7CF1C03X5.png,Animal
Dairy,Presence,7.12050394880912,0.14424186793265464,9.29782265844173,7.12050394880912,1.01453212300332,1.04281900025207,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/dairy_p/dairy_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Egg,Count,1.02871691369722,0.9824527259281517,1.0737285876882185,1.02871691369722,1.0028119194371,1.00016169848942,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count/plots/ED5J990H5VAZT.png,Animal
Egg,Count,1.056547604269,1.023272604977607,1.0917760430422683,1.056547604269,1.00550376364742,1.00169102375439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_count/plots/W8T41JZK0ZMEP.png,Animal
Egg,Presence,1.1107995595459,0.8713825419362544,1.3989130958633018,1.1107995595459,1.00987529726604,1.00071507392661,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_presence/plots/ED5J990H5VAZT.png,Animal
Egg,Presence,1.75290163036036,0.12097201997518044,6.762397588308265,1.75290163036036,1.01078399076794,1.00288863213436,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/egg_p/egg_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal
Untextured,Count,1.09402283705018,1.0091315666671339,1.2170826504868468,1.09402283705018,1.0089143079404,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal
Untextured,Presence,1.09402283705018,1.0091315666671339,1.2170826504868468,1.09402283705018,1.0089143079404,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/a2_proportion_t/untextured_p/untextured_dishes_presence/plots/SRQS8F7JWA9MZ.png,Animal
