outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group
total,Level Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,Total
total,Slope Change,1,1,1,1,NA,NA,Pooled,POOLED,NA,Total
nonvegan,Level Change,0.9365652083970116,0.5762107561366104,1.5222804854614316,0.9365652083970116,1.00106356145795,1279.60284792116,Pooled,POOLED,NA,Animal
nonvegan,Slope Change,0.993512605860004,0.5968560106207558,1.6537779304193378,0.993512605860004,1.00038859036906,1582.7839629192,Pooled,POOLED,NA,Animal
meat,Level Change,0.8092104787474389,0.5378730768637814,1.2174277298517688,0.8092104787474389,1.69921625850374,696.747937932313,Pooled,POOLED,NA,Animal
meat,Slope Change,0.8504685628973783,0.4966023101158614,1.4564909621704754,0.8504685628973783,1.25259089992189,20.111373835968,Pooled,POOLED,NA,Animal
chicken_fish,Level Change,0.8561359653528303,0.5524416599693756,1.326780444493007,0.8561359653528303,1.13349842644907,18.8462203546077,Pooled,POOLED,NA,Animal
chicken_fish,Slope Change,1.2227964020288984,0.7373854215267055,2.0277469518166593,1.2227964020288984,1.03796914604619,50.9690407151888,Pooled,POOLED,NA,Animal
vegetarian,Level Change,0.9466229026306016,0.5975374135175562,1.4996465485059662,0.9466229026306016,1.22097268383495,11.7787782839776,Pooled,POOLED,NA,Plant-based
vegetarian,Slope Change,0.8941706556895953,0.6285449560489527,1.272050875282325,0.8941706556895953,1.01304501188119,33.1571399804258,Pooled,POOLED,NA,Plant-based
vegan,Level Change,1.0174204472637984,0.6145223334655349,1.6844698884626021,1.0174204472637984,1.04002359987779,15.3156264336368,Pooled,POOLED,NA,Plant-based
vegan,Slope Change,0.8880165119365486,0.6242189853965223,1.2632959649105022,0.8880165119365486,1.09873305935545,43.1107127184188,Pooled,POOLED,NA,Plant-based
nonvegan,Level Change,0.957148181808552,0.6338035977476704,1.4454519431493464,NA,1.00041769816751,NA,Restaurant,ED5J990H5VAZT,NA,Animal
nonvegan,Slope Change,1.4778373697240668,1.0965965832712865,1.99161963904519,NA,1.00016790920275,NA,Restaurant,ED5J990H5VAZT,NA,Animal
nonvegan,Level Change,0.9286806406487482,0.5987819588688844,1.4403368697763654,NA,1.00056035937867,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
nonvegan,Slope Change,1.630001673679903,0.5813248202436709,4.570431820003151,NA,1.00087237465095,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
meat,Level Change,0.9035004576402099,0.592791320744055,1.3770665129365516,NA,1.65822117395425,NA,Restaurant,ED5J990H5VAZT,NA,Animal
meat,Slope Change,1.455943247470683,1.108283441616927,1.9126612022307627,NA,1.67581496176827,NA,Restaurant,ED5J990H5VAZT,NA,Animal
meat,Level Change,0.7860512980437794,0.5155598072051054,1.1984577434495398,NA,1.6711183005503,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
meat,Slope Change,0.7699034153271131,0.2906520132401713,2.0393847003652152,NA,1.33462388637372,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
chicken_fish,Level Change,0.7890139874832816,0.504008724817988,1.2351831263815642,NA,1.0088915382774,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
chicken_fish,Slope Change,1.0534586847328997,0.6115752808395856,1.8146174889796796,NA,1.04211501681338,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal
chicken_fish,Level Change,0.6892747381268176,0.40711952060350787,1.1669783456109213,NA,1.01697154189077,NA,Restaurant,ED5J990H5VAZT,NA,Animal
chicken_fish,Slope Change,2.6716398908113086,1.5811207214158978,4.514304068940711,NA,1.02473886247667,NA,Restaurant,ED5J990H5VAZT,NA,Animal
chicken_fish,Level Change,0.7414062050052598,0.5077429609533147,1.0826012433303687,NA,1.02073195218763,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
chicken_fish,Slope Change,1.2767145186019162,1.0343431648453087,1.5758792801156059,NA,1.04603581350216,NA,Restaurant,JHDN7CF1C03X5,NA,Animal
chicken_fish,Level Change,0.7460231152854824,0.4021770592997179,1.3838444428166479,NA,1.0123472858801,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
chicken_fish,Slope Change,1.167221238745182,0.29795518771618895,4.572517869618596,NA,1.0132725330368,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal
chicken_fish,Level Change,0.8508944841426036,0.5860003101124494,1.235530784967286,NA,1.0038023420159,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal
