estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,n_restaurants,analysis,outcome_name
0.012846709074627934,0.18069202324265063,0.0710972672953921,0.9433203430512545,any_exposureTRUE,-0.3413096564809673,0.36700307463022314,pooled,66784,5836,4,A5,vegetarian
-3.453326101800898e-5,6.76367513973103e-5,-0.510569480416859,0.6096525510181512,vegan_price_real,-1.6710129375673715e-4,9.80347717207192e-5,pooled,66784,5836,4,A5,vegetarian
-0.001249513350254314,2.030067547944726e-4,-6.15503337078287,7.506168852740937e-10,vegetarian_price_real,-0.0016474065896514803,-8.516201108571479e-4,pooled,66784,5836,4,A5,vegetarian
-4.115655266212692e-4,2.446792240969709e-4,-1.6820615977519946,0.0925568960197503,meat_price_real,-8.911368058513321e-4,6.800575260879375e-5,pooled,66784,5836,4,A5,vegetarian
-0.047991419155672094,0.02727946540348131,-1.7592507201239946,0.07853493281038315,weekend,-0.10145917134649546,0.005476333035151271,pooled,66784,5836,4,A5,vegetarian
-0.08349227613178732,0.06017747690393799,-1.3874339774176145,0.1653094702954247,holiday_window,-0.20144013086350576,0.03445557859993113,pooled,66784,5836,4,A5,vegetarian
0.05549446955433139,0.04634689021202154,1.1973720200096,0.2311615844163509,month_cat2,-0.03534543526123082,0.1463343743698936,pooled,66784,5836,4,A5,vegetarian
-0.03501782207836796,0.125207579622506,-0.2796781327771432,0.7797244565958187,month_cat3,-0.2804246781384797,0.2103890339817438,pooled,66784,5836,4,A5,vegetarian
0.010018449394354829,0.10148891511491294,0.09871471562200887,0.9213647845587472,month_cat4,-0.1888998242308745,0.2089367230195842,pooled,66784,5836,4,A5,vegetarian
0.046299184673381066,0.10572884074727362,0.437904968465995,0.6614551737872439,month_cat5,-0.16092934319127522,0.25352771253803735,pooled,66784,5836,4,A5,vegetarian
0.0669361082676533,0.11138620907926942,0.6009371251697538,0.5478818648169397,month_cat6,-0.1513808615277148,0.28525307806302136,pooled,66784,5836,4,A5,vegetarian
0.1440678509452947,0.12968396622536077,1.1109149044295736,0.2666049794072212,month_cat7,-0.11011272285641241,0.39824842474700184,pooled,66784,5836,4,A5,vegetarian
0.16324066439800053,0.17108891283262595,0.9541276620168645,0.3400190254777775,month_cat8,-0.17209360475394633,0.4985749335499474,pooled,66784,5836,4,A5,vegetarian
0.1976407367681269,0.19049359956348896,1.037519041169968,0.29949402638465006,month_cat9,-0.17572671837631146,0.5710081919125652,pooled,66784,5836,4,A5,vegetarian
0.20002373606950752,0.2024370536650887,0.9880786765471613,0.3231141179766925,month_cat10,-0.19675288911406635,0.5968003612530814,pooled,66784,5836,4,A5,vegetarian
0.19993976574019706,0.2570003726159857,0.7779746142195305,0.43658397898607604,month_cat11,-0.3037809645871348,0.703660496067529,pooled,66784,5836,4,A5,vegetarian
0.27777135473059933,0.2536226579590053,1.0952150606965776,0.2734224290856163,month_cat12,-0.21932905486905102,0.7748717643302496,pooled,66784,5836,4,A5,vegetarian
