estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name,n_restaurants
-6.9594599225735205,10.963987558234061,-0.6347562769119433,0.5255873835215634,exposure_SRQS8F7JWA9MZ_1,-28.44887553671228,14.52995569156524,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
2.8289612472185826,9.786230565687925,0.28907567916265625,0.7725234646609972,exposure_SRQS8F7JWA9MZ_2,-16.35205066152975,22.009973155966915,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.0017481028256546834,0.001726767516691324,-1.0123556348825928,0.3113680427418883,vegan_price_real,-0.005132567158369679,0.0016363615070603117,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.0017817645967987492,0.0012276894725655907,-1.451315366478844,0.1466920643159608,vegetarian_price_real,-0.004188035963027307,6.245067694298084e-4,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.0019008610969776807,0.0017414344243729298,1.0915490531101442,0.2750313598139497,meat_price_real,-0.0015123503747932617,0.005314072568748623,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.13959147816312165,0.08757593270972495,-1.593947947158096,0.11094769405833681,weekend,-0.31124030627418253,0.03205734994793927,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.11675032003972234,0.08440923494341607,1.3831462886494137,0.16662001494532785,holiday_window,-0.048691780449373154,0.2821924205288178,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.04921883095164074,0.11101055482195427,0.4433707320045468,0.6574976021553797,month_cat2,-0.16836185649938962,0.2667995184026711,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.07708000206176133,0.16052728508410025,-0.48016760528516456,0.6311082195652011,month_cat3,-0.39171348082659785,0.23755347670307517,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.21962507538998577,0.23980743557294282,-0.9158393060884964,0.35975118426462216,month_cat4,-0.6896476491129537,0.25039749833298214,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.21559529291286053,0.3234682993937347,-0.6665113500053736,0.5050843114263923,month_cat5,-0.8495931597245806,0.4184025738988596,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.19337058793336537,0.4363108676718018,-0.44319452541993754,0.6576250383729076,month_cat6,-1.048539888570097,0.6617987127033662,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.067641201703898,0.5348944602913792,-0.12645709897061005,0.8993701064214048,month_cat7,-1.1160343438750013,0.9807519404672053,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.1408341786886441,0.611048459023756,-0.23047955789570007,0.8177191463789253,month_cat8,-1.3384891583752059,1.0568208009979179,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.06155825688668619,0.69863785928166,0.08811182513066274,0.9297877978414256,month_cat9,-1.3077719473053675,1.4308884610787398,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.07753273908485961,0.8295618646189576,0.09346227495700118,0.9255363186933926,month_cat10,-1.5484085155682972,1.7034739937380166,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.00485465287466259,0.8969939276777014,0.005412135717831653,0.9956817615508564,month_cat11,-1.753253445373632,1.7629627511229573,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.05706785334887329,0.9921783430314527,0.05751773736011108,0.9541327771279497,month_cat12,-1.887601698992774,2.0017374056905206,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.12262392483947983,2.1549079697154547,0.05690448342240422,0.9546212828477527,year_cat2020,-4.100995695802812,4.346243545481771,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
-0.1890074948165157,1.1137650906837582,-0.16970139969145645,0.8652449732449645,year_cat2021,-2.3719870725566814,1.9939720829236502,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
0.002253927951287671,0.003271440533197778,0.6889710903852176,0.49084146048247607,date_code,-0.004158095493779974,0.008665951396355316,SRQS8F7JWA9MZ,31899,2041,A5,vegetarian,NA
