estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
17.918705864902016,11.674989020712832,1.5347942369035277,0.12483437887799247,exposure_ED5J990H5VAZT_1,-4.964272615695137,40.80168434549917,ED5J990H5VAZT,16649,1359,A5,vegan
-0.0011485993534958612,2.906988905185865e-4,-3.9511652467845346,7.777159952358373e-5,vegan_price_real,-0.0017183691789122908,-5.788295280794317e-4,ED5J990H5VAZT,16649,1359,A5,vegan
5.851561138163937e-4,6.367123133942002e-4,0.9190274814963612,0.35808119809457656,vegetarian_price_real,-6.628000204362387e-4,0.001833112248069026,ED5J990H5VAZT,16649,1359,A5,vegan
-7.720734683707292e-4,4.4816396097325335e-4,-1.7227477789469263,0.08493414600024421,meat_price_real,-0.0016504748318783057,1.0632789513684738e-4,ED5J990H5VAZT,16649,1359,A5,vegan
0.19745055697553338,0.1983285565101148,0.9955730049669542,0.3194576564498143,weekend,-0.19127341378429163,0.5861745277353584,ED5J990H5VAZT,16649,1359,A5,vegan
0.081871435114474575,0.17895438723735366,0.45749889890034123,0.6473124935453627,holiday_window,-0.26887916387073857,0.43262203409968775,ED5J990H5VAZT,16649,1359,A5,vegan
0.03445168550025969,0.30697598520859704,0.11222925297185381,0.9106416351676063,month_cat2,-0.5672212455085905,0.6361246165091099,ED5J990H5VAZT,16649,1359,A5,vegan
-0.34292114654716477,0.3765158447042394,-0.9107748090031539,0.36241403810511363,month_cat3,-1.0808922021674738,0.3950499090731444,ED5J990H5VAZT,16649,1359,A5,vegan
-0.6201247283155857,0.5561659329376992,-1.1149994841288688,0.2648506427903912,month_cat4,-1.710209956873476,0.4699605002423046,ED5J990H5VAZT,16649,1359,A5,vegan
-1.4957867441637203,0.7579931621584746,-1.9733512369746078,0.04845555916449968,month_cat5,-2.9814533419943303,-0.010120146333110203,ED5J990H5VAZT,16649,1359,A5,vegan
-2.0256134548513165,0.9621554918402542,-2.1052870061335445,0.03526633250419851,month_cat6,-3.9114382188582146,-0.13978869084441836,ED5J990H5VAZT,16649,1359,A5,vegan
-2.208696599687626,1.2133280069285657,-1.8203623315996385,0.06870384485413043,month_cat7,-4.5868194932676145,0.16942629389236252,ED5J990H5VAZT,16649,1359,A5,vegan
-2.494580578674958,1.3347875176665511,-1.8688971432965855,0.0616371258464378,month_cat8,-5.110764113301398,0.12160295595148218,ED5J990H5VAZT,16649,1359,A5,vegan
-3.211314430435232,1.6019062576014262,-2.0046831175025264,0.04499693449030188,month_cat9,-6.3510506953340276,-0.0715781655364367,ED5J990H5VAZT,16649,1359,A5,vegan
-3.614533240212546,1.7813204989402671,-2.029131333953033,0.04244491516720303,month_cat10,-7.10592141813547,-0.12314506228962241,ED5J990H5VAZT,16649,1359,A5,vegan
-3.7461698064678197,1.9093791789984627,-1.9619831658753182,0.04976444418821989,month_cat11,-7.488552997304806,-0.0037866156308328236,ED5J990H5VAZT,16649,1359,A5,vegan
-4.344299792542497,2.0855787679072453,-2.0830188048479914,0.0372495095090025,month_cat12,-8.432034177640698,-0.25656540744429623,ED5J990H5VAZT,16649,1359,A5,vegan
36.07849806270684,15.619272537337878,2.309870576652093,0.02089532047727503,year_cat2016,5.464723889524603,66.69227223588908,ED5J990H5VAZT,16649,1359,A5,vegan
30.827665804968188,13.523685571424918,2.2795313926926832,0.022635496038895073,year_cat2017,4.321242084975349,57.33408952496103,ED5J990H5VAZT,16649,1359,A5,vegan
25.46834343251808,11.293270541891943,2.2551787224121003,0.024122112926453897,year_cat2018,3.333533170409872,47.603153694626286,ED5J990H5VAZT,16649,1359,A5,vegan
20.94453417277467,9.006067085827421,2.3256027268256148,0.020039753981653256,year_cat2019,3.2926426845529235,38.59642566099642,ED5J990H5VAZT,16649,1359,A5,vegan
15.580846653165665,6.701693839733506,2.324911735118183,0.020076680352866055,year_cat2020,2.4455267272879926,28.71616657904334,ED5J990H5VAZT,16649,1359,A5,vegan
9.923693949511293,4.376589901843651,2.2674488979035727,0.023362817283308076,year_cat2021,1.3455777418977366,18.50181015712485,ED5J990H5VAZT,16649,1359,A5,vegan
4.984445324163562,2.2360325559025975,2.229147026954417,0.02580412379964203,year_cat2022,0.6018215145944703,9.367069133732652,ED5J990H5VAZT,16649,1359,A5,vegan
0.009261305254098438,0.005193831098859514,1.7831356233613525,0.07456422878591284,date_code,-9.186036996662091e-4,0.019441214207863086,ED5J990H5VAZT,16649,1359,A5,vegan
-0.02866778625511439,0.18893294100712923,-0.15173524586182477,0.8793957568491199,day_of_week_cat1,-0.3989763506290877,0.3416407781188589,ED5J990H5VAZT,16649,1359,A5,vegan
