estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name,n_restaurants
0.16822613321368618,2.7696156370585867,0.060739884250634604,0.9515663672651913,exposure_SRQS8F7JWA9MZ_1,-5.260220515421143,5.596672781848516,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
1.205990146172976,2.746248960077646,0.4391408658517539,0.6605594697571463,exposure_SRQS8F7JWA9MZ_2,-4.17665781557921,6.588638107925162,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
6.17955723772945e-4,6.866853199954333e-4,0.8999110739356634,0.368167576415355,vegan_price_real,-7.279475034181042e-4,0.0019638589509639944,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
4.82484036324678e-4,3.728892722257361e-4,1.2939069913295775,0.19569754930966582,vegetarian_price_real,-2.483789372377648e-4,0.0012133470098871207,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-8.091893510769852e-4,5.368267986040692e-4,-1.5073564754612672,0.13171930878683294,meat_price_real,-0.0018613698763409606,2.4299117418699037e-4,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.03788669356392439,0.023518548577827172,1.6109282185739653,0.10719536870268803,weekend,-0.008209661648616862,0.08398304877646565,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.029226772701992733,0.02744633830971254,-1.0648696511785742,0.28693492044467916,holiday_window,-0.08302159578902932,0.024568050385043845,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.01309668839894834,0.033705326464941315,-0.38856435384392124,0.6975984400705993,month_cat2,-0.07915912827023332,0.052965751472336633,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.028464426032412282,0.04178540498458812,0.6812049815697834,0.49574179635546833,month_cat3,-0.05343496773738042,0.11036381980220498,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.06040114746682127,0.05772057249293043,1.0464405472454237,0.2953576805032301,month_cat4,-0.05273117461932237,0.17353346955296492,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.05286964199571428,0.07902069067484267,0.6690607427523543,0.503456730875009,month_cat5,-0.10201091172697735,0.20775019571840592,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.06136934379272307,0.10423725862374905,0.5887467168936165,0.5560311940934343,month_cat6,-0.14293568310982507,0.2656743706952712,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.011751947712529041,0.1289791439772453,0.09111510086159619,0.9274011338021118,month_cat7,-0.24104717448287175,0.2645510699079298,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.01839241657232126,0.147207401263217,0.12494220001502745,0.9005693093297668,month_cat8,-0.270134089903584,0.30691892304822654,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.06629153888228018,0.17567796938197824,-0.3773469098913699,0.7059158152993443,month_cat9,-0.41062035887095755,0.2780372811063972,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.08060650212209694,0.20516036095707843,-0.39289510773945563,0.6943969550835816,month_cat10,-0.4827208095979707,0.32150780535377677,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.047932323934983125,0.21864839573237163,-0.21922101817592518,0.8264778835308226,month_cat11,-0.4764831795704315,0.3806185317004652,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.05528133798039663,0.23904592999439817,-0.23125822716032898,0.8171141969945338,month_cat12,-0.523811360769417,0.41324868480862376,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.07471518195622492,0.5201213494785839,0.14364951954217242,0.8857772352012581,year_cat2020,-0.9447226630217994,1.0941530269342492,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.10543258099796521,0.2717952057530949,0.38791184968046355,0.6980812686779215,year_cat2021,-0.4272860222781008,0.6381511842740313,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-6.972211444660906e-4,7.212386059201982e-4,-0.966699700685788,0.3336941767908447,date_code,-0.002110848812069679,7.164065231374977e-4,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.014452059287568412,0.02227510635760452,0.6487986658988324,0.5164685198973223,day_of_week_cat1,-0.029207149173336444,0.058111267748473264,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.003363584562052195,0.022534964328695763,-0.14926070052700485,0.8813479242716815,day_of_week_cat2,-0.047532114646295885,0.0408049455221915,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.02169767873365807,0.021485399691605626,1.0098801532714974,0.31255271234839255,day_of_week_cat3,-0.020413704661888958,0.06380906212920509,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.04167738701970433,0.019078281883054424,2.184546138650081,0.028922140808835643,day_of_week_cat4,0.004283954528917659,0.079070819510491,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.027266156106987138,0.029215088795540987,0.9332902014368921,0.3506701529246893,day_of_week_cat5,-0.029995417932273196,0.08452773014624747,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.024779977675558708,0.012579667571346188,1.9698436015910497,0.0488562977647872,inflation,1.238292357201784e-4,0.04943612611539724,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-6.848935909853593e-5,0.0011436527233166644,-0.0598865002480058,0.9522460318383238,exposure_SRQS8F7JWA9MZ_1:date_code,-0.002310048696799198,0.0021730699786021265,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-4.84399500954761e-4,0.001114151929785816,-0.4347697006169363,0.6637295999620434,exposure_SRQS8F7JWA9MZ_2:date_code,-0.00266813728333496,0.001699338281425438,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.02851634719234429,0.040729823252348585,-0.7001343221075718,0.4838434231770933,exposure_SRQS8F7JWA9MZ_1:gendermale,-0.10834680076694751,0.05131410638225893,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
0.07487455978351039,0.033160353381060013,2.2579542178906937,0.023948513863446232,exposure_SRQS8F7JWA9MZ_2:gendermale,0.00988026715663276,0.13986885241038802,SRQS8F7JWA9MZ,31899,2041,A5,meat,NA
-0.6499325839157626,0.9758072789026145,-0.6660460502474135,0.5053816664610866,exposure_2HRX9P6HKXA8V_1,-2.562514850564887,1.262649682733362,2HRX9P6HKXA8V,13271,1964,A5,meat,NA
-8.224787757959901e-5,1.3789082392001267e-4,-0.5964709996026214,0.5508606218373779,vegan_price_real,-3.5251389246282385e-4,1.880181373036258e-4,2HRX9P6HKXA8V,13271,1964,A5,meat,NA
-7.325091526261128e-5,3.5573470362423447e-4,-0.20591444836932984,0.8368577391291061,vegetarian_price_real,-7.704909343661108e-4,6.239891038408882e-4,2HRX9P6HKXA8V,13271,1964,A5,meat,NA
0.002825737149218952,3.5698813347231223e-4,7.915493217474452,2.4627482214852337e-15,meat_price_real,0.00212604040761322,0.0035254338908246837,2HRX9P6HKXA8V,13271,1964,A5,meat,NA
-0.02509736371564571,0.027182923932544817,-0.9232768254778447,0.3558629616137921,weekend,-0.07837589462343356,0.028181167192142132,2HRX9P6HKXA8V,13271,1964,A5,meat,NA
