estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
8.683076343147782,4.6794467719230894,1.8555775428938879,0.06351379709363206,exposure_2HRX9P6HKXA8V_1,-0.4886393298214724,17.854792016117038,2HRX9P6HKXA8V,13271,1964,A5,vegan
-7.375774848848616e-4,5.712532005581234e-4,-1.2911568533257,0.19664929307662452,vegan_price_real,-0.0018572337579787833,3.820787882090601e-4,2HRX9P6HKXA8V,13271,1964,A5,vegan
9.730573299263675e-4,0.0012520425714743712,0.7771759140589938,0.43705499052762503,vegetarian_price_real,-0.0014809461101633998,0.003427060770016135,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.0033294578602092633,0.001237021578239045,-2.6915115457798997,0.00711290362317835,meat_price_real,-0.005754020153557792,-9.048955668607352e-4,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.15183338226906615,0.13643012091812814,-1.1129022040534693,0.26575043335657067,weekend,-0.41923641926859734,0.11556965473046502,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.7187783889743272,0.36262183960974775,-1.9821707091549527,0.04746013777563377,holiday_window,-1.4295171946094327,-0.008039583339221612,2HRX9P6HKXA8V,13271,1964,A5,vegan
0.08070320986449087,0.24892070098082408,0.3242125285140826,0.7457771375583268,month_cat2,-0.4071813640579243,0.568587783786906,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.4863342933239703,0.36475860700466,-1.3333045032649693,0.1824318964768284,month_cat3,-1.2012611630531038,0.22859257640516323,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.3214889527185544,0.47803129041022074,-0.6725270064281145,0.501248253242162,month_cat4,-1.258430281922587,0.6154523764854782,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.13112060808415707,0.656271418937743,-0.1997963103381709,0.8416398870737611,month_cat5,-1.4174125892021334,1.1551713730338191,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.2351290410149074,0.8294038795821165,-0.28349160982147065,0.7768000123751284,month_cat6,-1.8607606449958556,1.3905025629660408,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.37006763351429356,0.991208187438959,-0.37335005723717674,0.7088879250322209,month_cat7,-2.3128356808946533,1.572700413866066,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.38958374232350224,1.168462617696705,-0.33341566638345427,0.7388205389919152,month_cat8,-2.679770473009044,1.9006029883620394,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.6303777366837108,1.3043358267410656,-0.4832940441870207,0.6288869683076068,month_cat9,-3.1868759570961993,1.926120483728778,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.6076139827911794,1.4848600020665772,-0.40920624297612107,0.6823883132825996,month_cat10,-3.5179395868416705,2.302711621259312,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.7484084221630491,1.6059318788062367,-0.466027502187313,0.6411958149072883,month_cat11,-3.8960349046232734,2.3992180602971747,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.9732173195584783,1.773204475082903,-0.5488466407761448,0.5831106992794148,month_cat12,-4.448698090720969,2.5022634516040116,2HRX9P6HKXA8V,13271,1964,A5,vegan
2.613545448358571,5.796952180721576,0.4508481986534603,0.6520989603861507,year_cat2019,-8.748480825855719,13.975571722572859,2HRX9P6HKXA8V,13271,1964,A5,vegan
1.7323013306910913,3.9812999996345435,0.43510946948235624,0.6634829702670877,year_cat2020,-6.071046668592614,9.535649329974797,2HRX9P6HKXA8V,13271,1964,A5,vegan
0.6865624339152632,2.0648000534948197,0.33250795046871867,0.7395057372980061,year_cat2021,-3.360445670934583,4.733570538765109,2HRX9P6HKXA8V,13271,1964,A5,vegan
0.0073056735398646395,0.004885215547926928,1.495465956044631,0.1347928783536905,date_code,-0.0022693489340721382,0.01688069601380142,2HRX9P6HKXA8V,13271,1964,A5,vegan
0.21395742632924586,0.15573271597943852,1.3738759064440562,0.1694802106685385,day_of_week_cat1,-0.09127869699045366,0.5191935496489454,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.19385067445544912,0.13636800847619868,-1.4215260354798194,0.1551638901858765,day_of_week_cat2,-0.46113197106879855,0.0734306221579003,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.14637525970309748,0.1410208168735217,-1.0379691661719563,0.2992844103266645,day_of_week_cat3,-0.4227760607752,0.13002554136900504,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.1773143743482311,0.16234561657225707,-1.092203030128083,0.2747438709240331,day_of_week_cat4,-0.495511782829855,0.14088303413339276,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.14304360428180055,0.14610562415527753,-0.9790424229650274,0.32755901863948694,day_of_week_cat5,-0.42941062762614446,0.1433234190625434,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.009081683045172352,0.050551709109356135,-0.17965135512087976,0.8574262849642258,inflation,-0.10816303289951038,0.08999966680916568,2HRX9P6HKXA8V,13271,1964,A5,vegan
-0.004446046888381451,0.002379495882358012,-1.8684826989385444,0.061694819454085136,exposure_2HRX9P6HKXA8V_1:date_code,-0.009109858817803154,2.177650410402519e-4,2HRX9P6HKXA8V,13271,1964,A5,vegan
0.1656743604346755,0.14621883036026204,1.1330576234707792,0.25719005551999036,exposure_2HRX9P6HKXA8V_1:gendermale,-0.12091454707143809,0.4522632679407891,2HRX9P6HKXA8V,13271,1964,A5,vegan
