estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,n_restaurants,analysis,outcome_name
-0.010816336133840435,0.019431434011082414,-0.5566411685144548,0.5777726200535276,any_exposureTRUE,-0.048901946795561965,0.027269274527881096,pooled,66784,5836,4,A5,nonvegan
6.727348232418158e-5,1.1489177239562299e-5,5.855378581203303,4.7592462087967595e-9,vegan_price_real,4.475469493463947e-5,8.979226971372368e-5,pooled,66784,5836,4,A5,nonvegan
7.121686423364765e-6,1.662397180244918e-5,0.428398610632601,0.6683609360412517,vegetarian_price_real,-2.546129830943563e-5,3.970467115616516e-5,pooled,66784,5836,4,A5,nonvegan
1.002519077191283e-4,5.098273225502851e-5,1.9663894672738,0.04925363917031869,meat_price_real,3.257524992724152e-7,2.0017806293898418e-4,pooled,66784,5836,4,A5,nonvegan
-0.0019095892439400814,0.010515547103969564,-0.1815967562181545,0.8558991946863591,weekend,-0.022520061567720427,0.01870088307984026,pooled,66784,5836,4,A5,nonvegan
0.007282330536517857,0.012130248862039643,0.600344693611947,0.5482765384741232,holiday_window,-0.01649295723307984,0.031057618306115555,pooled,66784,5836,4,A5,nonvegan
-0.015395304558806925,0.009445149375377295,-1.6299694104299907,0.10310796223663139,month_cat2,-0.03390779733454642,0.0031171882169325742,pooled,66784,5836,4,A5,nonvegan
-0.006802805311788151,0.01721094828492123,-0.3952603423803319,0.6926507637162626,month_cat3,-0.04053626395023376,0.026930653326657457,pooled,66784,5836,4,A5,nonvegan
-0.02414969313572845,0.030379977534808093,-0.7949213625342136,0.42665924683863704,month_cat4,-0.08369444910395231,0.03539506283249541,pooled,66784,5836,4,A5,nonvegan
-0.026853724265592408,0.04848475375837895,-0.553859145070973,0.5796752470792087,month_cat5,-0.12188384163201514,0.06817639310083033,pooled,66784,5836,4,A5,nonvegan
-0.017818170030704707,0.05539694873582733,-0.32164533313332133,0.7477213964379233,month_cat6,-0.12639618955292628,0.09075984949151686,pooled,66784,5836,4,A5,nonvegan
-0.023273674936393325,0.06239593665366094,-0.3729998487814638,0.7091485565068959,month_cat7,-0.14556971077756875,0.09902236090478211,pooled,66784,5836,4,A5,nonvegan
-0.0270545802975135,0.07149792551341924,-0.3783967171528033,0.705135906553738,month_cat8,-0.1671905143038152,0.11308135370878819,pooled,66784,5836,4,A5,nonvegan
-0.018798568785310558,0.08596529078417083,-0.21867626589558425,0.8269022386039958,month_cat9,-0.18729053872228538,0.14969340115166427,pooled,66784,5836,4,A5,nonvegan
-0.013477059522140459,0.09500372287059794,-0.1418582252876259,0.8871919919229069,month_cat10,-0.19968435634851242,0.1727302373042315,pooled,66784,5836,4,A5,nonvegan
-0.01720884224859485,0.09496048699617486,-0.18122108250443206,0.8561940471263135,month_cat11,-0.20333139676109757,0.1689137122639079,pooled,66784,5836,4,A5,nonvegan
-0.021239941332918257,0.116450947188984,-0.18239389069501283,0.8552736199119142,month_cat12,-0.24948379782332689,0.20700391515749036,pooled,66784,5836,4,A5,nonvegan
