outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
chicken_fish,mpbamod,count,0.0417911792675107,1.0426767234984984,1.0041878626175282,-0.018348393175,0.102229662,1.00063852885335,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Animal,17,NA,0.5
chicken_fish,mpbamod,proportion,-0.296585157438933,0.7433523225886941,0.9707769820086186,-1.5402753275,0.88338295725,1.00312560585915,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Animal,17,NA,0.5
chicken_fish,vegan,count,0.0594293639925613,1.0612307972255104,1.0059606306804085,-0.0099739461,0.13119558375,1.00316881478204,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegan_dishes_count/plots/all_restaurants_weekly.png,Animal,17,NA,0.5
chicken_fish,vegan,proportion,0.04728119873877,1.048416781109505,1.0047393150697699,-1.12666873,1.2346919075,1.00278823757493,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegan_dishes_prop/plots/all_restaurants_weekly.png,Animal,17,NA,0.5
chicken_fish,vegetarian,count,0.0177810807192882,1.0179401052796369,1.0017796898434679,-0.016832565775,0.051847004675,1.00137997375096,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,17,NA,0.5
chicken_fish,vegetarian,proportion,-1.38474127822753,0.25038857238754875,0.8706857775144758,-2.328760435,-0.310028984,1.00540853581113,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,17,NA,0.5
vegetarian,mpbamod,count,0.0334153247142725,1.033979887476997,1.0033471216147567,-0.02743224,0.093428195,1.00986550584983,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegetarian,mpbamod,proportion,-0.16873037840945,0.844736631918684,0.9832685146039457,-1.208193,0.968256275000001,1.02611729398468,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegetarian,vegan,count,0.0941738831475,1.098750783552142,1.0094618714447339,0.0425030775,0.151088825,1.00211710872981,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegetarian,vegan,proportion,0.858792870625,2.360309774075181,1.0896747825217317,0.2906034,1.4443625,1.00214940861979,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegetarian,vegetarian,count,0.052185935187425,1.0535716203392038,1.0052322340957858,0.011947155,0.08822107,1.04278265808056,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegetarian,vegetarian,proportion,0.809491516764,2.246765253704077,1.0843157595263342,0.13338,1.45263575,1.01601935396981,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegan,mpbamod,count,0.0504940597854,1.0517906154744763,1.0050621757130522,-0.0227481925,0.13052015,1.0216551946903,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegan,mpbamod,proportion,0.01866406673325,1.0188393290982527,1.0018681494943624,-1.3139525,1.45938,1.010702546537,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegan,vegan,count,0.13091625571025,1.1398723195170524,1.0131776960919556,0.0528452075,0.21905135,1.0050888444834,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,17,NA,0.5
vegan,vegan,proportion,1.2959158723925,3.654341352295015,1.1383633662464858,0.271413325,2.23939925,1.00467684333929,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,17,NA,0.5
vegan,vegetarian,count,0.053477145876725,1.0549328819259574,1.0053620391364777,0.0067505055,0.10112505,1.01591069401392,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
vegan,vegetarian,proportion,0.308482515399375,1.3613577065436948,1.0313289894254458,-0.44347015,1.084494,1.00386486160666,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,18,NA,0.5
total,mpbamod,count,0.03922071315328133,NA,1.0043302516519665,-0.01005033585350145,0.08617769624105241,1.59116526788564,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/1SQPTEGYPH0GA.png,Total,18,8,0.5
total,mpbamod,count,-0.11653381625595151,NA,0.988131040071775,-0.2484613592984996,-0.01005033585350145,1.65856673624036,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/2HRX9P6HKXA8V.png,Total,18,17,0.5
total,mpbamod,count,-0.11653381625595151,NA,0.9881301516730766,-0.18632957819149348,-0.06187540371808753,1.62907253237125,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/78AY09MVJVTYE.png,Total,18,18,0.5
total,mpbamod,count,0.06765864847381486,NA,1.0063958146158936,0.03922071315328133,0.0769610411361284,1.17697098574188,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/9XKJD8DQTH559.png,Total,18,5,0.5
total,mpbamod,count,0,NA,0.9997430770247508,-0.08338160893905101,0.11332868530700327,1.32167850122499,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/C0BE4NDSW26QN.png,Total,18,13,0.5
total,mpbamod,count,-0.07257069283483537,NA,0.9930470433118397,-0.11653381625595151,-0.020202707317519466,1.64128674716985,Restaurant,CB2KHY1C2G9PT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/CB2KHY1C2G9PT.png,Total,18,16,0.5
total,mpbamod,count,0.009950330853168092,NA,1.0014604693146836,0.009950330853168092,0.02955880224154443,1.20118356669631,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Total,18,11,0.5
total,mpbamod,count,0.12221763272424911,NA,1.0121908551772036,0.03922071315328133,0.25464221837358075,1.21544206194613,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/EMBVNVD207CC6.png,Total,18,2,0.5
total,mpbamod,count,0.009950330853168092,NA,1.0011748889732146,-0.020202707317519466,0.02955880224154443,1.24672943485175,Restaurant,JHDN7CF1C03X5,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Total,18,12,0.5
total,mpbamod,count,0.06765864847381486,NA,1.0063180210344824,-0.01005033585350145,0.19885085874516517,1.34774231187766,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Total,18,6,0.5
total,mpbamod,count,0,NA,0.9998124565230805,-0.07257069283483537,0.058268908123975824,1.63819680013331,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/LBZEEFSBJNB3Z.png,Total,18,14,0.5
total,mpbamod,count,0.06765864847381486,NA,1.0064631350833055,-0.13926206733350766,0.23111172096338664,1.2463616251904,Restaurant,LFZFT3VASXPED,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/LFZFT3VASXPED.png,Total,18,7,0.5
total,mpbamod,count,0.11332868530700327,NA,1.0113434727219683,0,0.26236426446749106,1.63303274572844,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/LQ5EH4BKGV61T.png,Total,18,3,0.5
total,mpbamod,count,0.01980262729617973,NA,1.002313631999125,-0.07257069283483537,0.11332868530700327,1.69725171791103,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/S8MT0YGD2KTN9.png,Total,18,9,0.5
total,mpbamod,count,0.09531017980432493,NA,1.0096783297243201,-0.07257069283483537,0.25464221837358075,1.69598343930146,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/SAFK7ND1HR6XS.png,Total,18,4,0.5
total,mpbamod,count,0.13976194237515863,NA,1.0141249343397096,0.08617769624105241,0.1823215567939546,1.65682975187264,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Total,18,1,0.5
total,mpbamod,count,-0.030459207484708574,NA,0.9966901015872242,-0.06187540371808753,0,1.29787029822437,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/V3Q26BHF3SE2H.png,Total,18,15,0.5
total,mpbamod,count,0.01980262729617973,NA,1.0023966263877915,0,0.03922071315328133,1.43619125778973,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Total,18,10,0.5
total,mpbamod,proportion,-2.8134107167600364,NA,0.750458958500501,-4.605170185988091,-1.171182981502945,1.00239108893486,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/1SQPTEGYPH0GA.png,Total,18,14,0.5
total,mpbamod,proportion,-3.506557897319982,NA,0.7030991812761228,-Inf,-0.579818495252942,1.00440493350564,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Total,18,16,0.5
