outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
Chicken,Count,0.06765864847381486,NA,1.0070030404432897,0.02955880224154443,0.11332868530700327,1.00956633619886,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/JHDN7CF1C03X5.png,Animal,6,5,0.15
Chicken,Count,0.08617769624105241,NA,1.008966647789088,-0.21072103131565253,0.4574248470388755,1.00653392794671,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal,6,3,0.15
Chicken,Count,0.08617769624105241,NA,1.0085957762184063,-0.19845093872383832,0.3987761199573678,1.00668170885033,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/SAFK7ND1HR6XS.png,Animal,6,4,0.15
Chicken,Count,0,NA,0.9996182912266415,-0.11653381625595151,0.09531017980432493,1.01488973839625,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/V3Q26BHF3SE2H.png,Animal,6,6,0.15
Chicken,Count,0.12221763272424911,NA,1.0121738228426382,0.04879016416943205,0.20701416938432612,1.00062586347506,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,6,1,0.15
Chicken,Presence,3.8264651170664994,NA,1.4661586667321507,2.0918640616783932,5.654627243858056,1.00269507172095,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/9XKJD8DQTH559.png,Animal,6,1,0.15
Chicken,Presence,3.007166651179654,NA,1.3508459614782269,-0.18632957819149348,6.877739272238541,1.00091031322187,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/JHDN7CF1C03X5.png,Animal,6,2,0.15
Chicken,Presence,2.065596134857783,NA,1.2293994987804728,-1.0216512475319814,5.683681802949198,1.00103355268897,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/LBZEEFSBJNB3Z.png,Animal,6,5,0.15
Chicken,Presence,2.2607208888953467,NA,1.253605544879529,-1.0788096613719298,5.817349226861126,1.00079612300322,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/SAFK7ND1HR6XS.png,Animal,6,3,0.15
Chicken,Presence,2.196112848483529,NA,1.2455917393273728,1.1474024528375417,3.4085039568445934,1.00213318173367,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/V3Q26BHF3SE2H.png,Animal,6,4,0.15
