outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
Untextured,Count,0.12221763272424911,NA,1.0119342638974724,0.02955880224154443,0.22314355131420976,1.00135910228468,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/JHDN7CF1C03X5.png,Animal,12,9,0.15
Untextured,Count,0.4054651081081644,NA,1.0417091856879557,-0.10536051565782628,1.541159071680806,1.01468052397313,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/LFZFT3VASXPED.png,Animal,12,2,0.15
Untextured,Count,0.22314355131420976,NA,1.0225707821214414,-0.10536051565782628,0.7839015438284094,1.01464297322953,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/LQ5EH4BKGV61T.png,Animal,12,5,0.15
Untextured,Count,0.11332868530700327,NA,1.0111678975890661,-0.01005033585350145,0.23111172096338664,1.00045313832555,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/S8MT0YGD2KTN9.png,Animal,12,10,0.15
Untextured,Count,0.3148107398400336,NA,1.0318295044786636,-0.2744368457017603,1.4816045409242156,1.01086721974932,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/SAFK7ND1HR6XS.png,Animal,12,4,0.15
Untextured,Count,0.16551443847757333,NA,1.0169054186665858,0.06765864847381486,0.2700271372130602,1.00126469788833,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,12,8,0.15
Untextured,Count,0.371563556432483,NA,1.0376368097168727,0.23901690047049992,0.5128236264286637,1.00450635504269,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,12,3,0.15
Untextured,Presence,3.248434627109745,NA,1.383827711680739,2.540814281726296,4.074141854904581,1.00018595032768,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/1SQPTEGYPH0GA.png,Animal,12,3,0.15
Untextured,Presence,0.9400072584914712,NA,1.0983921635211682,-0.527632742082372,2.73696154459663,1.00157341336767,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/9XKJD8DQTH559.png,Animal,12,10,0.15
Untextured,Presence,1.5769147207285403,NA,1.170745022616696,-0.7985076962177716,3.9693480720474157,1.00409260443102,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/C0BE4NDSW26QN.png,Animal,12,7,0.15
Untextured,Presence,0.9707789171582248,NA,1.1019982803719723,-1.8971199848858813,3.4553698605505483,1.00303353611257,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/CB2KHY1C2G9PT.png,Animal,12,9,0.15
Untextured,Presence,4.336506119372072,NA,1.5428799201097725,2.4997952622817508,6.586585362369367,1.0028754680885,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/EMBVNVD207CC6.png,Animal,12,1,0.15
Untextured,Presence,2.155244505095337,NA,1.2405029149304665,0.6523251860396901,3.940999113664663,1.0004907514927,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/JHDN7CF1C03X5.png,Animal,12,5,0.15
Untextured,Presence,2.647592232065096,NA,1.3031518214595348,0.0769610411361284,5.247865823051939,1.0078084881666,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/LFZFT3VASXPED.png,Animal,12,4,0.15
Untextured,Presence,0.6830968447064438,NA,1.070713995825222,-0.2613647641344075,1.7884205679625405,1.00539214347436,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/LQ5EH4BKGV61T.png,Animal,12,11,0.15
Untextured,Presence,3.5953926110204724,NA,1.4326705476911255,2.4915511925066687,4.96501011606998,1.00103396956505,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/S8MT0YGD2KTN9.png,Animal,12,2,0.15
Untextured,Presence,2.012232791986386,NA,1.2229697721079436,-0.4780358009429998,4.572646994282532,1.00574609134971,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/SAFK7ND1HR6XS.png,Animal,12,6,0.15
Untextured,Presence,0.14842000511827322,NA,1.015325428018466,0.04879016416943205,0.25464221837358075,1.00186036082605,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/SRQS8F7JWA9MZ.png,Animal,12,12,0.15
Untextured,Presence,1.252762968495368,NA,1.1335964518250825,0.8712933659434193,1.6789639750827108,1.00212598892709,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/W8T41JZK0ZMEP.png,Animal,12,8,0.15
