outcome,exposure_group,exposure_type,mean,q5,q95,rhat,color_group
total,mpbamod,Count,0.9451816219551971,0.7657059195447261,1.1624021117642949,1.0030038907063523,Total
total,mpbamod,Proportion,0.9274977788581686,0.8321022492323739,1.0326876730484165,1.0031043375165287,Total
total,vegan,Count,1.2238701706709478,0.9302770816046603,1.621083657505161,1.0025560683454244,Total
total,vegan,Proportion,1.0765454099112668,0.9742074405877788,1.1765836177848747,1.0033492907196366,Total
total,vegetarian,Count,1.0353422109873929,0.9644371471612934,1.1021001314636103,1.0015383510649216,Total
total,vegetarian,Proportion,1.0090138382168288,0.9244176012814876,1.096117296331905,1.0044196380904333,Total
nonvegan,mpbamod,Count,0.937472677406377,0.7242441642579528,1.1693898300537418,1.0128380748906831,Animal
nonvegan,mpbamod,Proportion,0.924907503349471,0.8258118218494134,1.0326095376917286,1.003939317329159,Animal
nonvegan,vegan,Count,1.205272591480005,0.8991184910730196,1.5679646076159957,1.0205838213354008,Animal
nonvegan,vegan,Proportion,1.0555866141316264,0.9614995230512188,1.150126803258952,1.002108533130963,Animal
nonvegan,vegetarian,Count,1.041766913469015,0.9596495915061113,1.129358926437888,1.0055064666233333,Animal
nonvegan,vegetarian,Proportion,0.9841947044487483,0.8946996979749076,1.0760541115287743,1.0039768960785953,Animal
meat,mpbamod,Count,0.981652220596333,0.9000636463424136,1.0335431855553794,1.0027696783020754,Animal
meat,mpbamod,Proportion,0.9399949107570077,0.8583298180813503,1.0301601596919219,1.0010525751005244,Animal
meat,vegan,Count,1.186706971539757,0.923280971171033,1.557088373387539,1.0034199247267381,Animal
meat,vegan,Proportion,1.0200137661704716,0.9229235690540668,1.1239071035851003,1.007930620374153,Animal
meat,vegetarian,Count,1.0317646939475995,0.9720829584150632,1.0955835350012468,1.0109756932823417,Animal
meat,vegetarian,Proportion,0.9335274654900352,0.840963853763534,1.0409205074524703,1.0034227667368416,Animal
chicken_fish,mpbamod,Count,1.0110410324182162,0.9469782436787857,1.079516628775518,1.0016298845381857,Animal
chicken_fish,mpbamod,Proportion,0.9067105005931366,0.8151594831813271,1.0209504886401546,1.0012217715257823,Animal
chicken_fish,vegan,Count,1.1848112340692223,0.875398427980276,1.5865587300788013,1.0062134131599665,Animal
chicken_fish,vegan,Proportion,1.0685910506462868,0.9663936428499625,1.169233493084823,1.0007497525027378,Animal
chicken_fish,vegetarian,Count,1.0898140573749762,0.9401450707882834,1.263416235448173,1.0241133003916247,Animal
chicken_fish,vegetarian,Proportion,0.9636068272327757,0.8485573981365225,1.089515911825128,1.0005851288965681,Animal
vegetarian,mpbamod,Count,0.973279429031271,0.772451620002438,1.1960737290604568,1.0079968216138122,Plant-based
vegetarian,mpbamod,Proportion,0.9571047641856049,0.846914782814744,1.0746027678372616,1.0001681002588378,Plant-based
vegetarian,vegan,Count,1.2155068806468692,0.9984226687965317,1.4834465790161153,1.0007540051449666,Plant-based
vegetarian,vegan,Proportion,1.0672070699858431,1.0013840013471145,1.1359179607028689,1.0014080846981681,Plant-based
vegetarian,vegetarian,Count,1.0583767209274706,0.9847585251467738,1.1300816649724152,1.0006540332150726,Plant-based
vegetarian,vegetarian,Proportion,1.0515913208215557,0.9524932724984284,1.157209380162535,1.00076389876857,Plant-based
vegan,mpbamod,Count,1.0231622012473065,0.9428261139607773,1.1074699617544668,1.0033128958808983,Plant-based
vegan,mpbamod,Proportion,0.9667823570493196,0.8732702118629335,1.0730078129185379,1.00461379492353,Plant-based
vegan,vegan,Count,1.18754051925924,1.0026882579025318,1.4284061610765046,1.0022608384141802,Plant-based
vegan,vegan,Proportion,1.1877821636035046,1.0755838602993286,1.2946240576079724,1.0004344556684406,Plant-based
vegan,vegetarian,Count,1.0311215119578465,1.0000966186822842,1.0652840689464405,1.002069433961768,Plant-based
vegan,vegetarian,Proportion,1.101025506067811,1.0164953352045158,1.1836858833043615,1.000502291554742,Plant-based
