outcome,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id,source
Breakfast,Count,-0.183191090383,-0.63699555,0.19557069999999996,1.0056323713940438,Pooled,POOLED,finalized_redone3
Breakfast,Presence,-0.16940991127366667,-0.74668245,0.5694974499999998,1.0005398361496856,Pooled,POOLED,finalized_redone3
Untextured,Count,-0.0348263944205,-0.70188375,0.8080107999999993,1.4548227944647536,Pooled,POOLED,finalized_redone3
Untextured,Presence,-0.0348263944205,-0.70188375,0.8080107999999993,1.4548227944647536,Pooled,POOLED,finalized_redone3
Breakfast,Count,-0.31471074483970024,-0.5621189181535413,-0.09431067947124129,1.0002590873349866,Restaurant,2HRX9P6HKXA8V,finalized_redone3
Breakfast,Count,-0.040821994520255166,-0.1743533871447778,0.09531017980432493,1.0001507836931434,Restaurant,ED5J990H5VAZT,finalized_redone3
Breakfast,Count,-0.08338160893905101,-0.35667494393873245,0.19885085874516517,1.0003403195601037,Restaurant,L69HYJ4Y3TR91,finalized_redone3
Breakfast,Presence,0.08617769624105241,-0.9942522733438669,1.749199854809259,1.0020409221363222,Restaurant,2HRX9P6HKXA8V,finalized_redone3
Breakfast,Presence,-0.4780358009429998,-0.7550225842780328,-0.18632957819149348,1.000708443242851,Restaurant,ED5J990H5VAZT,finalized_redone3
Breakfast,Presence,-0.12783337150988489,-0.4462871026284195,0.2151113796169455,1.0006113867251345,Restaurant,L69HYJ4Y3TR91,finalized_redone3
Untextured,Count,-0.040821994520255166,-0.12783337150988489,0.02955880224154443,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone3
Untextured,Presence,-0.040821994520255166,-0.12783337150988489,0.02955880224154443,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone3
