outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id
nonvegan,vegan,Count,0.1898147655538,-0.10048452499999998,0.45482542500000006,1.0057149846281135,Pooled,POOLED
nonvegan,vegan,Proportion,0.8372127629045,0.03953033500000005,1.5305767500000003,0.9999290695095574,Pooled,POOLED
vegan,vegan,Count,0.14232074254,-0.0715780625,0.35841825000000005,1.0017427599041404,Pooled,POOLED
vegan,vegan,Proportion,1.8060564323333332,0.877414225,2.71056575,0.9998564034918921,Pooled,POOLED
nonvegan,vegan,Count,0.7227059828014898,0.5247285289349821,0.9282193027394288,1.0001590834917335,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Count,0.01980262729617973,-0.11653381625595151,0.13976194237515863,1.0007699678652602,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Count,0,-0.030459207484708574,0.01980262729617973,0.9997172453615099,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Count,0.12221763272424911,0.04879016416943205,0.19885085874516517,1.0000183658681512,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Count,0.30010459245033816,0.2151113796169455,0.3852624007906449,1.0004778717087661,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Count,0.02955880224154443,0,0.04879016416943205,1.0000643669981117,Restaurant,W8T41JZK0ZMEP
nonvegan,vegan,Proportion,1.1878434223960523,0.5068176023684519,1.9198594718553708,0.9999872344694046,Restaurant,SRQS8F7JWA9MZ
nonvegan,vegan,Proportion,0.7323678937132266,-0.6348782724359695,1.7698546338400052,1.00001626403102,Restaurant,2HRX9P6HKXA8V
nonvegan,vegan,Proportion,0.5128236264286637,-0.7550225842780328,1.4609379041156563,0.9998382870895531,Restaurant,JHDN7CF1C03X5
nonvegan,vegan,Proportion,1.2725655957915476,0.2700271372130602,2.822568654544802,0.9998017114413921,Restaurant,L69HYJ4Y3TR91
nonvegan,vegan,Proportion,0.9282193027394288,-0.11653381625595151,1.9242486522741338,1.0004659142802508,Restaurant,ED5J990H5VAZT
nonvegan,vegan,Proportion,0.688134638736401,-0.4780358009429998,1.5973653311998313,1.0006293130811903,Restaurant,W8T41JZK0ZMEP
vegan,vegan,Count,0.08617769624105241,-0.040821994520255166,0.20701416938432612,1.0006583302567138,Restaurant,2HRX9P6HKXA8V
vegan,vegan,Count,0.04879016416943205,0.01980262729617973,0.0769610411361284,1.000051565803563,Restaurant,JHDN7CF1C03X5
vegan,vegan,Count,0.1906203596086497,0.09531017980432493,0.30010459245033816,0.9998647003151171,Restaurant,L69HYJ4Y3TR91
vegan,vegan,Count,0.3920420877760237,0.25464221837358075,0.5306282510621704,1.000270681734169,Restaurant,ED5J990H5VAZT
vegan,vegan,Count,0.01980262729617973,0,0.04879016416943205,1.0007144254017961,Restaurant,W8T41JZK0ZMEP
vegan,vegan,Proportion,1.80005827204275,0.6575200029167941,2.905807566026004,1.000951043628902,Restaurant,2HRX9P6HKXA8V
vegan,vegan,Proportion,1.8976198599275322,0.959350221334602,2.9231615807191558,1.0008603034103085,Restaurant,JHDN7CF1C03X5
vegan,vegan,Proportion,1.979621206397625,0.85015092936961,3.2980566227426418,1.0007347389141663,Restaurant,L69HYJ4Y3TR91
vegan,vegan,Proportion,1.8870696490323797,0.8020015854720274,2.9882040071331994,1.0003463109130608,Restaurant,ED5J990H5VAZT
vegan,vegan,Proportion,1.6937790608678513,0.5877866649021191,2.7093826463359885,1.0002967780573624,Restaurant,W8T41JZK0ZMEP
