outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Chicken,Form: Count,NA,NA,-2.386671080384145,0.9975329692244604,0.9997530226129152,1.01488973839625,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Chicken,Form: Count,-2.113774499225233,-2.9687076505076035,-1.6091302097794182,1.1283780147179134,1.012151356698123,1.00062586347506,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.4606054790028313,-1.7669435194476346
Dairy,Form: Count,-1.1078832553793627,-2.0528276539698553,-0.679081566735234,1.3913260595726635,1.033577132018834,1.01608545141918,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.458328685796358,-0.7574378249623674
Dairy,Form: Count,-3.2629584648191945,NA,-1.7996835822477395,1.0390169181824378,1.003834833742978,1.00084055863915,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Dairy,Form: Count,-3.0715850560119224,-5.20012955836333,-2.419423787181225,1.047438471862617,1.0046455204289575,1.00176526838466,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.7809487731502145,-2.3622213388736304
Dairy,Form: Count,-2.038888520970756,NA,-1.2688677445287921,1.1390257769394991,1.0131024258340167,1.03184241093957,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Dairy,Form: Count,-3.0839950107464995,-4.514523819418641,-2.512651215352603,1.0468399084619586,1.0045880947424235,1.0000880460273,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.59467679749804,-2.573313223994959
Dairy,Form: Count,-5.171194178256166,NA,-2.5758678680494835,1.0056939336500788,1.0005679396649334,1.01097476057465,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Dairy,Form: Count,-2.247262566155063,NA,-0.849736840616193,1.1114752013909075,1.0106248615182623,1.00582261438459,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Dairy,Form: Count,-2.1303312755697887,NA,-0.9127415377217396,1.126142338506678,1.01195063825523,1.00566611603791,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Dairy,Form: Count,NA,NA,-2.4272623989859423,0.9841190892935593,0.9984004443002465,1.00104520752112,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Dairy,Form: Count,-3.414587501747001,-4.7624819024649305,-2.8346366089173056,1.0334368249229768,1.0032944117815428,1.00390860948262,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-3.90638477050915,-2.922790232984852
