estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
-37.999806837492,40.15364588156502,-0.9463600627841899,0.3439649680021822,exposure_SRQS8F7JWA9MZ_1,-116.70095276535943,40.70133909037543,SRQS8F7JWA9MZ,31899,2041,A5,vegan
37.7340270437124,31.909850076386093,1.1825197220727877,0.23699954475678345,exposure_SRQS8F7JWA9MZ_2,-24.80927910600434,100.27733319342914,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.0041722213545110735,0.008632159999220294,0.48333457151951914,0.628858196704134,vegan_price_real,-0.012746812243960702,0.02109125495298285,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.004827843713152114,0.004738652842834802,-1.0188219887118708,0.3082874846350565,vegetarian_price_real,-0.014115603285108327,0.004459915858804099,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.002678318113131149,0.005880416351602952,0.45546402720294826,0.6487754416019238,meat_price_real,-0.008847297936010636,0.014203934162272934,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.3747978792454751,0.41768440473863105,0.8973231343890071,0.3695465152748162,weekend,-0.4438635540422418,1.193459312533192,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.32840331288901214,0.4033957042822887,0.8140971988615965,0.4155892704598184,holiday_window,-0.46225226750427373,1.119058893282298,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.2098088659218721,0.6994570524904918,0.2999596117800587,0.7642079629586715,month_cat2,-1.161126956959492,1.580744688803236,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.45929304583522224,0.7795579860113855,0.5891711124469377,0.5557464934455405,month_cat3,-1.0686406067470933,1.9872266984175377,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.07988566920048555,1.1033327973557412,-0.07240396496137917,0.9422804294958007,month_cat4,-2.2424179520177385,2.082646613616767,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.019413817689102997,1.4068807561724885,0.013799192009648041,0.9889901871555965,month_cat5,-2.7380724644089742,2.7769000997871807,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.05364104278994325,2.044711669344163,0.0262340375878759,0.9790706671493788,month_cat6,-3.953993829124616,4.0612759147045026,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.934500958117557,2.7215420267994546,0.3433718637872861,0.7313187236872221,month_cat7,-4.399721414409374,6.268723330644487,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.26234340918858057,3.2531939720519705,0.08064179739737622,0.9357268249140764,month_cat8,-6.113916776033282,6.6386035944104425,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.2928195283891953,3.630031259155449,0.0806658421055365,0.9357077023105618,month_cat9,-6.822041739555485,7.407680796333875,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.8164671289372889,4.025598176786675,0.20281883414131804,0.8392766363617646,month_cat10,-7.073705297564594,8.706639555439171,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.7562714233041845,4.248672184843951,0.17800182984274215,0.8587215386843223,month_cat11,-7.571126058989959,9.083668905598328,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.7717390248771778,4.912598752391426,0.15709384457696643,0.8751708886674578,month_cat12,-8.856954529810016,10.400432579564372,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-1.9523388032193711,10.959260475850167,-0.17814512279560707,0.8586090058858453,year_cat2020,-23.4324893358857,19.527811729446952,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.7567342174275302,5.7666050582838535,-0.13122698880521827,0.8955957465866402,year_cat2021,-12.059280131663883,10.545811696808823,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.0065236152625791745,0.014958013358708985,-0.43612845543963485,0.662743532647075,date_code,-0.035841321445648784,0.022794090920490437,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.01666375228724993,0.41071535318766267,-0.04057250881399601,0.9676367008924516,day_of_week_cat1,-0.8216658445350687,0.7883383399605689,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.015789669476186888,0.436995567008117,0.0361323332964007,0.9711768409110902,day_of_week_cat2,-0.8407216418597224,0.8723009808120962,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.2439330335971246,0.4769422485612683,-0.5114519301508027,0.6090346399889466,day_of_week_cat3,-1.1787398407772105,0.6908737735829613,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.22203852570112792,0.3666207629497648,0.6056354362329232,0.544756865733213,day_of_week_cat4,-0.4965381696804111,0.9406152210826669,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.14057893672546443,0.3151102180796927,-0.44612623983495014,0.655506059500707,day_of_week_cat5,-0.7581949641616621,0.4770370907107333,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.04871450042639129,0.20872543221348192,0.23339034400257785,0.815458310535564,inflation,-0.36038734671203326,0.4578163475648159,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.02937327025524885,0.019469827671315373,-1.5086558931656124,0.1313867425880388,precip,-0.06753413249102698,0.00878759198052928,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.023966337963938378,0.02109508975384295,1.1361097887517813,0.25591061878190047,temp,-0.017380037953593802,0.06531271388147056,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.015339693728210296,0.016728469297251317,0.9169813122549585,0.3591524328560895,exposure_SRQS8F7JWA9MZ_1:date_code,-0.017448106094402286,0.04812749355082288,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-0.01486366692573261,0.013011275631758999,-1.14236815408415,0.25330102273394806,exposure_SRQS8F7JWA9MZ_2:date_code,-0.04036576716398024,0.010638433312515027,SRQS8F7JWA9MZ,31899,2041,A5,vegan
0.21554203824786455,0.5986743083826167,0.36003221656558915,0.7188230414726466,exposure_SRQS8F7JWA9MZ_1:gendermale,-0.9578596061820641,1.3889436826777932,SRQS8F7JWA9MZ,31899,2041,A5,vegan
-1.5858540475377598,0.4557487521733267,-3.4796673385836074,5.020367336456198e-4,exposure_SRQS8F7JWA9MZ_2:gendermale,-2.4791216017974804,-0.69258649327803945,SRQS8F7JWA9MZ,31899,2041,A5,vegan
