path,height,y_lo,y_hi,y_span,px_per_y_unit,n_points,status
/home/godli/testing/forest_plots/total_adjusted/t1_sorted/A3_its_forest_restaurants.html,1412.0000,-2.3104,24.6776,26.9880,52.3195,156,OK
/home/godli/testing/forest_plots/total_adjusted/t1_sorted/A4_its_targeted_forest_restaurants.html,700.0000,0.0964,6.5364,6.4400,108.6957,36,OK
/home/godli/testing/forest_plots/total_adjusted/t1_sorted/A5_gaussian_iid_day_forest_restaurants_adj.html,1060.0000,0.0342,16.8396,16.8054,63.0751,246,OK
/home/godli/testing/forest_plots/total_adjusted/t1_sorted/A5_gaussian_iid_forest_restaurants_adj.html,3600.0000,-5.5040,70.4160,75.9200,47.4183,238,OK
/home/godli/testing/forest_plots/total_adjusted/t1_sorted/A6_gaussian_iid_day_targeted_forest_restaurants_adj.html,700.0000,1.6593,6.2951,4.6358,150.9979,62,OK
/home/godli/testing/forest_plots/total_adjusted/t1_sorted/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/total_adjusted/t2/A1_proportion_forest_restaurants.html,3600.0000,-6.8682,113.5578,120.4260,29.8939,1148,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/t2/A2_proportion_targeted_forest_restaurants.html,3600.0000,-8.1240,79.0670,87.1910,41.2887,202,OK
/home/godli/testing/forest_plots/total_adjusted/t2/A3_its_forest_restaurants.html,2490.0000,-4.9890,46.1433,51.1322,48.6973,120,OK
/home/godli/testing/forest_plots/total_adjusted/t2/A4_its_targeted_forest_restaurants.html,1170.0000,-3.3381,20.6614,23.9995,48.7510,52,OK
/home/godli/testing/forest_plots/total_adjusted/t2/A5_gaussian_iid_day_forest_restaurants_adj.html,3600.0000,0.4275,157.7094,157.2819,22.8888,1054,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/t2/A5_gaussian_iid_forest_restaurants_adj.html,3600.0000,-62.7000,658.4750,721.1750,4.9919,1044,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/t2/A6_gaussian_iid_day_targeted_forest_restaurants_adj.html,3600.0000,2.1231,81.9209,79.7978,45.1140,334,OK
/home/godli/testing/forest_plots/total_adjusted/t2/grid.html,,,,,,,NO_JSON
/home/godli/testing/forest_plots/total_adjusted/t2/z_A5_transaction_gaussian_iid_forest_restaurants_adj.html,,-9.6450,7.3850,17.0300,23.4880,220,NO_HEIGHT
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A1_proportion_forest_restaurants.html,3600.0000,-6.8682,113.5578,120.4260,29.8939,1148,CRAMPED
/home/godli/testing/forest_plots/total_adjusted/t2_sorted/A2_proportion_targeted_forest_restaurants.html,3600.0000,-8.1240,79.0670,87.1910,41.2887,202,OK
